"Entity_Name","Fiscal_Year","current_population_actual","lead_pop_actual","Entity_ID","variable","value","val_per_capita","variable_pretty"
"Amador",2005,37870,38149,3,"Administrative_Officer_Capital_Outlay",904,0.0236965582321948,"Administrative Officer Capital Outlay"
"Amador",2006,38149,38550,3,"Administrative_Officer_Capital_Outlay",2851,0.0739559014267186,"Administrative Officer Capital Outlay"
"Amador",2007,38550,38046,3,"Administrative_Officer_Capital_Outlay",1150,0.0302265678389318,"Administrative Officer Capital Outlay"
"Butte",2003,211501,212999,4,"Administrative_Officer_Capital_Outlay",0,0,"Administrative Officer Capital Outlay"
"Butte",2005,214604,216640,4,"Administrative_Officer_Capital_Outlay",0,0,"Administrative Officer Capital Outlay"
"Calaveras",2005,45674,46500,5,"Administrative_Officer_Capital_Outlay",0,0,"Administrative Officer Capital Outlay"
"Calaveras",2006,46500,46833,5,"Administrative_Officer_Capital_Outlay",24993,0.533662161296522,"Administrative Officer Capital Outlay"
"Colusa",2003,19619,20256,6,"Administrative_Officer_Capital_Outlay",1831,0.0903929699842022,"Administrative Officer Capital Outlay"
"Contra Costa",2003,988357,993092,7,"Administrative_Officer_Capital_Outlay",34488,0.0347279003355178,"Administrative Officer Capital Outlay"
"Contra Costa",2004,993092,999553,7,"Administrative_Officer_Capital_Outlay",15704,0.0157110228272038,"Administrative Officer Capital Outlay"
"Contra Costa",2007,1010522,1025412,7,"Administrative_Officer_Capital_Outlay",37220,0.0362976052552535,"Administrative Officer Capital Outlay"
"Contra Costa",2008,1025412,1040594,7,"Administrative_Officer_Capital_Outlay",49679,0.0477410017739868,"Administrative Officer Capital Outlay"
"Contra Costa",2009,1040594,1052887,7,"Administrative_Officer_Capital_Outlay",55102,0.0523342011061016,"Administrative Officer Capital Outlay"
"Contra Costa",2010,1052887,1066516,7,"Administrative_Officer_Capital_Outlay",44842,0.0420453139005885,"Administrative Officer Capital Outlay"
"Contra Costa",2012,1079597,1094205,7,"Administrative_Officer_Capital_Outlay",8275,0.00756256825731924,"Administrative Officer Capital Outlay"
"Contra Costa",2013,1094205,NA,7,"Administrative_Officer_Capital_Outlay",79845,NA,"Administrative Officer Capital Outlay"
"Del Norte",2005,28496,28468,8,"Administrative_Officer_Capital_Outlay",5673,0.199276380497401,"Administrative Officer Capital Outlay"
"Del Norte",2012,28290,27873,8,"Administrative_Officer_Capital_Outlay",0,0,"Administrative Officer Capital Outlay"
"Del Norte",2013,27873,NA,8,"Administrative_Officer_Capital_Outlay",0,NA,"Administrative Officer Capital Outlay"
"El Dorado",2003,167480,170452,9,"Administrative_Officer_Capital_Outlay",4270,0.0250510407622087,"Administrative Officer Capital Outlay"
"El Dorado",2006,174884,175615,9,"Administrative_Officer_Capital_Outlay",5779,0.0329072117985366,"Administrative Officer Capital Outlay"
"El Dorado",2010,181143,180894,9,"Administrative_Officer_Capital_Outlay",4537,0.0250809866551682,"Administrative Officer Capital Outlay"
"El Dorado",2011,180894,180561,9,"Administrative_Officer_Capital_Outlay",3376,0.0186972823588704,"Administrative Officer Capital Outlay"
"El Dorado",2012,180561,181737,9,"Administrative_Officer_Capital_Outlay",14196,0.078112877399759,"Administrative Officer Capital Outlay"
"El Dorado",2013,181737,NA,9,"Administrative_Officer_Capital_Outlay",3312,NA,"Administrative Officer Capital Outlay"
"Fresno",2006,877406,889127,10,"Administrative_Officer_Capital_Outlay",9000,0.0101222884919702,"Administrative Officer Capital Outlay"
"Fresno",2013,955272,NA,10,"Administrative_Officer_Capital_Outlay",5671,NA,"Administrative Officer Capital Outlay"
"Glenn",2005,27415,27668,11,"Administrative_Officer_Capital_Outlay",0,0,"Administrative Officer Capital Outlay"
"Glenn",2006,27668,27808,11,"Administrative_Officer_Capital_Outlay",0,0,"Administrative Officer Capital Outlay"
"Glenn",2007,27808,28063,11,"Administrative_Officer_Capital_Outlay",0,0,"Administrative Officer Capital Outlay"
"Glenn",2008,28063,28152,11,"Administrative_Officer_Capital_Outlay",0,0,"Administrative Officer Capital Outlay"
"Glenn",2009,28152,28098,11,"Administrative_Officer_Capital_Outlay",0,0,"Administrative Officer Capital Outlay"
"Glenn",2010,28098,28181,11,"Administrative_Officer_Capital_Outlay",0,0,"Administrative Officer Capital Outlay"
"Glenn",2011,28181,27992,11,"Administrative_Officer_Capital_Outlay",0,0,"Administrative Officer Capital Outlay"
"Glenn",2012,27992,27940,11,"Administrative_Officer_Capital_Outlay",0,0,"Administrative Officer Capital Outlay"
"Glenn",2013,27940,NA,11,"Administrative_Officer_Capital_Outlay",0,NA,"Administrative Officer Capital Outlay"
"Humboldt",2006,129008,128513,12,"Administrative_Officer_Capital_Outlay",1652,0.0128547306498175,"Administrative Officer Capital Outlay"
"Humboldt",2007,128513,128724,12,"Administrative_Officer_Capital_Outlay",1685,0.0130900220627078,"Administrative Officer Capital Outlay"
"Humboldt",2009,129349,135039,12,"Administrative_Officer_Capital_Outlay",2621,0.0194092077103652,"Administrative Officer Capital Outlay"
"Humboldt",2012,134827,134493,12,"Administrative_Officer_Capital_Outlay",1977,0.0146996497959002,"Administrative Officer Capital Outlay"
"Imperial",2007,160316,163180,13,"Administrative_Officer_Capital_Outlay",29566,0.1811864199044,"Administrative Officer Capital Outlay"
"Inyo",2003,18138,17984,14,"Administrative_Officer_Capital_Outlay",4245,0.236043149466192,"Administrative Officer Capital Outlay"
"Inyo",2004,17984,17749,14,"Administrative_Officer_Capital_Outlay",1867,0.105189024733788,"Administrative Officer Capital Outlay"
"Kern",2013,864124,NA,15,"Administrative_Officer_Capital_Outlay",11474,NA,"Administrative Officer Capital Outlay"
"Kings",2007,NA,NA,16,"Administrative_Officer_Capital_Outlay",1743,NA,"Administrative Officer Capital Outlay"
"Lake",2006,64670,64667,17,"Administrative_Officer_Capital_Outlay",0,0,"Administrative Officer Capital Outlay"
"Lake",2011,64262,63983,17,"Administrative_Officer_Capital_Outlay",0,0,"Administrative Officer Capital Outlay"
"Los Angeles",2003,9781839,9808353,19,"Administrative_Officer_Capital_Outlay",411566,0.0419607654822374,"Administrative Officer Capital Outlay"
"Los Angeles",2004,9808353,9802296,19,"Administrative_Officer_Capital_Outlay",164634,0.0167954528204413,"Administrative Officer Capital Outlay"
"Los Angeles",2005,9802296,9755937,19,"Administrative_Officer_Capital_Outlay",382346,0.0391911099876926,"Administrative Officer Capital Outlay"
"Los Angeles",2006,9755937,9727968,19,"Administrative_Officer_Capital_Outlay",132135,0.0135830010953983,"Administrative Officer Capital Outlay"
"Los Angeles",2007,9727968,9771522,19,"Administrative_Officer_Capital_Outlay",139075,0.0142326855529773,"Administrative Officer Capital Outlay"
"Los Angeles",2008,9771522,9831945,19,"Administrative_Officer_Capital_Outlay",514220,0.0523009435060916,"Administrative Officer Capital Outlay"
"Los Angeles",2009,9831945,9825761,19,"Administrative_Officer_Capital_Outlay",120655,0.012279456013636,"Administrative Officer Capital Outlay"
"Los Angeles",2010,9825761,9889025,19,"Administrative_Officer_Capital_Outlay",175865,0.0177838563457975,"Administrative Officer Capital Outlay"
"Los Angeles",2011,9889025,9962789,19,"Administrative_Officer_Capital_Outlay",42650,0.00428092976775881,"Administrative Officer Capital Outlay"
"Los Angeles",2012,9962789,10017068,19,"Administrative_Officer_Capital_Outlay",14458,0.0014433365132392,"Administrative Officer Capital Outlay"
"Los Angeles",2013,10017068,NA,19,"Administrative_Officer_Capital_Outlay",911172,NA,"Administrative Officer Capital Outlay"
"Madera",2003,132522,136752,20,"Administrative_Officer_Capital_Outlay",167523,1.22501316251316,"Administrative Officer Capital Outlay"
"Madera",2006,143018,145461,20,"Administrative_Officer_Capital_Outlay",1097,0.00754154034414723,"Administrative Officer Capital Outlay"
"Marin",2003,NA,NA,21,"Administrative_Officer_Capital_Outlay",38724,NA,"Administrative Officer Capital Outlay"
"Marin",2004,NA,NA,21,"Administrative_Officer_Capital_Outlay",0,NA,"Administrative Officer Capital Outlay"
"Marin",2007,NA,NA,21,"Administrative_Officer_Capital_Outlay",2318,NA,"Administrative Officer Capital Outlay"
"Marin",2008,NA,NA,21,"Administrative_Officer_Capital_Outlay",95,NA,"Administrative Officer Capital Outlay"
"Marin",2009,NA,NA,21,"Administrative_Officer_Capital_Outlay",1377,NA,"Administrative Officer Capital Outlay"
"Marin",2011,NA,NA,21,"Administrative_Officer_Capital_Outlay",1011,NA,"Administrative Officer Capital Outlay"
"Marin",2012,NA,NA,21,"Administrative_Officer_Capital_Outlay",2536,NA,"Administrative Officer Capital Outlay"
"Marin",2013,NA,NA,21,"Administrative_Officer_Capital_Outlay",0,NA,"Administrative Officer Capital Outlay"
"Mariposa",2005,17715,17888,22,"Administrative_Officer_Capital_Outlay",1400,0.0782647584973166,"Administrative Officer Capital Outlay"
"Mendocino",2006,NA,NA,23,"Administrative_Officer_Capital_Outlay",4528,NA,"Administrative Officer Capital Outlay"
"Mendocino",2007,NA,NA,23,"Administrative_Officer_Capital_Outlay",2824,NA,"Administrative Officer Capital Outlay"
"Merced",2003,229175,233659,24,"Administrative_Officer_Capital_Outlay",14897,0.0637553015291515,"Administrative Officer Capital Outlay"
"Merced",2008,244481,245560,24,"Administrative_Officer_Capital_Outlay",12752,0.0519302818048542,"Administrative Officer Capital Outlay"
"Merced",2012,262305,263228,24,"Administrative_Officer_Capital_Outlay",0,0,"Administrative Officer Capital Outlay"
"Modoc",2008,9084,9125,25,"Administrative_Officer_Capital_Outlay",1772,0.194191780821918,"Administrative Officer Capital Outlay"
"Mono",2003,12983,12870,26,"Administrative_Officer_Capital_Outlay",1452,0.112820512820513,"Administrative Officer Capital Outlay"
"Mono",2004,12870,12832,26,"Administrative_Officer_Capital_Outlay",2927,0.228101620947631,"Administrative Officer Capital Outlay"
"Mono",2005,12832,13062,26,"Administrative_Officer_Capital_Outlay",7302,0.559026182820395,"Administrative Officer Capital Outlay"
"Mono",2006,13062,12786,26,"Administrative_Officer_Capital_Outlay",25255,1.97520725793837,"Administrative Officer Capital Outlay"
"Mono",2007,12786,12838,26,"Administrative_Officer_Capital_Outlay",5116,0.398504439943916,"Administrative Officer Capital Outlay"
"Mono",2011,14417,14348,26,"Administrative_Officer_Capital_Outlay",10800,0.752718148870923,"Administrative Officer Capital Outlay"
"Mono",2012,14348,14074,26,"Administrative_Officer_Capital_Outlay",5000,0.355265027710672,"Administrative Officer Capital Outlay"
"Mono",2013,14074,NA,26,"Administrative_Officer_Capital_Outlay",33933,NA,"Administrative Officer Capital Outlay"
"Monterey",2008,404840,409069,27,"Administrative_Officer_Capital_Outlay",21159,0.0517247701488013,"Administrative Officer Capital Outlay"
"Orange",2003,2941573,2956461,30,"Administrative_Officer_Capital_Outlay",13221,0.00447190069478339,"Administrative Officer Capital Outlay"
"Orange",2004,2956461,2957404,30,"Administrative_Officer_Capital_Outlay",24998,0.00845268350215256,"Administrative Officer Capital Outlay"
"Plumas",2007,20571,20323,32,"Administrative_Officer_Capital_Outlay",7357,0.362003641194706,"Administrative Officer Capital Outlay"
"Riverside",2003,1764303,1845608,33,"Administrative_Officer_Capital_Outlay",8385084,4.54326379166107,"Administrative Officer Capital Outlay"
"Riverside",2004,1845608,1917246,33,"Administrative_Officer_Capital_Outlay",35890662,18.719904488,"Administrative Officer Capital Outlay"
"Riverside",2005,1917246,1994262,33,"Administrative_Officer_Capital_Outlay",0,0,"Administrative Officer Capital Outlay"
"Riverside",2006,1994262,2054818,33,"Administrative_Officer_Capital_Outlay",0,0,"Administrative Officer Capital Outlay"
"Riverside",2009,2121839,2202361,33,"Administrative_Officer_Capital_Outlay",45170,0.0205098074293905,"Administrative Officer Capital Outlay"
"Riverside",2010,2202361,2237330,33,"Administrative_Officer_Capital_Outlay",293435,0.131154098858908,"Administrative Officer Capital Outlay"
"San Benito",2003,55386,55073,35,"Administrative_Officer_Capital_Outlay",1500,0.0272365769070143,"Administrative Officer Capital Outlay"
"San Benito",2007,54459,54735,35,"Administrative_Officer_Capital_Outlay",14631,0.26730611126336,"Administrative Officer Capital Outlay"
"San Benito",2008,54735,54980,35,"Administrative_Officer_Capital_Outlay",13460,0.244816296835213,"Administrative Officer Capital Outlay"
"San Bernardino",2003,NA,NA,36,"Administrative_Officer_Capital_Outlay",20000,NA,"Administrative Officer Capital Outlay"
"San Bernardino",2005,NA,NA,36,"Administrative_Officer_Capital_Outlay",0,NA,"Administrative Officer Capital Outlay"
"San Bernardino",2006,NA,NA,36,"Administrative_Officer_Capital_Outlay",36824,NA,"Administrative Officer Capital Outlay"
"San Bernardino",2007,NA,NA,36,"Administrative_Officer_Capital_Outlay",8811,NA,"Administrative Officer Capital Outlay"
"San Bernardino",2009,NA,NA,36,"Administrative_Officer_Capital_Outlay",36310,NA,"Administrative Officer Capital Outlay"
"San Diego",2009,3037115,3103933,37,"Administrative_Officer_Capital_Outlay",36655,0.0118092110879971,"Administrative Officer Capital Outlay"
"San Diego",2013,3211252,NA,37,"Administrative_Officer_Capital_Outlay",0,NA,"Administrative Officer Capital Outlay"
