Year,Country,Central government personal income tax rates and thresholds,Value,Flags
"2000","Belgium","Amount",5206,a
"2001","Belgium","Amount",5350,a
"2002","Belgium","Amount",5480,a
"2003","Belgium","Amount",5570,a
"2004","Belgium","Amount",5660,a
"2005","Belgium","Amount",5780,a
"2006","Belgium","Amount",5780,a
"2007","Belgium","Amount",6040,a
"2008","Belgium","Amount",6400,a
"2009","Belgium","Amount",6430,a
"2010","Belgium","Amount",6430,a
"2011","Belgium","Amount",6570,a
"2012","Belgium","Amount",6800,a
"2013","Belgium","Amount",6800,a
"2000","Czech Republic","Amount",34920,a
"2001","Czech Republic","Amount",38040,a
"2002","Czech Republic","Amount",38040,a
"2003","Czech Republic","Amount",38040,a
"2004","Czech Republic","Amount",38040,a
"2005","Czech Republic","Amount",38040,a
"2000","Denmark","Amount",33400,a
"2004","Greece","Amount",10000,a
"2003","Italy","Amount",7500,a
"2004","Italy","Amount",7500,a
"2005","Italy","Amount",7500,a
"2006","Italy","Amount",7500,a
"2000","Japan","Amount",380,a
"2001","Japan","Amount",380,a
"2002","Japan","Amount",380,a
"2003","Japan","Amount",380,a
"2004","Japan","Amount",380,a
"2005","Japan","Amount",380,a
"2006","Japan","Amount",380,a
"2007","Japan","Amount",380,a
"2008","Japan","Amount",380,a
"2009","Japan","Amount",380,a
"2010","Japan","Amount",380,a
"2011","Japan","Amount",380,a
"2012","Japan","Amount",380,a
"2013","Japan","Amount",380000,a
"2000","Korea","Amount",600000,a
"2001","Korea","Amount",600000,a
"2002","Korea","Amount",600000,a
"2003","Korea","Amount",600000,a
"2004","Korea","Amount",600000,a
"2005","Korea","Amount",1000000,a
"2006","Korea","Amount",1000000,a
"2007","Korea","Amount",1000000,a
"2008","Korea","Amount",1000000,a
"2009","Korea","Amount",1500000,a
"2010","Korea","Amount",1500000,a
"2011","Korea","Amount",1500000,a
"2012","Korea","Amount",1500000,a
"2013","Korea","Amount",1500000,a
"2000","Luxembourg","Amount",1353.5,a
"2001","Luxembourg","Amount",1353.5,a
"2002","Luxembourg","Amount",1416,a
"2003","Luxembourg","Amount",1416,a
"2004","Luxembourg","Amount",1416,a
"2005","Luxembourg","Amount",1416,a
"2006","Luxembourg","Amount",1416,a
"2007","Luxembourg","Amount",1416,a
"2008","Luxembourg","Amount",1416,a
"2009","Luxembourg","Amount",1416,a
"2010","Luxembourg","Amount",1416,a
"2011","Luxembourg","Amount",1416,a
"2012","Luxembourg","Amount",1416,a
"2013","Luxembourg","Amount",1020,a
"2000","Mexico","Amount",1580,a
"2001","Mexico","Amount",1690.65,a
"2002","Mexico","Amount",1788.3,a
"2003","Mexico","Amount",1865.85,a
"2004","Mexico","Amount",1948.05,a
"2005","Mexico","Amount",2035.85,a
"2006","Mexico","Amount",2117.25,a
"2007","Mexico","Amount",2199.6,a
"2008","Mexico","Amount",2287.8,a
"2009","Mexico","Amount",2393.55,a
"2010","Mexico","Amount",2509.65,a
"2011","Mexico","Amount",2612,a
"2012","Mexico","Amount",2733.75,a
"2013","Mexico","Amount",2840.4,a
"2000","Netherlands","Amount",3868,a
"2000","Norway","Amount",64300,a
"2001","Norway","Amount",69100,a
"2002","Norway","Amount",73100,a
"2003","Norway","Amount",77300,a
"2004","Norway","Amount",80400,a
"2005","Norway","Amount",91600,a
"2006","Norway","Amount",96500,a
"2007","Norway","Amount",100800,a
"2008","Norway","Amount",105850,a
"2009","Norway","Amount",111150,a
"2010","Norway","Amount",,a
"2011","Norway","Amount",118750,a
"2012","Norway","Amount",123500,a
"2013","Norway","Amount",128450,a
"2000","Poland","Amount",982.08,a
"2001","Poland","Amount",1110.72,a
"2002","Poland","Amount",1155.12,a
"2003","Poland","Amount",1199.52,a
"2004","Poland","Amount",1227,a
"2005","Poland","Amount",1227,a
"2006","Poland","Amount",1227,a
"2007","Poland","Amount",1302,a
"2008","Poland","Amount",1335,a
"2009","Poland","Amount",1335,a
"2010","Poland","Amount",1335,a
"2011","Poland","Amount",1335,a
"2012","Poland","Amount",1335,a
"2013","Poland","Amount",1335,a
"2000","Slovak Republic","Amount",1287,a
"2001","Slovak Republic","Amount",1287,a
"2002","Slovak Republic","Amount",1287,a
"2003","Slovak Republic","Amount",1287,a
"2004","Slovak Republic","Amount",2683,a
"2005","Slovak Republic","Amount",2919,a
