Legend/Légende
Code,English description,Description française
B,Break,Rupture
C,Non-publishable and confidential value,Valeur non-publiable et confidentielle
D,Difference in methodology,Différence de méthodologie
E,Estimated value,Valeur estimée
F,Forecast value,Valeur projetée
H,Missing value, holiday or weekend,Valeur manquante ; jour férié ou fin de semaine
L,Missing value; data exist but were not collected,Valeur manquante ; donnée existe mais n'a pas été collecté
M,Missing value; data cannot exist,Valeur manquante ; donnée ne peut pas exister
N,Non-publishable, but non-confidential value,Valeur non-publiable, mais non-confidentielle
P,Provisional value,Valeur provisoire
R,Confidential statistical information due to identifiable,Information statistique confidentielle due à identifiable
S,Strike,Grève
Z,Absolute zero observation,Observation zéro absolu
a,Basic (fixed) allowance,Basic (fixed) allowance
b,Basic fixed allowance, tapered,Basic fixed allowance, tapered
c,A combination of a basic allowance and an additonal tapered allowance,A combination of a basic allowance and an additonal tapered allowance
d,Basic wastable tax credit, non-tapered ,Basic wastable tax credit, non-tapered 
e,Basic wastable tax credit, tapered,Basic wastable tax credit, tapered
f,Basic non-wastable tax credit, non-tapered   ,Basic non-wastable tax credit, non-tapered   
g,Basic non-wastable tax credit, tapered   ,Basic non-wastable tax credit, tapered   
h,Surtax as % of taxable income ,Surtax as % of taxable income 
i,Surtax as % of gross earnings ,Surtax as % of gross earnings 
j,Surtax as % of central government tax measured gross of tax credit,Surtax as % of central government tax measured gross of tax credit
k,Surtax as % of central government tax measured net of tax credit.,Surtax as % of central government tax measured net of tax credit
