"GEO_ID","id"
"NAME","Geographic Area Name"
"S2702_C01_001E","Estimate!!Total!!Total civilian noninstitutionalized population"
"S2702_C01_001M","Margin of Error!!Total!!Total civilian noninstitutionalized population"
"S2702_C01_002E","Estimate!!Total!!Total civilian noninstitutionalized population!!AGE!!Under 19 years"
"S2702_C01_002M","Margin of Error!!Total!!Total civilian noninstitutionalized population!!AGE!!Under 19 years"
"S2702_C01_003E","Estimate!!Total!!Total civilian noninstitutionalized population!!AGE!!Under 19 years!!Under 6 years"
"S2702_C01_003M","Margin of Error!!Total!!Total civilian noninstitutionalized population!!AGE!!Under 19 years!!Under 6 years"
"S2702_C01_004E","Estimate!!Total!!Total civilian noninstitutionalized population!!AGE!!Under 19 years!!6 to 18 years"
"S2702_C01_004M","Margin of Error!!Total!!Total civilian noninstitutionalized population!!AGE!!Under 19 years!!6 to 18 years"
"S2702_C01_005E","Estimate!!Total!!Total civilian noninstitutionalized population!!AGE!!19 to 64 years"
"S2702_C01_005M","Margin of Error!!Total!!Total civilian noninstitutionalized population!!AGE!!19 to 64 years"
"S2702_C01_006E","Estimate!!Total!!Total civilian noninstitutionalized population!!AGE!!19 to 64 years!!19 to 25 years"
"S2702_C01_006M","Margin of Error!!Total!!Total civilian noninstitutionalized population!!AGE!!19 to 64 years!!19 to 25 years"
"S2702_C01_007E","Estimate!!Total!!Total civilian noninstitutionalized population!!AGE!!19 to 64 years!!26 to 34 years"
"S2702_C01_007M","Margin of Error!!Total!!Total civilian noninstitutionalized population!!AGE!!19 to 64 years!!26 to 34 years"
"S2702_C01_008E","Estimate!!Total!!Total civilian noninstitutionalized population!!AGE!!19 to 64 years!!35 to 44 years"
"S2702_C01_008M","Margin of Error!!Total!!Total civilian noninstitutionalized population!!AGE!!19 to 64 years!!35 to 44 years"
"S2702_C01_009E","Estimate!!Total!!Total civilian noninstitutionalized population!!AGE!!19 to 64 years!!45 to 54 years"
"S2702_C01_009M","Margin of Error!!Total!!Total civilian noninstitutionalized population!!AGE!!19 to 64 years!!45 to 54 years"
"S2702_C01_010E","Estimate!!Total!!Total civilian noninstitutionalized population!!AGE!!19 to 64 years!!55 to 64 years"
"S2702_C01_010M","Margin of Error!!Total!!Total civilian noninstitutionalized population!!AGE!!19 to 64 years!!55 to 64 years"
"S2702_C01_011E","Estimate!!Total!!Total civilian noninstitutionalized population!!AGE!!65 years and older"
"S2702_C01_011M","Margin of Error!!Total!!Total civilian noninstitutionalized population!!AGE!!65 years and older"
"S2702_C01_012E","Estimate!!Total!!Total civilian noninstitutionalized population!!AGE!!65 years and older!!65 to 74 years"
"S2702_C01_012M","Margin of Error!!Total!!Total civilian noninstitutionalized population!!AGE!!65 years and older!!65 to 74 years"
"S2702_C01_013E","Estimate!!Total!!Total civilian noninstitutionalized population!!AGE!!65 years and older!!75 years and older"
"S2702_C01_013M","Margin of Error!!Total!!Total civilian noninstitutionalized population!!AGE!!65 years and older!!75 years and older"
"S2702_C01_014E","Estimate!!Total!!Total civilian noninstitutionalized population!!AGE!!Median age (years)"
"S2702_C01_014M","Margin of Error!!Total!!Total civilian noninstitutionalized population!!AGE!!Median age (years)"
"S2702_C01_015E","Estimate!!Total!!Total civilian noninstitutionalized population!!SEX!!Male"
"S2702_C01_015M","Margin of Error!!Total!!Total civilian noninstitutionalized population!!SEX!!Male"
"S2702_C01_016E","Estimate!!Total!!Total civilian noninstitutionalized population!!SEX!!Female"
"S2702_C01_016M","Margin of Error!!Total!!Total civilian noninstitutionalized population!!SEX!!Female"
"S2702_C01_017E","Estimate!!Total!!Total civilian noninstitutionalized population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race"
"S2702_C01_017M","Margin of Error!!Total!!Total civilian noninstitutionalized population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race"
"S2702_C01_018E","Estimate!!Total!!Total civilian noninstitutionalized population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White alone"
"S2702_C01_018M","Margin of Error!!Total!!Total civilian noninstitutionalized population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White alone"
"S2702_C01_019E","Estimate!!Total!!Total civilian noninstitutionalized population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American alone"
"S2702_C01_019M","Margin of Error!!Total!!Total civilian noninstitutionalized population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American alone"
"S2702_C01_020E","Estimate!!Total!!Total civilian noninstitutionalized population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native alone"
"S2702_C01_020M","Margin of Error!!Total!!Total civilian noninstitutionalized population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native alone"
"S2702_C01_021E","Estimate!!Total!!Total civilian noninstitutionalized population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian alone"
"S2702_C01_021M","Margin of Error!!Total!!Total civilian noninstitutionalized population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian alone"
"S2702_C01_022E","Estimate!!Total!!Total civilian noninstitutionalized population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander alone"
"S2702_C01_022M","Margin of Error!!Total!!Total civilian noninstitutionalized population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander alone"
"S2702_C01_023E","Estimate!!Total!!Total civilian noninstitutionalized population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race alone"
"S2702_C01_023M","Margin of Error!!Total!!Total civilian noninstitutionalized population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race alone"
"S2702_C01_024E","Estimate!!Total!!Total civilian noninstitutionalized population!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races"
"S2702_C01_024M","Margin of Error!!Total!!Total civilian noninstitutionalized population!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races"
"S2702_C01_025E","Estimate!!Total!!Total civilian noninstitutionalized population!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino (of any race)"
"S2702_C01_025M","Margin of Error!!Total!!Total civilian noninstitutionalized population!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino (of any race)"
