"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TRUSTGOV","TOT","PC","A","2006",56.7,
"AUS","TRUSTGOV","TOT","PC","A","2007",56.7,
"AUS","TRUSTGOV","TOT","PC","A","2008",56.7,
"AUS","TRUSTGOV","TOT","PC","A","2009",56.7,
"AUS","TRUSTGOV","TOT","PC","A","2010",52,
"AUS","TRUSTGOV","TOT","PC","A","2011",52,
"AUS","TRUSTGOV","TOT","PC","A","2012",52,
"AUS","TRUSTGOV","TOT","PC","A","2013",46.7,
"AUS","TRUSTGOV","TOT","PC","A","2014",46.7,
"AUS","TRUSTGOV","TOT","PC","A","2015",46.7,
"AUS","TRUSTGOV","TOT","PC","A","2016",45.7,
"AUS","TRUSTGOV","TOT","PC","A","2017",45.7,
"AUS","TRUSTGOV","TOT","PC","A","2018",45.7,
"AUT","TRUSTGOV","TOT","PC","A","2006",41.3,
"AUT","TRUSTGOV","TOT","PC","A","2007",41.3,
"AUT","TRUSTGOV","TOT","PC","A","2008",41.3,
"AUT","TRUSTGOV","TOT","PC","A","2009",41.3,
"AUT","TRUSTGOV","TOT","PC","A","2010",42.7,
"AUT","TRUSTGOV","TOT","PC","A","2011",42.7,
"AUT","TRUSTGOV","TOT","PC","A","2012",42.7,
"AUT","TRUSTGOV","TOT","PC","A","2013",42.7,
"AUT","TRUSTGOV","TOT","PC","A","2014",42.7,
"AUT","TRUSTGOV","TOT","PC","A","2015",42.7,
"AUT","TRUSTGOV","TOT","PC","A","2016",45.3,
"AUT","TRUSTGOV","TOT","PC","A","2017",45.3,
"AUT","TRUSTGOV","TOT","PC","A","2018",45.3,
"BEL","TRUSTGOV","TOT","PC","A","2006",53.7,
"BEL","TRUSTGOV","TOT","PC","A","2007",53.7,
"BEL","TRUSTGOV","TOT","PC","A","2008",53.7,
"BEL","TRUSTGOV","TOT","PC","A","2009",53.7,
"BEL","TRUSTGOV","TOT","PC","A","2010",35.7,
"BEL","TRUSTGOV","TOT","PC","A","2011",35.7,
"BEL","TRUSTGOV","TOT","PC","A","2012",35.7,
"BEL","TRUSTGOV","TOT","PC","A","2013",49.3,
"BEL","TRUSTGOV","TOT","PC","A","2014",49.3,
"BEL","TRUSTGOV","TOT","PC","A","2015",49.3,
"BEL","TRUSTGOV","TOT","PC","A","2016",43.7,
"BEL","TRUSTGOV","TOT","PC","A","2017",43.7,
"BEL","TRUSTGOV","TOT","PC","A","2018",43.7,
"CAN","TRUSTGOV","TOT","PC","A","2006",57,
"CAN","TRUSTGOV","TOT","PC","A","2007",57,
"CAN","TRUSTGOV","TOT","PC","A","2008",57,
"CAN","TRUSTGOV","TOT","PC","A","2009",57,
"CAN","TRUSTGOV","TOT","PC","A","2010",54,
"CAN","TRUSTGOV","TOT","PC","A","2011",54,
"CAN","TRUSTGOV","TOT","PC","A","2012",54,
"CAN","TRUSTGOV","TOT","PC","A","2013",55.7,
"CAN","TRUSTGOV","TOT","PC","A","2014",55.7,
"CAN","TRUSTGOV","TOT","PC","A","2015",55.7,
"CAN","TRUSTGOV","TOT","PC","A","2016",62.7,
"CAN","TRUSTGOV","TOT","PC","A","2017",62.7,
"CAN","TRUSTGOV","TOT","PC","A","2018",62.7,
"CZE","TRUSTGOV","TOT","PC","A","2006",30,
"CZE","TRUSTGOV","TOT","PC","A","2007",30,
"CZE","TRUSTGOV","TOT","PC","A","2008",30,
"CZE","TRUSTGOV","TOT","PC","A","2009",30,
"CZE","TRUSTGOV","TOT","PC","A","2010",23,
"CZE","TRUSTGOV","TOT","PC","A","2011",23,
"CZE","TRUSTGOV","TOT","PC","A","2012",23,
"CZE","TRUSTGOV","TOT","PC","A","2013",34,
"CZE","TRUSTGOV","TOT","PC","A","2014",34,
"CZE","TRUSTGOV","TOT","PC","A","2015",34,
"CZE","TRUSTGOV","TOT","PC","A","2016",39.3,
"CZE","TRUSTGOV","TOT","PC","A","2017",39.3,
"CZE","TRUSTGOV","TOT","PC","A","2018",39.3,
"DNK","TRUSTGOV","TOT","PC","A","2006",64,
"DNK","TRUSTGOV","TOT","PC","A","2007",64,
"DNK","TRUSTGOV","TOT","PC","A","2008",64,
"DNK","TRUSTGOV","TOT","PC","A","2009",64,
"DNK","TRUSTGOV","TOT","PC","A","2010",53,
"DNK","TRUSTGOV","TOT","PC","A","2011",53,
"DNK","TRUSTGOV","TOT","PC","A","2012",53,
"DNK","TRUSTGOV","TOT","PC","A","2013",47.7,
"DNK","TRUSTGOV","TOT","PC","A","2014",47.7,
"DNK","TRUSTGOV","TOT","PC","A","2015",47.7,
"DNK","TRUSTGOV","TOT","PC","A","2016",55.7,
"DNK","TRUSTGOV","TOT","PC","A","2017",55.7,
"DNK","TRUSTGOV","TOT","PC","A","2018",55.7,
"FIN","TRUSTGOV","TOT","PC","A","2006",74,
"FIN","TRUSTGOV","TOT","PC","A","2007",74,
"FIN","TRUSTGOV","TOT","PC","A","2008",74,
"FIN","TRUSTGOV","TOT","PC","A","2009",74,
"FIN","TRUSTGOV","TOT","PC","A","2010",54.3,
"FIN","TRUSTGOV","TOT","PC","A","2011",54.3,
"FIN","TRUSTGOV","TOT","PC","A","2012",54.3,
"FIN","TRUSTGOV","TOT","PC","A","2013",48.3,
"FIN","TRUSTGOV","TOT","PC","A","2014",48.3,
"FIN","TRUSTGOV","TOT","PC","A","2015",48.3,
"FIN","TRUSTGOV","TOT","PC","A","2016",55,
"FIN","TRUSTGOV","TOT","PC","A","2017",55,
"FIN","TRUSTGOV","TOT","PC","A","2018",55,
"FRA","TRUSTGOV","TOT","PC","A","2006",40,
"FRA","TRUSTGOV","TOT","PC","A","2007",40,
"FRA","TRUSTGOV","TOT","PC","A","2008",40,
"FRA","TRUSTGOV","TOT","PC","A","2009",40,
"FRA","TRUSTGOV","TOT","PC","A","2010",40.7,
"FRA","TRUSTGOV","TOT","PC","A","2011",40.7,
"FRA","TRUSTGOV","TOT","PC","A","2012",40.7,
"FRA","TRUSTGOV","TOT","PC","A","2013",33,
"FRA","TRUSTGOV","TOT","PC","A","2014",33,
"FRA","TRUSTGOV","TOT","PC","A","2015",33,
"FRA","TRUSTGOV","TOT","PC","A","2016",34.3,
"FRA","TRUSTGOV","TOT","PC","A","2017",34.3,
"FRA","TRUSTGOV","TOT","PC","A","2018",34.3,
"DEU","TRUSTGOV","TOT","PC","A","2006",40.8,
"DEU","TRUSTGOV","TOT","PC","A","2007",40.8,
"DEU","TRUSTGOV","TOT","PC","A","2008",40.8,
"DEU","TRUSTGOV","TOT","PC","A","2009",40.8,
"DEU","TRUSTGOV","TOT","PC","A","2010",44.7,
"DEU","TRUSTGOV","TOT","PC","A","2011",44.7,
"DEU","TRUSTGOV","TOT","PC","A","2012",44.7,
"DEU","TRUSTGOV","TOT","PC","A","2013",59.7,
"DEU","TRUSTGOV","TOT","PC","A","2014",59.7,
"DEU","TRUSTGOV","TOT","PC","A","2015",59.7,
"DEU","TRUSTGOV","TOT","PC","A","2016",58.7,
"DEU","TRUSTGOV","TOT","PC","A","2017",58.7,
"DEU","TRUSTGOV","TOT","PC","A","2018",58.7,
"GRC","TRUSTGOV","TOT","PC","A","2006",39.7,
"GRC","TRUSTGOV","TOT","PC","A","2007",39.7,
"GRC","TRUSTGOV","TOT","PC","A","2008",39.7,
"GRC","TRUSTGOV","TOT","PC","A","2009",39.7,
"GRC","TRUSTGOV","TOT","PC","A","2010",18.3,
"GRC","TRUSTGOV","TOT","PC","A","2011",18.3,
"GRC","TRUSTGOV","TOT","PC","A","2012",18.3,
"GRC","TRUSTGOV","TOT","PC","A","2013",25.7,
"GRC","TRUSTGOV","TOT","PC","A","2014",25.7,
"GRC","TRUSTGOV","TOT","PC","A","2015",25.7,
"GRC","TRUSTGOV","TOT","PC","A","2016",14.3,
"GRC","TRUSTGOV","TOT","PC","A","2017",14.3,
"GRC","TRUSTGOV","TOT","PC","A","2018",14.3,
"HUN","TRUSTGOV","TOT","PC","A","2006",27,
"HUN","TRUSTGOV","TOT","PC","A","2007",27,
"HUN","TRUSTGOV","TOT","PC","A","2008",27,
"HUN","TRUSTGOV","TOT","PC","A","2009",27,
"HUN","TRUSTGOV","TOT","PC","A","2010",27.3,
"HUN","TRUSTGOV","TOT","PC","A","2011",27.3,
"HUN","TRUSTGOV","TOT","PC","A","2012",27.3,
"HUN","TRUSTGOV","TOT","PC","A","2013",30.7,
"HUN","TRUSTGOV","TOT","PC","A","2014",30.7,
"HUN","TRUSTGOV","TOT","PC","A","2015",30.7,
"HUN","TRUSTGOV","TOT","PC","A","2016",35.7,
"HUN","TRUSTGOV","TOT","PC","A","2017",35.7,
"HUN","TRUSTGOV","TOT","PC","A","2018",35.7,
"ISL","TRUSTGOV","TOT","PC","A","2010",26,
"ISL","TRUSTGOV","TOT","PC","A","2011",26,
"ISL","TRUSTGOV","TOT","PC","A","2012",26,
"ISL","TRUSTGOV","TOT","PC","A","2013",44.5,
"ISL","TRUSTGOV","TOT","PC","A","2014",44.5,
"ISL","TRUSTGOV","TOT","PC","A","2015",44.5,
"ISL","TRUSTGOV","TOT","PC","A","2016",36.5,
"ISL","TRUSTGOV","TOT","PC","A","2017",36.5,
"ISL","TRUSTGOV","TOT","PC","A","2018",36.5,
"IRL","TRUSTGOV","TOT","PC","A","2006",47.7,
"IRL","TRUSTGOV","TOT","PC","A","2007",47.7,
"IRL","TRUSTGOV","TOT","PC","A","2008",47.7,
"IRL","TRUSTGOV","TOT","PC","A","2009",47.7,
"IRL","TRUSTGOV","TOT","PC","A","2010",40.3,
"IRL","TRUSTGOV","TOT","PC","A","2011",40.3,
"IRL","TRUSTGOV","TOT","PC","A","2012",40.3,
"IRL","TRUSTGOV","TOT","PC","A","2013",44,
"IRL","TRUSTGOV","TOT","PC","A","2014",44,
"IRL","TRUSTGOV","TOT","PC","A","2015",44,
"IRL","TRUSTGOV","TOT","PC","A","2016",59.7,
"IRL","TRUSTGOV","TOT","PC","A","2017",59.7,
"IRL","TRUSTGOV","TOT","PC","A","2018",59.7,
"ITA","TRUSTGOV","TOT","PC","A","2006",32.5,
"ITA","TRUSTGOV","TOT","PC","A","2007",32.5,
"ITA","TRUSTGOV","TOT","PC","A","2008",32.5,
