"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"OECD","QGDP","TOT","PC_CHGPP","A","1962",5.696916,
"OECD","QGDP","TOT","PC_CHGPP","A","1963",5.175455,
"OECD","QGDP","TOT","PC_CHGPP","A","1964",6.361377,
"OECD","QGDP","TOT","PC_CHGPP","A","1965",5.364164,
"OECD","QGDP","TOT","PC_CHGPP","A","1966",5.733038,
"OECD","QGDP","TOT","PC_CHGPP","A","1967",3.942569,
"OECD","QGDP","TOT","PC_CHGPP","A","1968",5.904554,
"OECD","QGDP","TOT","PC_CHGPP","A","1969",5.561259,
"OECD","QGDP","TOT","PC_CHGPP","A","1970",3.91758,
"OECD","QGDP","TOT","PC_CHGPP","A","1971",3.696635,
"OECD","QGDP","TOT","PC_CHGPP","A","1972",5.468584,
"OECD","QGDP","TOT","PC_CHGPP","A","1973",6.106965,
"OECD","QGDP","TOT","PC_CHGPP","A","1974",1.063031,
"OECD","QGDP","TOT","PC_CHGPP","A","1975",0.456327,
"OECD","QGDP","TOT","PC_CHGPP","A","1976",4.911748,
"OECD","QGDP","TOT","PC_CHGPP","A","1977",3.67945,
"OECD","QGDP","TOT","PC_CHGPP","A","1978",4.425892,
"OECD","QGDP","TOT","PC_CHGPP","A","1979",3.898008,
"OECD","QGDP","TOT","PC_CHGPP","A","1980",1.279126,
"OECD","QGDP","TOT","PC_CHGPP","A","1981",2.261218,
"OECD","QGDP","TOT","PC_CHGPP","A","1982",0.198218,
"OECD","QGDP","TOT","PC_CHGPP","A","1983",2.832232,
"OECD","QGDP","TOT","PC_CHGPP","A","1984",4.782642,
"OECD","QGDP","TOT","PC_CHGPP","A","1985",3.853516,
"OECD","QGDP","TOT","PC_CHGPP","A","1986",2.896711,
"OECD","QGDP","TOT","PC_CHGPP","A","1987",3.607929,
"OECD","QGDP","TOT","PC_CHGPP","A","1988",4.597936,
"OECD","QGDP","TOT","PC_CHGPP","A","1989",3.86642,
"OECD","QGDP","TOT","PC_CHGPP","A","1990",3.215958,
"OECD","QGDP","TOT","PC_CHGPP","A","1991",1.462244,
"OECD","QGDP","TOT","PC_CHGPP","A","1992",2.267526,
"OECD","QGDP","TOT","PC_CHGPP","A","1993",1.502183,
"OECD","QGDP","TOT","PC_CHGPP","A","1994",3.038164,
"OECD","QGDP","TOT","PC_CHGPP","A","1995",2.554383,
"OECD","QGDP","TOT","PC_CHGPP","A","1996",3.19097,
"OECD","QGDP","TOT","PC_CHGPP","A","1997",3.627222,
"OECD","QGDP","TOT","PC_CHGPP","A","1998",2.929779,
"OECD","QGDP","TOT","PC_CHGPP","A","1999",3.301134,
"OECD","QGDP","TOT","PC_CHGPP","A","2000",4.123815,
"OECD","QGDP","TOT","PC_CHGPP","A","2001",1.407004,
"OECD","QGDP","TOT","PC_CHGPP","A","2002",1.679504,
"OECD","QGDP","TOT","PC_CHGPP","A","2003",2.112154,
"OECD","QGDP","TOT","PC_CHGPP","A","2004",3.343879,
"OECD","QGDP","TOT","PC_CHGPP","A","2005",2.909444,
"OECD","QGDP","TOT","PC_CHGPP","A","2006",3.202615,
"OECD","QGDP","TOT","PC_CHGPP","A","2007",2.692159,
"OECD","QGDP","TOT","PC_CHGPP","A","2008",0.358234,
"OECD","QGDP","TOT","PC_CHGPP","A","2009",-3.358881,
"OECD","QGDP","TOT","PC_CHGPP","A","2010",3.051011,
"OECD","QGDP","TOT","PC_CHGPP","A","2011",2.09383,
"OECD","QGDP","TOT","PC_CHGPP","A","2012",1.383608,
"OECD","QGDP","TOT","PC_CHGPP","A","2013",1.607093,
"OECD","QGDP","TOT","PC_CHGPP","A","2014",2.194043,
"OECD","QGDP","TOT","PC_CHGPP","A","2015",2.614217,
"OECD","QGDP","TOT","PC_CHGPP","A","2016",1.862195,
"OECD","QGDP","TOT","PC_CHGPP","A","2017",2.678967,
"OECD","QGDP","TOT","PC_CHGPP","A","2018",2.326957,
"OECD","QGDP","TOT","PC_CHGPP","A","2019",1.629709,
"EST","QGDP","TOT","PC_CHGPP","A","1996",4.935972,
"EST","QGDP","TOT","PC_CHGPP","A","1997",13.046535,
"EST","QGDP","TOT","PC_CHGPP","A","1998",4.330296,
"EST","QGDP","TOT","PC_CHGPP","A","1999",-0.403436,
"EST","QGDP","TOT","PC_CHGPP","A","2000",10.10652,
"EST","QGDP","TOT","PC_CHGPP","A","2001",5.979603,
