Record Date,Security Type Description,Security Class Description,Debt Held by the Public,Intragovernmental Holdings,Total Public Debt Outstanding,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
"2002-01-31","Nonmarketable","Other","3669.00","0.00","3669.00","14","2002","2","2002","1","01","31"
"2002-01-31","Marketable","Bonds","602271.00","459.00","602730.00","3","2002","2","2002","1","01","31"
"2002-01-31","Marketable","Federal Financing Bank","0.00","15000.00","15000.00","6","2002","2","2002","1","01","31"
"2002-01-31","Nonmarketable","State and Local Government Series","143196.00","0.00","143196.00","11","2002","2","2002","1","01","31"
"2002-01-31","Nonmarketable","Domestic Series","29995.00","0.00","29995.00","8","2002","2","2002","1","01","31"
"2002-01-31","Marketable","Inflation-Indexed Bonds","44733.00","0.00","44733.00","5","2002","2","2002","1","01","31"
"2002-01-31","Nonmarketable","Government Account Series","42019.00","2542803.00","2584822.00","13","2002","2","2002","1","01","31"
"2002-01-31","Nonmarketable","Foreign Series","16412.00","0.00","16412.00","9","2002","2","2002","1","01","31"
"2002-01-31","Marketable","Bills","792693.00","34.00","792727.00","1","2002","2","2002","1","01","31"
"2002-01-31","Nonmarketable","United States Savings Securities","190947.00","0.00","190947.00","12","2002","2","2002","1","01","31"
"2002-01-31","Total Public Debt Outstanding","_","3378924.00","2558304.00","5937229.00","17","2002","2","2002","1","01","31"
"2002-01-31","Nonmarketable","R.E.A. Series","1.00","0.00","1.00","10","2002","2","2002","1","01","31"
"2002-01-31","Marketable","Notes","1411894.00","8.00","1411902.00","2","2002","2","2002","1","01","31"
"2002-01-31","Total Nonmarketable","_","426239.00","2542803.00","2969043.00","15","2002","2","2002","1","01","31"
"2002-01-31","Total Marketable","_","2952685.00","15501.00","2968186.00","7","2002","2","2002","1","01","31"
"2002-01-31","Marketable","Inflation-Indexed Notes","101094.00","0.00","101094.00","4","2002","2","2002","1","01","31"
"2002-02-28","Nonmarketable","Foreign Series","14778.00","0.00","14778.00","9","2002","2","2002","1","02","28"
"2002-02-28","Nonmarketable","State and Local Government Series","141823.00","0.00","141823.00","11","2002","2","2002","1","02","28"
"2002-02-28","Marketable","Federal Financing Bank","0.00","15000.00","15000.00","6","2002","2","2002","1","02","28"
"2002-02-28","Nonmarketable","Government Account Series","42344.00","2545708.00","2588053.00","13","2002","2","2002","1","02","28"
"2002-02-28","Nonmarketable","Other","3669.00","0.00","3669.00","14","2002","2","2002","1","02","28"
"2002-02-28","Total Public Debt Outstanding","_","3442244.00","2561209.00","6003453.00","17","2002","2","2002","1","02","28"
"2002-02-28","Marketable","Inflation-Indexed Notes","100727.00","0.00","100727.00","4","2002","2","2002","1","02","28"
"2002-02-28","Total Nonmarketable","_","424125.00","2545708.00","2969833.00","15","2002","2","2002","1","02","28"
"2002-02-28","Nonmarketable","Domestic Series","29995.00","0.00","29995.00","8","2002","2","2002","1","02","28"
"2002-02-28","Nonmarketable","United States Savings Securities","191514.00","0.00","191514.00","12","2002","2","2002","1","02","28"
"2002-02-28","Marketable","Bonds","596365.00","459.00","596824.00","3","2002","2","2002","1","02","28"
"2002-02-28","Marketable","Notes","1443237.00","8.00","1443245.00","2","2002","2","2002","1","02","28"
"2002-02-28","Marketable","Inflation-Indexed Bonds","44579.00","0.00","44579.00","5","2002","2","2002","1","02","28"
"2002-02-28","Marketable","Bills","833211.00","34.00","833244.00","1","2002","2","2002","1","02","28"
"2002-02-28","Total Marketable","_","3018119.00","15501.00","3033620.00","7","2002","2","2002","1","02","28"
"2002-02-28","Nonmarketable","R.E.A. Series","1.00","0.00","1.00","10","2002","2","2002","1","02","28"
"2002-03-31","Total Marketable","_","3019527.00","15498.00","3035025.00","7","2002","2","2002","1","03","31"
"2002-03-31","Marketable","Inflation-Indexed Bonds","44661.00","0.00","44661.00","5","2002","2","2002","1","03","31"
"2002-03-31","Nonmarketable","Government Account Series","43269.00","2546397.00","2589665.00","13","2002","2","2002","1","03","31"
"2002-03-31","Nonmarketable","Domestic Series","29995.00","0.00","29995.00","8","2002","2","2002","1","03","31"
"2002-03-31","Nonmarketable","R.E.A. Series","1.00","0.00","1.00","10","2002","2","2002","1","03","31"
"2002-03-31","Marketable","Bonds","596325.00","459.00","596784.00","3","2002","2","2002","1","03","31"
"2002-03-31","Nonmarketable","State and Local Government Series","141053.00","0.00","141053.00","11","2002","2","2002","1","03","31"
"2002-03-31","Nonmarketable","Other","3751.00","0.00","3751.00","14","2002","2","2002","1","03","31"
"2002-03-31","Marketable","Notes","1443242.00","8.00","1443250.00","2","2002","2","2002","1","03","31"
"2002-03-31","Total Public Debt Outstanding","_","3444137.00","2561895.00","6006032.00","17","2002","2","2002","1","03","31"
"2002-03-31","Marketable","Bills","834378.00","31.00","834409.00","1","2002","2","2002","1","03","31"
"2002-03-31","Marketable","Inflation-Indexed Notes","100921.00","0.00","100921.00","4","2002","2","2002","1","03","31"
"2002-03-31","Marketable","Federal Financing Bank","0.00","15000.00","15000.00","6","2002","2","2002","1","03","31"
"2002-03-31","Total Nonmarketable","_","424610.00","2546397.00","2971007.00","15","2002","2","2002","1","03","31"
"2002-03-31","Nonmarketable","Foreign Series","14578.00","0.00","14578.00","9","2002","2","2002","1","03","31"
"2002-03-31","Nonmarketable","United States Savings Securities","191962.00","0.00","191962.00","12","2002","2","2002","1","03","31"
"2002-04-30","Total Marketable","_","2977390.00","15360.00","2992749.00","7","2002","3","2002","2","04","30"
"2002-04-30","Nonmarketable","Other","3910.00","0.00","3910.00","14","2002","3","2002","2","04","30"
"2002-04-30","Marketable","Notes","1445361.00","16.00","1445377.00","2","2002","3","2002","2","04","30"
"2002-04-30","Marketable","Inflation-Indexed Notes","101298.00","0.00","101298.00","4","2002","3","2002","2","04","30"
"2002-04-30","Nonmarketable","United States Savings Securities","192406.00","0.00","192406.00","12","2002","3","2002","2","04","30"
"2002-04-30","Total Public Debt Outstanding","_","3402337.00","2582340.00","5984677.00","17","2002","3","2002","2","04","30"
"2002-04-30","Marketable","Federal Financing Bank","0.00","15000.00","15000.00","6","2002","3","2002","2","04","30"
"2002-04-30","Nonmarketable","R.E.A. Series","1.00","0.00","1.00","10","2002","3","2002","2","04","30"
"2002-04-30","Nonmarketable","Domestic Series","29995.00","0.00","29995.00","8","2002","3","2002","2","04","30"
"2002-04-30","Marketable","Bonds","592710.00","310.00","593020.00","3","2002","3","2002","2","04","30"
"2002-04-30","Nonmarketable","Foreign Series","14778.00","0.00","14778.00","9","2002","3","2002","2","04","30"
"2002-04-30","Total Nonmarketable","_","424947.00","2566981.00","2991928.00","15","2002","3","2002","2","04","30"
"2002-04-30","Marketable","Inflation-Indexed Bonds","44552.00","0.00","44552.00","5","2002","3","2002","2","04","30"
"2002-04-30","Nonmarketable","State and Local Government Series","140295.00","0.00","140295.00","11","2002","3","2002","2","04","30"
"2002-04-30","Nonmarketable","Government Account Series","43562.00","2566981.00","2610543.00","13","2002","3","2002","2","04","30"
"2002-04-30","Marketable","Bills","793469.00","34.00","793503.00","1","2002","3","2002","2","04","30"
"2002-05-31","Nonmarketable","Government Account Series","16856.00","2570136.00","2586992.00","13","2002","3","2002","2","05","31"
"2002-05-31","Marketable","Inflation-Indexed Notes","101863.00","0.00","101863.00","4","2002","3","2002","2","05","31"
"2002-05-31","Marketable","Federal Financing Bank","0.00","15000.00","15000.00","6","2002","3","2002","2","05","31"
"2002-05-31","Nonmarketable","Other","3854.00","0.00","3854.00","14","2002","3","2002","2","05","31"
"2002-05-31","Marketable","Inflation-Indexed Bonds","44800.00","0.00","44800.00","5","2002","3","2002","2","05","31"
"2002-05-31","Total Public Debt Outstanding","_","3433836.00","2585496.00","6019332.00","17","2002","3","2002","2","05","31"
"2002-05-31","Nonmarketable","R.E.A. Series","1.00","0.00","1.00","10","2002","3","2002","2","05","31"
"2002-05-31","Nonmarketable","United States Savings Securities","192594.00","0.00","192594.00","12","2002","3","2002","2","05","31"
"2002-05-31","Marketable","Notes","1474313.00","16.00","1474329.00","2","2002","3","2002","2","05","31"
"2002-05-31","Total Nonmarketable","_","404059.00","2570136.00","2974195.00","15","2002","3","2002","2","05","31"
"2002-05-31","Nonmarketable","State and Local Government Series","146380.00","0.00","146380.00","11","2002","3","2002","2","05","31"
"2002-05-31","Marketable","Bills","816096.00","34.00","816130.00","1","2002","3","2002","2","05","31"
"2002-05-31","Marketable","Bonds","592705.00","310.00","593015.00","3","2002","3","2002","2","05","31"
"2002-05-31","Nonmarketable","Foreign Series","14378.00","0.00","14378.00","9","2002","3","2002","2","05","31"
"2002-05-31","Total Marketable","_","3029777.00","15360.00","3045137.00","7","2002","3","2002","2","05","31"
"2002-05-31","Nonmarketable","Domestic Series","29995.00","0.00","29995.00","8","2002","3","2002","2","05","31"
"2002-06-30","Total Nonmarketable","_","427225.00","2646953.00","3074178.00","15","2002","3","2002","2","06","30"
"2002-06-30","Nonmarketable","United States Savings Securities","192771.00","0.00","192771.00","12","2002","3","2002","2","06","30"
"2002-06-30","Marketable","Federal Financing Bank","0.00","15000.00","15000.00","6","2002","3","2002","2","06","30"
"2002-06-30","Marketable","Bonds","592704.00","310.00","593014.00","3","2002","3","2002","2","06","30"
"2002-06-30","Marketable","Bills","822439.00","33.00","822472.00","1","2002","3","2002","2","06","30"
