"","Australia","Austria","Belgium","Canada","Chile","Croatia","Cyprus","Czech Republic","Denmark","Estonia","Finland","France","Germany","Greece","Hungary","Iceland","Ireland","Israel","Italy","Japan","Latvia","Lithuania","Luxembourg","Malta","Netherlands","Norway","Panama","Poland","Portugal","Seychelles","Slovak Republic","Slovenia","South Korea","Spain","Sweden","Switzerland","United Arab Emirates","United Kingdom","United States","Uruguay"
"Australia",1,-0.215161744063887,-0.206924525797483,-0.290104131639635,-0.0382379886433083,-0.22508778334646,-0.203033122827887,-0.261101008350321,-0.251732756915685,-0.185837224331843,-0.27307728745357,-0.248688807398003,-0.182941560114029,-0.214979745648936,-0.269810021704777,0.0397757455700706,-0.23685650449986,0.0943671415231199,-0.223871030397881,0.27899492828176,-0.228698062687124,-0.219533340302142,-0.109140718954044,-0.181491158262343,-0.259714257638014,-0.142778181343118,0.345654750444266,-0.240334230072432,-0.233315691257899,0.129405346370105,-0.273304293251008,-0.253725158995822,-0.109620243069737,-0.125348405475999,-0.255382840750201,-0.204002237091364,-0.355962293412077,-0.29663689766755,0.0612497982768319,-0.106248300312775
"Austria",-0.215161744063887,1,0.612143935809557,0.884677868569194,-0.11715685672177,0.949335044279093,0.941462455136135,0.739353317473646,0.929380590524663,0.885990180105285,0.783453405082667,0.832150265132632,0.969389593101304,0.993763664090418,0.970252515210892,0.262908594396048,0.386299441262349,0.0162826831765077,0.987331508043558,0.678354686528877,0.913325569172307,0.950387947156275,0.935717916263505,0.860907727151929,0.754377184234943,0.950784652261665,0.442890449408797,0.985778911858694,0.982909073737189,-0.000111005558798187,0.857333842642292,0.921022065163498,0.332172304472109,0.785040537842221,0.920244453937217,0.920677561787574,0.664757732876059,0.883728006188939,0.85992589049758,0.836084892778494
"Belgium",-0.206924525797483,0.612143935809557,1,0.586754951620191,-0.111471298027217,0.640517846090235,0.659535692329308,0.963708010136569,0.688729510335503,0.35811484122577,0.59039143834524,0.898590802177066,0.686802704452879,0.580301171045457,0.590978954810271,0.601947529197562,0.74034207785657,0.0778734716713298,0.671745193454935,0.291919476436803,0.537030571626078,0.473818833669545,0.752417845833019,0.773614834524509,0.934901427754844,0.6035845037157,0.222829583902084,0.693997665371451,0.633678250419124,-0.0630934414906663,0.911884493954794,0.824141128473708,0.0408452665232972,0.798972961413085,0.43733306692686,0.841145285329594,0.686147858417053,0.841233680897522,0.463860308409154,0.456470536133963
"Canada",-0.290104131639635,0.884677868569194,0.586754951620191,1,-0.0654910163897015,0.910345847921328,0.922695659090372,0.697417107333102,0.935482167647585,0.903382892036412,0.951957730110347,0.735488474929725,0.911187415757101,0.886429034186698,0.928235623608195,0.330854563459919,0.582377064734413,0.09289024112067,0.892292477688071,0.697476129616456,0.930879867145597,0.909114093801682,0.847656040336081,0.84293590491748,0.773711057408787,0.858787812509281,0.434520095093252,0.882795929780323,0.928909428808083,-0.0274503207651294,0.810735868322562,0.865817514760125,0.267132088853322,0.72915300807014,0.90922785664553,0.798842452246259,0.805938248766345,0.893439560367053,0.856902085905395,0.89781897008016
"Chile",-0.0382379886433083,-0.11715685672177,-0.111471298027217,-0.0654910163897015,1,-0.100439408383072,-0.128525265304078,-0.095831785152559,-0.147889223186224,-0.135240339791612,-0.180974612058615,-0.126194843334998,-0.164383857582012,-0.102299695572785,-0.101926574982715,-0.285651579031182,-0.241682088973652,0.00416934533658253,-0.15338928282447,-0.100879039414457,-0.108146550751098,-0.096003242438266,-0.136619993116732,-0.120569506630408,-0.127789864174922,-0.223776243047444,0.371024927155449,-0.0863439125354488,-0.0830091497053321,0.192255642967505,-0.105472001067655,-0.107317805868341,-0.241393469320022,-0.188482024442203,0.0803938768432352,-0.137713918610639,0.26721708413169,-0.122073129964781,0.0633887660453677,-0.108316471720092
"Croatia",-0.22508778334646,0.949335044279093,0.640517846090235,0.910345847921328,-0.100439408383072,1,0.983407695530963,0.747883133648108,0.94645123075754,0.920493022878994,0.854734387446006,0.782834777276628,0.961463864105999,0.955470699948668,0.977926438382603,0.242889151396886,0.401861699236109,0.00445167384173895,0.955335997604441,0.739885419742493,0.976638238181765,0.971845492575891,0.92800008221141,0.876527400845422,0.780665120260362,0.898970425504766,0.510616980657951,0.957811661678644,0.967876657359161,0.0410768148271385,0.870333388495806,0.957029576994779,0.418215881802147,0.748213246167199,0.934620211521709,0.893806721695862,0.697751993766194,0.861771692738864,0.887788680609976,0.926201284627564
"Cyprus",-0.203033122827887,0.941462455136135,0.659535692329308,0.922695659090372,-0.128525265304078,0.983407695530963,1,0.767564695673509,0.947053702283258,0.914602370363772,0.882802605340308,0.792419315586397,0.972774345566423,0.94222466264255,0.96375176314964,0.307406457678372,0.477116769957641,-0.0298771300153585,0.958441622019033,0.726570547882963,0.969140218719845,0.958836549560544,0.932954449440472,0.891928556558195,0.802439842596725,0.908956247694798,0.462891664556041,0.956308111192832,0.967523053482885,0.0228197917949147,0.877896281260816,0.949964544805089,0.37429250795588,0.750190383427932,0.924893213744848,0.900880402253644,0.691619950816068,0.881139789521807,0.870579630722785,0.915613497332494
"Czech Republic",-0.261101008350321,0.739353317473646,0.963708010136569,0.697417107333102,-0.095831785152559,0.747883133648108,0.767564695673509,1,0.793505057134363,0.499786290517503,0.678046769664542,0.950719307721725,0.778542312340475,0.715164723516724,0.729252886217728,0.577459689382682,0.710634190768045,0.15400000937937,0.770309745220313,0.396586566160984,0.662866601107257,0.611319286389983,0.82212794016146,0.884273544640254,0.977442240312151,0.703825041823636,0.320931187045679,0.805351050903492,0.75145136107309,-0.0382766582048823,0.971664889971525,0.888056804515033,0.11898656477896,0.862995077478236,0.569900843996566,0.897807638445606,0.773532218129723,0.920179919870565,0.591238484257694,0.57958864530949
"Denmark",-0.251732756915685,0.929380590524663,0.688729510335503,0.935482167647585,-0.147889223186224,0.94645123075754,0.947053702283258,0.793505057134363,1,0.893670277635808,0.898326787064544,0.846122581354309,0.951795829333947,0.933624946493387,0.961479533454151,0.412147406049214,0.543837375374334,0.217052754952627,0.931428026957199,0.708952187790569,0.923308546909934,0.912591705566873,0.92121988937415,0.908081966309593,0.846168495728384,0.923665282994532,0.462382962826702,0.924492159250458,0.948954830201112,-0.0178344895455639,0.886923309962894,0.931095124155225,0.330610438933411,0.86028898102838,0.874365340200611,0.888150823792583,0.77778493955332,0.911846484829317,0.850082808856553,0.882145232258258
"Estonia",-0.185837224331843,0.885990180105285,0.35811484122577,0.903382892036412,-0.135240339791612,0.920493022878994,0.914602370363772,0.499786290517503,0.893670277635808,1,0.867609930774525,0.574056543797237,0.892785869755274,0.900921599328932,0.933322339443434,0.19510209534797,0.288867753217921,0.0463467885584495,0.875854838747135,0.764945001284393,0.958689530817083,0.967594022789875,0.810091132031094,0.746869916774508,0.584758584793981,0.879150575882256,0.45869559468052,0.846730568671342,0.913156534877826,0.0318534242993381,0.664925359603956,0.796622001953828,0.450680846929334,0.613887228339402,0.93844072229494,0.711944937291313,0.581166375409563,0.727224884122884,0.861912262839194,0.947177745294622
"Finland",-0.27307728745357,0.783453405082667,0.59039143834524,0.951957730110347,-0.180974612058615,0.854734387446006,0.882802605340308,0.678046769664542,0.898326787064544,0.867609930774525,1,0.674845779570859,0.861021917758544,0.782239589982974,0.852816562033475,0.488294415964354,0.657045162449243,0.114949807150475,0.812828820214752,0.653308606324482,0.895997551256259,0.836359766418713,0.788385922641887,0.816846949050749,0.78471065891718,0.815057578570928,0.351401195078929,0.78680034649191,0.847401647004865,-0.0374277318589062,0.775686834876515,0.814137098335298,0.29510724135072,0.703267203516673,0.81695583578547,0.729692713278945,0.744963821924316,0.851849744431988,0.763839300955236,0.885599106465995
"France",-0.248688807398003,0.832150265132632,0.898590802177066,0.735488474929725,-0.126194843334998,0.782834777276628,0.792419315586397,0.950719307721725,0.846122581354309,0.574056543797237,0.674845779570859,1,0.84411184198721,0.809381571365096,0.792282114495566,0.517637717511062,0.657455714418178,0.179532119099805,0.84646109204356,0.45617983078881,0.685289264267407,0.681609835566787,0.864055149663533,0.880156060447279,0.928500820957314,0.809801561086783,0.329997305976093,0.868262696672278,0.816241662738381,-0.0625449938762657,0.954821638887165,0.891383426557918,0.141439752158596,0.921323389480601,0.638293201574327,0.943904507776335,0.74937009146071,0.927306912718781,0.646235138013404,0.591812177758277
"Germany",-0.182941560114029,0.969389593101304,0.686802704452879,0.911187415757101,-0.164383857582012,0.961463864105999,0.972774345566423,0.778542312340475,0.951795829333947,0.892785869755274,0.861021917758544,0.84411184198721,1,0.95721303699578,0.95671731354573,0.381919055113557,0.496485240971757,-0.0277329942457217,0.987107747532286,0.673894914054694,0.93308541771269,0.93734249578028,0.960968403313408,0.874522346309761,0.807499843293299,0.965809596123197,0.402659359219313,0.967204477382469,0.975262395191274,-0.00458970587221816,0.887321577752085,0.946902623975699,0.327414374683605,0.807237104795136,0.90804243662989,0.943379952509324,0.669426079321211,0.903644704953464,0.84090565775267,0.871291740997423
"Greece",-0.214979745648936,0.993763664090418,0.580301171045457,0.886429034186698,-0.102299695572785,0.955470699948668,0.94222466264255,0.715164723516724,0.933624946493387,0.900921599328932,0.782239589982974,0.809381571365096,0.95721303699578,1,0.976488026827328,0.214036474939442,0.358999055685708,0.0490803154153023,0.975301539698651,0.725525250269124,0.91894308499002,0.958967447901365,0.917039383691375,0.866476035507121,0.737061818363913,0.936468301818118,0.48638105585677,0.978884912425278,0.981645747912586,0.00655282986817192,0.840087852399282,0.911780301899349,0.367615205084781,0.775830491161789,0.927068498612385,0.896469518206238,0.671742840508589,0.866215557567027,0.883069787178335,0.847897587188545
"Hungary",-0.269810021704777,0.970252515210892,0.590978954810271,0.928235623608195,-0.101926574982715,0.977926438382603,0.96375176314964,0.729252886217728,0.961479533454151,0.933322339443434,0.852816562033475,0.792282114495566,0.95671731354573,0.976488026827328,1,0.24961218944765,0.398049659488817,0.0893780058015824,0.956386807305375,0.722013099718806,0.967496877374003,0.972982179813905,0.915957703325269,0.878881891139285,0.766730117705425,0.91596812877269,0.491540133315935,0.959213579177289,0.976297830529146,0.0206490479632712,0.855117392273767,0.924750186249819,0.384710855838401,0.764631956908855,0.941389485685516,0.878635103766491,0.719883460702373,0.874023599737954,0.88335123561313,0.915636161530516
"Iceland",0.0397757455700706,0.262908594396048,0.601947529197562,0.330854563459919,-0.285651579031182,0.242889151396886,0.307406457678372,0.577459689382682,0.412147406049214,0.19510209534797,0.488294415964354,0.517637717511062,0.381919055113557,0.214036474939442,0.24961218944765,1,0.665620632462089,0.326708712843018,0.308314229363571,0.0824768814066814,0.246121693418481,0.147825017342025,0.394256770501353,0.479530461769986,0.646284871663961,0.429180492388114,-0.0179509885899256,0.266552500670029,0.284103912511697,-0.0966612278806145,0.505532475619507,0.372210650452288,-0.00402737401145559,0.608564532827218,0.0930134802814008,0.41088107836634,0.375082728220747,0.538349129583861,0.138889476586675,0.263195844765481
"Ireland",-0.23685650449986,0.386299441262349,0.74034207785657,0.582377064734413,-0.241682088973652,0.401861699236109,0.477116769957641,0.710634190768045,0.543837375374334,0.288867753217921,0.657045162449243,0.657455714418178,0.496485240971757,0.358999055685708,0.398049659488817,0.665620632462089,1,0.187839750946351,0.454235228812236,0.248921707279995,0.379563922071351,0.293345061319359,0.47610887683625,0.632980225550016,0.769696505764421,0.446139172469679,0.0512943537172201,0.43632959644404,0.460100598598637,-0.147576886045977,0.647459910101862,0.535949160951192,-0.0720350489190135,0.659981778025782,0.279634731502424,0.532349740489023,0.632070198077964,0.720393019275099,0.325507334765031,0.360358413999447
"Israel",0.0943671415231199,0.0162826831765077,0.0778734716713298,0.09289024112067,0.00416934533658253,0.00445167384173895,-0.0298771300153585,0.15400000937937,0.217052754952627,0.0463467885584495,0.114949807150475,0.179532119099805,-0.0277329942457217,0.0490803154153023,0.0893780058015824,0.326708712843018,0.187839750946351,1,-0.0682824426674441,0.248759708959621,-0.00406084119821996,-0.0293660959124383,0.000430289987670406,0.242042175939649,0.226239019079753,0.0397371939822078,0.40489888675618,-0.0285742247245049,0.0128130496547336,0.0201185899428114,0.103279571441985,0.0002298999502066,0.025360642426461,0.412669111551375,-0.0890269859488697,-0.0390423564936848,0.376194966362867,0.136652839012216,0.182295520096879,0.0789652527505395
"Italy",-0.223871030397881,0.987331508043558,0.671745193454935,0.892292477688071,-0.15338928282447,0.955335997604441,0.958441622019033,0.770309745220313,0.931428026957199,0.875854838747135,0.812828820214752,0.84646109204356,0.987107747532286,0.975301539698651,0.956386807305375,0.308314229363571,0.454235228812236,-0.0682824426674441,1,0.648400636224432,0.915701740700267,0.940576814664954,0.95497737207174,0.858096605532951,0.78451494229052,0.960021132393548,0.382197880764955,0.98595673430602,0.982760045930969,-0.0144520934656897,0.880743013151354,0.947207742942379,0.319099859636667,0.782432161141015,0.911631155889026,0.94728035982284,0.65396502382247,0.900368026930032,0.832679471808853,0.836482738386627
"Japan",0.27899492828176,0.678354686528877,0.291919476436803,0.697476129616456,-0.100879039414457,0.739885419742493,0.726570547882963,0.396586566160984,0.708952187790569,0.764945001284393,0.653308606324482,0.45617983078881,0.673894914054694,0.725525250269124,0.722013099718806,0.0824768814066814,0.248921707279995,0.248759708959621,0.648400636224432,1,0.739754188782439,0.751397327707198,0.629216315908529,0.704647524440438,0.479596226051666,0.64242918419659,0.752267154156235,0.658847146106648,0.706070208420763,0.0705888454257107,0.521550134887194,0.620824062189488,0.401249847967125,0.571750418287406,0.698185978580203,0.531547957261265,0.48536759480468,0.556762094490947,0.881278687587431,0.790510256830549
"Latvia",-0.228698062687124,0.913325569172307,0.537030571626078,0.930879867145597,-0.108146550751098,0.976638238181765,0.969140218719845,0.662866601107257,0.923308546909934,0.958689530817083,0.895997551256259,0.685289264267407,0.93308541771269,0.91894308499002,0.967496877374003,0.246121693418481,0.379563922071351,-0.00406084119821996,0.915701740700267,0.739754188782439,1,0.976422230129004,0.880393023930251,0.831439934023072,0.721679853963322,0.870424238761245,0.486412893659033,0.909209818830306,0.942184542532654,0.0455058446990184,0.803285693189494,0.899988178569202,0.424700380383344,0.66700403478801,0.948403409743418,0.815124733846494,0.668548015107841,0.821662804647207,0.87423113558427,0.966206969325934
"Lithuania",-0.219533340302142,0.950387947156275,0.473818833669545,0.909114093801682,-0.096003242438266,0.971845492575891,0.958836549560544,0.611319286389983,0.912591705566873,0.967594022789875,0.836359766418713,0.681609835566787,0.93734249578028,0.958967447901365,0.972982179813905,0.147825017342025,0.293345061319359,-0.0293660959124383,0.940576814664954,0.751397327707198,0.976422230129004,1,0.879397382169646,0.802098484258619,0.657907214239984,0.897034709679718,0.486446980915446,0.936198809737053,0.962055806091003,0.0376534813825351,0.76549519518101,0.881687129870168,0.425033501472572,0.652895915242922,0.969759434069133,0.81775843391602,0.622954653857157,0.793285724721603,0.890483949741735,0.926830482002464
"Luxembourg",-0.109140718954044,0.935717916263505,0.752417845833019,0.847656040336081,-0.136619993116732,0.92800008221141,0.932954449440472,0.82212794016146,0.92121988937415,0.810091132031094,0.788385922641887,0.864055149663533,0.960968403313408,0.917039383691375,0.915957703325269,0.394256770501353,0.47610887683625,0.000430289987670406,0.95497737207174,0.629216315908529,0.880393023930251,0.879397382169646,1,0.850616017774682,0.828819122887541,0.919353552887252,0.431768712514086,0.945206336657502,0.935446898496938,0.0271510328021999,0.907747601487249,0.953984075759992,0.243323975305314,0.798023388447333,0.846287974708337,0.955299838670153,0.66189272872097,0.892581404011422,0.819198406725723,0.816358870542349
"Malta",-0.181491158262343,0.860907727151929,0.773614834524509,0.84293590491748,-0.120569506630408,0.876527400845422,0.891928556558195,0.884273544640254,0.908081966309593,0.746869916774508,0.816846949050749,0.880156060447279,0.874522346309761,0.866476035507121,0.878881891139285,0.479530461769986,0.632980225550016,0.242042175939649,0.858096605532951,0.704647524440438,0.831439934023072,0.802098484258619,0.850616017774682,1,0.916489224003788,0.82563607233509,0.508823397504872,0.883382918064823,0.880478762810343,-0.0282648635001186,0.921656195613284,0.901830355745239,0.31867280928618,0.897028534868807,0.74867328682407,0.8676330297878,0.807305259631619,0.928382872783426,0.802312593633738,0.799313263256351
"Netherlands",-0.259714257638014,0.754377184234943,0.934901427754844,0.773711057408787,-0.127789864174922,0.780665120260362,0.802439842596725,0.977442240312151,0.846168495728384,0.584758584793981,0.78471065891718,0.928500820957314,0.807499843293299,0.737061818363913,0.766730117705425,0.646284871663961,0.769696505764421,0.226239019079753,0.78451494229052,0.479596226051666,0.721679853963322,0.657907214239984,0.828819122887541,0.916489224003788,1,0.742196043109079,0.354673382290305,0.808407593252428,0.785169661167791,-0.0532039274755823,0.969185919417543,0.894799466344584,0.161875297002646,0.885475848147235,0.613447366452869,0.873301409375988,0.816477168471142,0.949977452225083,0.643582232250074,0.658811550121336
"Norway",-0.142778181343118,0.950784652261665,0.6035845037157,0.858787812509281,-0.223776243047444,0.898970425504766,0.908956247694798,0.703825041823636,0.923665282994532,0.879150575882256,0.815057578570928,0.809801561086783,0.965809596123197,0.936468301818118,0.91596812877269,0.429180492388114,0.446139172469679,0.0397371939822078,0.960021132393548,0.64242918419659,0.870424238761245,0.897034709679718,0.919353552887252,0.82563607233509,0.742196043109079,1,0.341764472473504,0.920171845803277,0.937613368407709,-0.0315585083379304,0.814075210120884,0.87483584954729,0.329744117803045,0.816789414334046,0.854982746310205,0.895133087901793,0.600540410111654,0.855919099953904,0.787574434872542,0.819997249546364
"Panama",0.345654750444266,0.442890449408797,0.222829583902084,0.434520095093252,0.371024927155449,0.510616980657951,0.462891664556041,0.320931187045679,0.462382962826702,0.45869559468052,0.351401195078929,0.329997305976093,0.402659359219313,0.48638105585677,0.491540133315935,-0.0179509885899256,0.0512943537172201,0.40489888675618,0.382197880764955,0.752267154156235,0.486412893659033,0.486446980915446,0.431768712514086,0.508823397504872,0.354673382290305,0.341764472473504,1,0.445646068086718,0.475964912634756,0.343294894984851,0.387642782586484,0.429962401484209,0.182123432794393,0.403920550295381,0.509369265937115,0.345175824844334,0.511906366665956,0.366857772081144,0.78637794920556,0.545892363426802
"Poland",-0.240334230072432,0.985778911858694,0.693997665371451,0.882795929780323,-0.0863439125354488,0.957811661678644,0.956308111192832,0.805351050903492,0.924492159250458,0.846730568671342,0.78680034649191,0.868262696672278,0.967204477382469,0.978884912425278,0.959213579177289,0.266552500670029,0.43632959644404,-0.0285742247245049,0.98595673430602,0.658847146106648,0.909209818830306,0.936198809737053,0.945206336657502,0.883382918064823,0.808407593252428,0.920171845803277,0.445646068086718,1,0.979031179809848,6.45167633765407e-05,0.907084272509239,0.955426188400814,0.305947228496267,0.784827409255941,0.908459260594493,0.950142227042608,0.69937704330468,0.910417424911675,0.850923248584571,0.816733278432764
