"weekly_correlation","solution_diff","solved_ifr","it","initial_r0","incubation_period","distancing_effect","prop_susceptible","initial_shutdown","missing_death_rate"
0.799660742988631,0.333333333328483,0.0166489543189803,1706,2,4.5,0.4,0.5,2020-03-09,0.4
0.935711211607151,0.444444444445253,0.0159363265730354,4199,2.75,6,0.7,0.4,2020-03-07,0.55
0.586578900106505,0.444444444445253,0.00108132590681721,4460,3,4.5,0.6,0.7,2020-03-07,0.55
0.864915969472366,0.454545454544132,0.0218314694195195,2048,2.5,6,0.5,0.3,2020-03-07,0.45
0.818245998616107,0.454545454544132,0.00160125750340722,2719,2.75,5.5,0.4,0.5,2020-03-09,0.45
0.925085821803138,0.545454545455868,0.0255772624102029,2193,2.5,5.5,0.7,0.4,2020-03-07,0.45
0.872311999304744,0.545454545455868,0.00156220099581431,2739,2.75,5,0.5,0.5,2020-03-09,0.45
0.917333760357786,0.923076923078042,0.00123985749277019,370,3,5.5,0.6,0.6,2020-03-07,0.35
0.834201277574988,0.923076923078042,0.00125799629548221,495,3,5.5,0.7,0.7,2020-03-07,0.35
0.828576272398115,0.923076923078042,0.0372324654925805,122,2.25,6,0.4,0.4,2020-03-07,0.35
0.919438972633435,1.33333333332848,0.0197176969922239,1593,2.5,5.5,0.7,0.3,2020-03-09,0.4
0.882485052916373,1.44444444444525,0.00176253879912383,4308,2.5,4.5,0.4,0.6,2020-03-07,0.55
0.629907477834778,1.44444444444525,0.00121995375500573,4310,3,4.5,0.4,0.6,2020-03-07,0.55
0.833534996452626,1.45454545454413,0.00190542297881864,2159,2.75,4.5,0.6,0.4,2020-03-07,0.45
0.648698970467163,1.54545454545587,0.00102018457239243,2829,2.75,4,0.5,0.6,2020-03-09,0.45
0.946301337736328,1.55555555555475,0.036355032331624,4262,2.25,5,0.6,0.5,2020-03-07,0.55
0.922609969360157,1.55555555555475,0.00614655185126635,4294,2.75,5.5,0.7,0.5,2020-03-07,0.55
0.794258266146888,1.55555555555475,0.00342434707086211,4595,3,5.5,0.7,0.3,2020-03-09,0.55
0.916874002648438,1.92307692307804,0.00304711200071724,33,2.5,4.5,0.5,0.3,2020-03-07,0.35
0.874843784857107,1.92307692307804,0.0359385051630092,411,2,5,0.4,0.7,2020-03-07,0.35
