"geo_type","region","transportation_type","alternative_name","sub-region","country.x","date","mobility","week_day","weekend_ind","entity_name","country.y","country_name.x","mean_temp","county","state","fips","country_name.y","CountryCode","Date","C1_School closing","C1_Flag","C2_Workplace closing","C2_Flag","C3_Cancel public events","C3_Flag","C4_Restrictions on gatherings","C4_Flag","C5_Close public transport","C5_Flag","C6_Stay at home requirements","C6_Flag","C7_Restrictions on internal movement","C7_Flag","C8_International travel controls","E1_Income support","E1_Flag","E2_Debt/contract relief","E3_Fiscal measures","E4_International support","H1_Public information campaigns","H1_Flag","H2_Testing policy","H3_Contact tracing","H4_Emergency investment in healthcare","H5_Investment in vaccines","M1_Wildcard","ConfirmedCases","ConfirmedDeaths","StringencyIndex","StringencyIndexForDisplay","LegacyStringencyIndex","LegacyStringencyIndexForDisplay","cases","predicted_walking_baseline","percent_of_predicted","lag_cases","new_cases","smoothed_percent_of_predicted"
"country/region","Albania","walking",NA,NA,NA,2020-01-13,100,2,"Week Day","Albania","AL","Albania",44.78,NA,NA,NA,NA,"ALB",20200113,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,0,NA,99.7287673950195,1.00271970277048,NA,NA,0.988459699336888
"country/region","Albania","walking",NA,NA,NA,2020-01-14,100.68,3,"Week Day","Albania","AL","Albania",42.62,NA,NA,NA,NA,"ALB",20200114,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,0,NA,100.495880126953,1.00183211364301,NA,NA,0.969494099036642
"country/region","Albania","walking",NA,NA,NA,2020-01-15,98.93,4,"Week Day","Albania","AL","Albania",41.18,NA,NA,NA,NA,"ALB",20200115,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,0,NA,102.27449798584,0.967298808092875,NA,NA,0.951647169293733
"country/region","Albania","walking",NA,NA,NA,2020-01-16,98.46,5,"Week Day","Albania","AL","Albania",40.46,NA,NA,NA,NA,"ALB",20200116,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,0,NA,103.331466674805,0.952855922483557,NA,NA,0.934961691818198
"country/region","Albania","walking",NA,NA,NA,2020-01-17,100.85,6,"Week Day","Albania","AL","Albania",40.82,NA,NA,NA,NA,"ALB",20200117,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,0,NA,123.270820617676,0.818117373557414,NA,NA,0.919341494462116
"country/region","Albania","walking",NA,NA,NA,2020-01-18,100.13,7,"Weekend","Albania","AL","Albania",42.98,NA,NA,NA,NA,"ALB",20200118,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,0,NA,126.921569824219,0.788912397937372,NA,NA,0.904698066248577
"country/region","Albania","walking",NA,NA,NA,2020-01-19,82.13,1,"Weekend","Albania","AL","Albania",45.68,NA,NA,NA,NA,"ALB",20200119,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,0,NA,95.164306640625,0.863033661456209,NA,NA,0.891085680644139
"country/region","Albania","walking",NA,NA,NA,2020-01-20,95.65,2,"Week Day","Albania","AL","Albania",40.82,NA,NA,NA,NA,"ALB",20200120,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,0,NA,99.7287673950195,0.959101395699961,NA,NA,0.878558611115362
"country/region","Albania","walking",NA,NA,NA,2020-01-21,97.78,3,"Week Day","Albania","AL","Albania",37.58,NA,NA,NA,NA,"ALB",20200121,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,0,NA,101.699760437012,0.961457525365171,NA,NA,0.86822313750315
"country/region","Albania","walking",NA,NA,NA,2020-01-22,95.39,4,"Week Day","Albania","AL","Albania",38.66,NA,NA,NA,"Albania","ALB",20200122,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,0,0,103.478378295898,0.921835088362425,NA,NA,0.860247323856388
