"province_state","country_region","lat","long","date","cases","deaths","date_upd","is_country"
NA,"Afghanistan",33,65,"1/22/20",0,0,2020-01-22,TRUE
NA,"Afghanistan",33,65,"1/23/20",0,0,2020-01-23,TRUE
NA,"Afghanistan",33,65,"1/24/20",0,0,2020-01-24,TRUE
NA,"Afghanistan",33,65,"1/25/20",0,0,2020-01-25,TRUE
NA,"Afghanistan",33,65,"1/26/20",0,0,2020-01-26,TRUE
NA,"Afghanistan",33,65,"1/27/20",0,0,2020-01-27,TRUE
NA,"Afghanistan",33,65,"1/28/20",0,0,2020-01-28,TRUE
NA,"Afghanistan",33,65,"1/29/20",0,0,2020-01-29,TRUE
NA,"Afghanistan",33,65,"1/30/20",0,0,2020-01-30,TRUE
NA,"Afghanistan",33,65,"1/31/20",0,0,2020-01-31,TRUE
NA,"Afghanistan",33,65,"2/1/20",0,0,2020-02-01,TRUE
NA,"Afghanistan",33,65,"2/2/20",0,0,2020-02-02,TRUE
NA,"Afghanistan",33,65,"2/3/20",0,0,2020-02-03,TRUE
NA,"Afghanistan",33,65,"2/4/20",0,0,2020-02-04,TRUE
NA,"Afghanistan",33,65,"2/5/20",0,0,2020-02-05,TRUE
NA,"Afghanistan",33,65,"2/6/20",0,0,2020-02-06,TRUE
NA,"Afghanistan",33,65,"2/7/20",0,0,2020-02-07,TRUE
NA,"Afghanistan",33,65,"2/8/20",0,0,2020-02-08,TRUE
NA,"Afghanistan",33,65,"2/9/20",0,0,2020-02-09,TRUE
NA,"Afghanistan",33,65,"2/10/20",0,0,2020-02-10,TRUE
NA,"Afghanistan",33,65,"2/11/20",0,0,2020-02-11,TRUE
NA,"Afghanistan",33,65,"2/12/20",0,0,2020-02-12,TRUE
NA,"Afghanistan",33,65,"2/13/20",0,0,2020-02-13,TRUE
NA,"Afghanistan",33,65,"2/14/20",0,0,2020-02-14,TRUE
NA,"Afghanistan",33,65,"2/15/20",0,0,2020-02-15,TRUE
NA,"Afghanistan",33,65,"2/16/20",0,0,2020-02-16,TRUE
NA,"Afghanistan",33,65,"2/17/20",0,0,2020-02-17,TRUE
NA,"Afghanistan",33,65,"2/18/20",0,0,2020-02-18,TRUE
NA,"Afghanistan",33,65,"2/19/20",0,0,2020-02-19,TRUE
NA,"Afghanistan",33,65,"2/20/20",0,0,2020-02-20,TRUE
NA,"Afghanistan",33,65,"2/21/20",0,0,2020-02-21,TRUE
NA,"Afghanistan",33,65,"2/22/20",0,0,2020-02-22,TRUE
NA,"Afghanistan",33,65,"2/23/20",0,0,2020-02-23,TRUE
NA,"Afghanistan",33,65,"2/24/20",1,0,2020-02-24,TRUE
NA,"Afghanistan",33,65,"2/25/20",1,0,2020-02-25,TRUE
NA,"Afghanistan",33,65,"2/26/20",1,0,2020-02-26,TRUE
NA,"Afghanistan",33,65,"2/27/20",1,0,2020-02-27,TRUE
NA,"Afghanistan",33,65,"2/28/20",1,0,2020-02-28,TRUE
NA,"Afghanistan",33,65,"2/29/20",1,0,2020-02-29,TRUE
NA,"Afghanistan",33,65,"3/1/20",1,0,2020-03-01,TRUE
NA,"Afghanistan",33,65,"3/2/20",1,0,2020-03-02,TRUE
NA,"Afghanistan",33,65,"3/3/20",1,0,2020-03-03,TRUE
NA,"Afghanistan",33,65,"3/4/20",1,0,2020-03-04,TRUE
NA,"Afghanistan",33,65,"3/5/20",1,0,2020-03-05,TRUE
NA,"Afghanistan",33,65,"3/6/20",1,0,2020-03-06,TRUE
NA,"Afghanistan",33,65,"3/7/20",1,0,2020-03-07,TRUE
NA,"Afghanistan",33,65,"3/8/20",4,0,2020-03-08,TRUE
NA,"Afghanistan",33,65,"3/9/20",4,0,2020-03-09,TRUE
NA,"Afghanistan",33,65,"3/10/20",5,0,2020-03-10,TRUE
NA,"Afghanistan",33,65,"3/11/20",7,0,2020-03-11,TRUE
NA,"Afghanistan",33,65,"3/12/20",7,0,2020-03-12,TRUE
NA,"Afghanistan",33,65,"3/13/20",7,0,2020-03-13,TRUE
NA,"Afghanistan",33,65,"3/14/20",11,0,2020-03-14,TRUE
NA,"Afghanistan",33,65,"3/15/20",16,0,2020-03-15,TRUE
NA,"Afghanistan",33,65,"3/16/20",21,0,2020-03-16,TRUE
NA,"Afghanistan",33,65,"3/17/20",22,0,2020-03-17,TRUE
NA,"Afghanistan",33,65,"3/18/20",22,0,2020-03-18,TRUE
NA,"Afghanistan",33,65,"3/19/20",22,0,2020-03-19,TRUE
NA,"Afghanistan",33,65,"3/20/20",24,0,2020-03-20,TRUE
NA,"Afghanistan",33,65,"3/21/20",24,0,2020-03-21,TRUE
NA,"Afghanistan",33,65,"3/22/20",40,1,2020-03-22,TRUE
NA,"Afghanistan",33,65,"3/23/20",40,1,2020-03-23,TRUE
NA,"Afghanistan",33,65,"3/24/20",74,1,2020-03-24,TRUE
NA,"Afghanistan",33,65,"3/25/20",84,2,2020-03-25,TRUE
NA,"Afghanistan",33,65,"3/26/20",94,4,2020-03-26,TRUE
NA,"Afghanistan",33,65,"3/27/20",110,4,2020-03-27,TRUE
NA,"Afghanistan",33,65,"3/28/20",110,4,2020-03-28,TRUE
NA,"Afghanistan",33,65,"3/29/20",120,4,2020-03-29,TRUE
NA,"Afghanistan",33,65,"3/30/20",170,4,2020-03-30,TRUE
NA,"Afghanistan",33,65,"3/31/20",174,4,2020-03-31,TRUE
NA,"Afghanistan",33,65,"4/1/20",237,4,2020-04-01,TRUE
NA,"Afghanistan",33,65,"4/2/20",273,6,2020-04-02,TRUE
NA,"Afghanistan",33,65,"4/3/20",281,6,2020-04-03,TRUE
NA,"Afghanistan",33,65,"4/4/20",299,7,2020-04-04,TRUE
NA,"Afghanistan",33,65,"4/5/20",349,7,2020-04-05,TRUE
NA,"Afghanistan",33,65,"4/6/20",367,11,2020-04-06,TRUE
NA,"Afghanistan",33,65,"4/7/20",423,14,2020-04-07,TRUE
NA,"Afghanistan",33,65,"4/8/20",444,14,2020-04-08,TRUE
NA,"Afghanistan",33,65,"4/9/20",484,15,2020-04-09,TRUE
NA,"Afghanistan",33,65,"4/10/20",521,15,2020-04-10,TRUE
NA,"Afghanistan",33,65,"4/11/20",555,18,2020-04-11,TRUE
NA,"Afghanistan",33,65,"4/12/20",607,18,2020-04-12,TRUE
NA,"Afghanistan",33,65,"4/13/20",665,21,2020-04-13,TRUE
NA,"Afghanistan",33,65,"4/14/20",714,23,2020-04-14,TRUE
NA,"Afghanistan",33,65,"4/15/20",784,25,2020-04-15,TRUE
NA,"Albania",41.1533,20.1683,"1/22/20",0,0,2020-01-22,TRUE
NA,"Albania",41.1533,20.1683,"1/23/20",0,0,2020-01-23,TRUE
NA,"Albania",41.1533,20.1683,"1/24/20",0,0,2020-01-24,TRUE
NA,"Albania",41.1533,20.1683,"1/25/20",0,0,2020-01-25,TRUE
NA,"Albania",41.1533,20.1683,"1/26/20",0,0,2020-01-26,TRUE
NA,"Albania",41.1533,20.1683,"1/27/20",0,0,2020-01-27,TRUE
NA,"Albania",41.1533,20.1683,"1/28/20",0,0,2020-01-28,TRUE
NA,"Albania",41.1533,20.1683,"1/29/20",0,0,2020-01-29,TRUE
NA,"Albania",41.1533,20.1683,"1/30/20",0,0,2020-01-30,TRUE
NA,"Albania",41.1533,20.1683,"1/31/20",0,0,2020-01-31,TRUE
NA,"Albania",41.1533,20.1683,"2/1/20",0,0,2020-02-01,TRUE
NA,"Albania",41.1533,20.1683,"2/2/20",0,0,2020-02-02,TRUE
NA,"Albania",41.1533,20.1683,"2/3/20",0,0,2020-02-03,TRUE
NA,"Albania",41.1533,20.1683,"2/4/20",0,0,2020-02-04,TRUE
NA,"Albania",41.1533,20.1683,"2/5/20",0,0,2020-02-05,TRUE
NA,"Albania",41.1533,20.1683,"2/6/20",0,0,2020-02-06,TRUE
NA,"Albania",41.1533,20.1683,"2/7/20",0,0,2020-02-07,TRUE
NA,"Albania",41.1533,20.1683,"2/8/20",0,0,2020-02-08,TRUE
NA,"Albania",41.1533,20.1683,"2/9/20",0,0,2020-02-09,TRUE
NA,"Albania",41.1533,20.1683,"2/10/20",0,0,2020-02-10,TRUE
NA,"Albania",41.1533,20.1683,"2/11/20",0,0,2020-02-11,TRUE
NA,"Albania",41.1533,20.1683,"2/12/20",0,0,2020-02-12,TRUE
NA,"Albania",41.1533,20.1683,"2/13/20",0,0,2020-02-13,TRUE
NA,"Albania",41.1533,20.1683,"2/14/20",0,0,2020-02-14,TRUE
NA,"Albania",41.1533,20.1683,"2/15/20",0,0,2020-02-15,TRUE
