"country","year","population"
"Afghanistan",2018,37172386
"Albania",2018,2866376
"Algeria",2018,42228429
"American Samoa",2018,55465
"Andorra",2018,77006
"Angola",2018,30809762
"Antigua and Barbuda",2018,96286
"Argentina",2018,44494502
"Armenia",2018,2951776
"Aruba",2018,105845
"Australia",2018,24982688
"Austria",2018,8840521
"Azerbaijan",2018,9939800
"Bahamas, The",2018,385640
"Bahrain",2018,1569439
"Bangladesh",2018,161356039
"Barbados",2018,286641
"Belarus",2018,9483499
"Belgium",2018,11433256
"Belize",2018,383071
"Benin",2018,11485048
"Bermuda",2018,63973
"Bhutan",2018,754394
"Bolivia",2018,11353142
"Bosnia and Herzegovina",2018,3323929
"Botswana",2018,2254126
"Brazil",2018,209469333
"British Virgin Islands",2018,29802
"Brunei Darussalam",2018,428962
"Bulgaria",2018,7025037
"Burkina Faso",2018,19751535
"Burundi",2018,11175378
"Cabo Verde",2018,543767
"Cambodia",2018,16249798
"Cameroon",2018,25216237
"Canada",2018,37057765
"Cayman Islands",2018,64174
"Central African Republic",2018,4666377
"Chad",2018,15477751
"Channel Islands",2018,170499
"Chile",2018,18729160
"China",2018,1392730000
"Colombia",2018,49648685
"Comoros",2018,832322
"Congo, Dem. Rep.",2018,84068091
"Congo, Rep.",2018,5244363
"Costa Rica",2018,4999441
"Cote d'Ivoire",2018,25069229
"Croatia",2018,4087843
"Cuba",2018,11338138
"Curacao",2018,159800
"Cyprus",2018,1189265
"Czech Republic",2018,10629928
"Denmark",2018,5793636
"Djibouti",2018,958920
"Dominica",2018,71625
"Dominican Republic",2018,10627165
"Ecuador",2018,17084357
"Egypt, Arab Rep.",2018,98423595
"El Salvador",2018,6420744
"Equatorial Guinea",2018,1308974
"Eritrea",2011,3213972
"Estonia",2018,1321977
"Eswatini",2018,1136191
"Ethiopia",2018,109224559
"Faroe Islands",2018,48497
"Fiji",2018,883483
"Finland",2018,5515525
"France",2018,66977107
"French Polynesia",2018,277679
"Gabon",2018,2119275
"Gambia, The",2018,2280102
"Georgia",2018,3726549
"Germany",2018,82905782
"Ghana",2018,29767108
"Gibraltar",2018,33718
"Greece",2018,10731726
"Greenland",2018,56025
"Grenada",2018,111454
"Guam",2018,165768
"Guatemala",2018,17247807
"Guinea",2018,12414318
"Guinea-Bissau",2018,1874309
"Guyana",2018,779004
"Haiti",2018,11123176
"Honduras",2018,9587522
"Hong Kong SAR, China",2018,7451000
"Hungary",2018,9775564
"Iceland",2018,352721
"India",2018,1352617328
"Indonesia",2018,267663435
"Iran, Islamic Rep.",2018,81800269
"Iraq",2018,38433600
"Ireland",2018,4867309
"Isle of Man",2018,84077
"Israel",2018,8882800
"Italy",2018,60421760
"Jamaica",2018,2934855
"Japan",2018,126529100
"Jordan",2018,9956011
"Kazakhstan",2018,18272430
"Kenya",2018,51393010
"Kiribati",2018,115847
"Korea, Rep.",2018,51606633
"Kosovo",2018,1845300
"Kuwait",2018,4137309
"Kyrgyz Republic",2018,6322800
"Lao PDR",2018,7061507
"Latvia",2018,1927174
"Lebanon",2018,6848925
"Lesotho",2018,2108132
"Liberia",2018,4818977
"Libya",2018,6678567
"Liechtenstein",2018,37910
"Lithuania",2018,2801543
"Luxembourg",2018,607950
"Macao SAR, China",2018,631636
"Madagascar",2018,26262368
"Malawi",2018,18143315
"Malaysia",2018,31528585
"Maldives",2018,515696
"Mali",2018,19077690
"Malta",2018,484630
"Marshall Islands",2018,58413
"Mauritania",2018,4403319
"Mauritius",2018,1265303
"Mexico",2018,126190788
"Micronesia, Fed. Sts.",2018,112640
"Moldova",2018,2706049
"Monaco",2018,38682
"Mongolia",2018,3170208
"Montenegro",2018,622227
"Morocco",2018,36029138
"Mozambique",2018,29495962
"Myanmar",2018,53708395
"Namibia",2018,2448255
"Nauru",2018,12704
"Nepal",2018,28087871
"Netherlands",2018,17231624
"New Caledonia",2018,284060
"New Zealand",2018,4841000
"Nicaragua",2018,6465513
"Niger",2018,22442948
"Nigeria",2018,195874740
"Northern Mariana Islands",2018,56882
"Norway",2018,5311916
"Oman",2018,4829483
"Pakistan",2018,212215030
"Palau",2018,17907
"Panama",2018,4176873
"Papua New Guinea",2018,8606316
"Paraguay",2018,6956071
"Peru",2018,31989256
"Philippines",2018,106651922
"Poland",2018,37974750
"Portugal",2018,10283822
"Puerto Rico",2018,3195153
"Qatar",2018,2781677
"Romania",2018,19466145
"Russian Federation",2018,144478050
"Rwanda",2018,12301939
"Samoa",2018,196130
"San Marino",2018,33785
"Sao Tome and Principe",2018,211028
"Saudi Arabia",2018,33699947
"Senegal",2018,15854360
"Serbia",2018,6982604
"Seychelles",2018,96762
"Sierra Leone",2018,7650154
"Singapore",2018,5638676
"Sint Maarten (Dutch part)",2018,40654
"Slovak Republic",2018,5446771
"Slovenia",2018,2073894
"Solomon Islands",2018,652858
"Somalia",2018,15008154
"South Africa",2018,57779622
"South Sudan",2018,10975920
"Spain",2018,46796540
"Sri Lanka",2018,21670000
"St. Kitts and Nevis",2018,52441
"St. Lucia",2018,181889
"St. Martin (French part)",2018,37264
"St. Vincent and the Grenadines",2018,110210
"Sudan",2018,41801533
"Suriname",2018,575991
"Sweden",2018,10175214
"Switzerland",2018,8513227
"Syrian Arab Republic",2018,16906283
"Tajikistan",2018,9100837
"Tanzania",2018,56318348
"Thailand",2018,69428524
"Timor-Leste",2018,1267972
"Togo",2018,7889094
"Tonga",2018,103197
"Trinidad and Tobago",2018,1389858
"Tunisia",2018,11565204
"Turkey",2018,82319724
"Turkmenistan",2018,5850908
"Turks and Caicos Islands",2018,37665
"Tuvalu",2018,11508
"Uganda",2018,42723139
"Ukraine",2018,44622516
"United Arab Emirates",2018,9630959
"United Kingdom",2018,66460344
"United States",2018,326687501
"Uruguay",2018,3449299
"Uzbekistan",2018,32955400
"Vanuatu",2018,292680
"Venezuela, RB",2018,28870195
"Vietnam",2018,95540395
"Virgin Islands (U.S.)",2018,106977
"West Bank and Gaza",2018,4569087
"Yemen, Rep.",2018,28498687
"Zambia",2018,17351822
"Zimbabwe",2018,14439018
