Day,Coronavirus: (United States),Weather: (United States)
12/22/2019,<1,19
12/23/2019,<1,19
12/24/2019,<1,16
12/25/2019,<1,16
12/26/2019,<1,20
12/27/2019,<1,20
12/28/2019,<1,21
12/29/2019,<1,22
12/30/2019,<1,22
12/31/2019,<1,17
1/1/2020,<1,16
1/2/2020,<1,17
1/3/2020,<1,16
1/4/2020,<1,17
1/5/2020,<1,16
1/6/2020,<1,16
1/7/2020,<1,18
1/8/2020,<1,18
1/9/2020,<1,20
1/10/2020,<1,25
1/11/2020,<1,31
1/12/2020,<1,22
1/13/2020,<1,21
1/14/2020,<1,20
1/15/2020,<1,21
1/16/2020,<1,24
1/17/2020,<1,27
1/18/2020,<1,27
1/19/2020,<1,20
1/20/2020,<1,18
1/21/2020,3,19
1/22/2020,3,21
1/23/2020,4,19
1/24/2020,8,17
1/25/2020,9,18
1/26/2020,10,15
1/27/2020,11,14
1/28/2020,12,14
1/29/2020,12,14
1/30/2020,12,14
1/31/2020,12,16
2/1/2020,10,16
2/2/2020,8,17
2/3/2020,7,19
2/4/2020,6,21
2/5/2020,6,23
2/6/2020,6,26
2/7/2020,7,24
2/8/2020,6,20
2/9/2020,6,22
2/10/2020,5,20
2/11/2020,6,19
2/12/2020,5,21
2/13/2020,6,21
2/14/2020,5,17
2/15/2020,4,17
2/16/2020,4,17
2/17/2020,4,17
2/18/2020,4,18
2/19/2020,4,17
2/20/2020,3,20
2/21/2020,4,18
2/22/2020,4,19
2/23/2020,5,18
2/24/2020,7,19
2/25/2020,11,18
2/26/2020,16,18
2/27/2020,20,17
2/28/2020,19,16
2/29/2020,21,16
3/1/2020,18,18
3/2/2020,27,18
3/3/2020,26,18
3/4/2020,25,17
3/5/2020,30,17
3/6/2020,31,17
3/7/2020,32,18
3/8/2020,30,18
3/9/2020,38,19
3/10/2020,46,19
3/11/2020,58,18
3/12/2020,100,18
3/13/2020,90,19
3/14/2020,80,19
3/15/2020,100,17
3/16/2020,97,15
3/17/2020,86,15
3/18/2020,80,15
3/19/2020,78,17
3/20/2020,77,17
