Day,is coronavirus real: (United States),coronavirus hoax: (United States),is coronavirus a hoax: (United States)
12/22/2019,0,0,0
12/23/2019,0,0,0
12/24/2019,0,0,0
12/25/2019,0,0,0
12/26/2019,0,0,0
12/27/2019,0,0,0
12/28/2019,0,0,0
12/29/2019,0,0,0
12/30/2019,0,0,0
12/31/2019,0,0,0
1/1/2020,0,0,0
1/2/2020,0,0,0
1/3/2020,0,0,0
1/4/2020,0,0,0
1/5/2020,0,0,0
1/6/2020,0,0,0
1/7/2020,0,0,0
1/8/2020,0,0,0
1/9/2020,0,0,0
1/10/2020,0,0,0
1/11/2020,0,0,0
1/12/2020,0,0,0
1/13/2020,0,0,0
1/14/2020,0,0,0
1/15/2020,0,0,0
1/16/2020,0,0,0
1/17/2020,0,0,0
1/18/2020,0,0,0
1/19/2020,0,0,0
1/20/2020,0,0,0
1/21/2020,1,1,0
1/22/2020,1,0,0
1/23/2020,1,0,1
1/24/2020,3,1,1
1/25/2020,3,1,0
1/26/2020,4,2,1
1/27/2020,4,2,1
1/28/2020,5,1,0
1/29/2020,5,2,1
1/30/2020,4,2,1
1/31/2020,5,3,1
2/1/2020,3,1,1
2/2/2020,4,1,1
2/3/2020,1,1,<1
2/4/2020,3,1,0
2/5/2020,1,2,1
2/6/2020,3,1,1
2/7/2020,4,2,0
2/8/2020,3,1,0
2/9/2020,3,2,0
2/10/2020,3,1,1
2/11/2020,4,1,1
2/12/2020,2,1,1
2/13/2020,2,1,1
2/14/2020,2,1,1
2/15/2020,1,1,1
2/16/2020,2,1,0
2/17/2020,3,1,1
2/18/2020,2,1,0
2/19/2020,2,1,0
2/20/2020,2,1,0
2/21/2020,2,1,0
2/22/2020,2,2,0
2/23/2020,1,1,1
2/24/2020,3,1,1
2/25/2020,4,2,1
2/26/2020,6,2,1
2/27/2020,8,3,1
2/28/2020,6,6,1
2/29/2020,8,100,15
3/1/2020,6,43,7
3/2/2020,8,29,5
3/3/2020,7,20,5
3/4/2020,8,11,2
3/5/2020,8,10,2
3/6/2020,8,12,2
3/7/2020,11,13,3
3/8/2020,9,12,2
3/9/2020,12,14,4
3/10/2020,14,13,4
3/11/2020,13,19,4
3/12/2020,31,59,12
3/13/2020,25,54,10
3/14/2020,22,58,8
3/15/2020,25,62,10
3/16/2020,24,59,9
3/17/2020,30,62,10
3/18/2020,24,58,12
3/19/2020,22,50,10
3/20/2020,23,49,6
