Red,,Baseline,
X,Y,X,Y
9/17/2013,19.76430082,4/3/2013,20.08009812
9/30/2013,19.95044571,4/13/2013,19.9243751
10/7/2013,20.07456688,4/23/2013,19.76865207
10/15/2013,20.32303046,5/3/2013,19.58184344
10/25/2013,20.5714203,5/13/2013,19.39503481
11/4/2013,20.75763893,5/23/2013,19.20822618
11/1/2013,20.50902785,6/2/2013,19.14575997
11/14/2013,20.88168636,5/30/2013,19.0214913
11/19/2013,21.08875164,6/12/2013,19.02112255
11/29/2013,21.37861353,6/22/2013,19.02082755
12/9/2013,21.50266096,7/2/2013,19.08270376
12/6/2013,21.31622108,7/12/2013,19.08240876
12/14/2013,21.1605718,7/22/2013,19.11319937
12/24/2013,21.06701999,8/1/2013,19.14398997
1/2/2014,21.00455378,8/11/2013,19.23695179
1/7/2014,20.81789265,8/21/2013,19.298828
1/17/2014,20.63108402,8/31/2013,19.42287542
1/22/2014,20.44442289,9/10/2013,19.57800844
1/28/2014,20.19556596,9/20/2013,19.60879905
2/6/2014,20.00878192,9/30/2013,19.70176087
2/6/2014,19.82226829,10/10/2013,19.79472268
2/16/2014,19.66654526,10/20/2013,19.85659889
2/14/2014,19.51119099,10/30/2013,19.8873895
2/26/2014,19.38647982,11/9/2013,19.9181801
3/8/2014,19.16858558,11/19/2013,19.94897071
8/30/2014,20.74878894,11/29/2013,19.94867571
9/5/2014,20.93513049,12/9/2013,19.8862095
9/14/2014,21.21463052,12/19/2013,19.79265768
9/19/2014,21.43208225,12/28/2013,19.76127708
9/24/2014,22.11581806,1/7/2014,19.66772526
9/24/2014,21.86713322,1/17/2014,19.51200224
9/24/2014,21.64953399,1/27/2014,19.41845042
10/1/2014,22.42645286,2/6/2014,19.293813
10/1/2014,22.23993923,2/16/2014,19.20026119
10/6/2014,22.6749902,2/21/2014,19.04468566
10/14/2014,23.42082347,3/3/2014,19.01330506
10/11/2014,23.17221238,3/1/2014,18.88903639
10/11/2014,22.98569875,3/13/2014,18.95083885
10/26/2014,24.60170771,3/18/2014,18.79526332
10/26/2014,24.10433803,3/28/2014,18.76388272
11/3/2014,24.81908569,3/26/2014,18.63961405
11/13/2014,24.8498763,4/7/2014,18.6392453
