"province_state","country_region","lat","long","date","date_upd","obs","case_100_date","days_since_case_100","measure","value"
NA,"Italy",43,12,"1/22/20",2020-01-22,NA,2020-02-23,-32,"cases",0
NA,"Italy",43,12,"1/23/20",2020-01-23,NA,2020-02-23,-31,"cases",0
NA,"Italy",43,12,"1/24/20",2020-01-24,NA,2020-02-23,-30,"cases",0
NA,"Italy",43,12,"1/25/20",2020-01-25,NA,2020-02-23,-29,"cases",0
NA,"Italy",43,12,"1/26/20",2020-01-26,NA,2020-02-23,-28,"cases",0
NA,"Italy",43,12,"1/27/20",2020-01-27,NA,2020-02-23,-27,"cases",0
NA,"Italy",43,12,"1/28/20",2020-01-28,NA,2020-02-23,-26,"cases",0
NA,"Italy",43,12,"1/29/20",2020-01-29,NA,2020-02-23,-25,"cases",0
NA,"Italy",43,12,"1/30/20",2020-01-30,NA,2020-02-23,-24,"cases",0
NA,"Italy",43,12,"1/31/20",2020-01-31,NA,2020-02-23,-23,"cases",2
NA,"Italy",43,12,"2/1/20",2020-02-01,NA,2020-02-23,-22,"cases",2
NA,"Italy",43,12,"2/2/20",2020-02-02,NA,2020-02-23,-21,"cases",2
NA,"Italy",43,12,"2/3/20",2020-02-03,NA,2020-02-23,-20,"cases",2
NA,"Italy",43,12,"2/4/20",2020-02-04,NA,2020-02-23,-19,"cases",2
NA,"Italy",43,12,"2/5/20",2020-02-05,NA,2020-02-23,-18,"cases",2
NA,"Italy",43,12,"2/6/20",2020-02-06,NA,2020-02-23,-17,"cases",2
NA,"Italy",43,12,"2/7/20",2020-02-07,NA,2020-02-23,-16,"cases",3
NA,"Italy",43,12,"2/8/20",2020-02-08,NA,2020-02-23,-15,"cases",3
NA,"Italy",43,12,"2/9/20",2020-02-09,NA,2020-02-23,-14,"cases",3
NA,"Italy",43,12,"2/10/20",2020-02-10,NA,2020-02-23,-13,"cases",3
NA,"Italy",43,12,"2/11/20",2020-02-11,NA,2020-02-23,-12,"cases",3
NA,"Italy",43,12,"2/12/20",2020-02-12,NA,2020-02-23,-11,"cases",3
NA,"Italy",43,12,"2/13/20",2020-02-13,NA,2020-02-23,-10,"cases",3
NA,"Italy",43,12,"2/14/20",2020-02-14,NA,2020-02-23,-9,"cases",3
NA,"Italy",43,12,"2/15/20",2020-02-15,NA,2020-02-23,-8,"cases",3
NA,"Italy",43,12,"2/16/20",2020-02-16,NA,2020-02-23,-7,"cases",3
NA,"Italy",43,12,"2/17/20",2020-02-17,NA,2020-02-23,-6,"cases",3
NA,"Italy",43,12,"2/18/20",2020-02-18,NA,2020-02-23,-5,"cases",3
