"province_state","country_region","lat","long","date","recovered","date_upd","is_country","US_state","US_county","US_city","other_county","other_county_name","province_state_fin","US_other_geo_entity","location_key","case_100_date","days_since_case_100","measure","value"
NA,"Italy",43,12,"1/22/20",0,2020-01-22,TRUE,FALSE,FALSE,FALSE,FALSE,"NA","NA",FALSE,"NA|Italy",2020-02-23,-32,"cases",0
NA,"Italy",43,12,"1/23/20",0,2020-01-23,TRUE,FALSE,FALSE,FALSE,FALSE,"NA","NA",FALSE,"NA|Italy",2020-02-23,-31,"cases",0
NA,"Italy",43,12,"1/24/20",0,2020-01-24,TRUE,FALSE,FALSE,FALSE,FALSE,"NA","NA",FALSE,"NA|Italy",2020-02-23,-30,"cases",0
NA,"Italy",43,12,"1/25/20",0,2020-01-25,TRUE,FALSE,FALSE,FALSE,FALSE,"NA","NA",FALSE,"NA|Italy",2020-02-23,-29,"cases",0
NA,"Italy",43,12,"1/26/20",0,2020-01-26,TRUE,FALSE,FALSE,FALSE,FALSE,"NA","NA",FALSE,"NA|Italy",2020-02-23,-28,"cases",0
NA,"Italy",43,12,"1/27/20",0,2020-01-27,TRUE,FALSE,FALSE,FALSE,FALSE,"NA","NA",FALSE,"NA|Italy",2020-02-23,-27,"cases",0
NA,"Italy",43,12,"1/28/20",0,2020-01-28,TRUE,FALSE,FALSE,FALSE,FALSE,"NA","NA",FALSE,"NA|Italy",2020-02-23,-26,"cases",0
NA,"Italy",43,12,"1/29/20",0,2020-01-29,TRUE,FALSE,FALSE,FALSE,FALSE,"NA","NA",FALSE,"NA|Italy",2020-02-23,-25,"cases",0
NA,"Italy",43,12,"1/30/20",0,2020-01-30,TRUE,FALSE,FALSE,FALSE,FALSE,"NA","NA",FALSE,"NA|Italy",2020-02-23,-24,"cases",0
NA,"Italy",43,12,"1/31/20",0,2020-01-31,TRUE,FALSE,FALSE,FALSE,FALSE,"NA","NA",FALSE,"NA|Italy",2020-02-23,-23,"cases",2
NA,"Italy",43,12,"2/1/20",0,2020-02-01,TRUE,FALSE,FALSE,FALSE,FALSE,"NA","NA",FALSE,"NA|Italy",2020-02-23,-22,"cases",2
NA,"Italy",43,12,"2/2/20",0,2020-02-02,TRUE,FALSE,FALSE,FALSE,FALSE,"NA","NA",FALSE,"NA|Italy",2020-02-23,-21,"cases",2
NA,"Italy",43,12,"2/3/20",0,2020-02-03,TRUE,FALSE,FALSE,FALSE,FALSE,"NA","NA",FALSE,"NA|Italy",2020-02-23,-20,"cases",2
NA,"Italy",43,12,"2/4/20",0,2020-02-04,TRUE,FALSE,FALSE,FALSE,FALSE,"NA","NA",FALSE,"NA|Italy",2020-02-23,-19,"cases",2
NA,"Italy",43,12,"2/5/20",0,2020-02-05,TRUE,FALSE,FALSE,FALSE,FALSE,"NA","NA",FALSE,"NA|Italy",2020-02-23,-18,"cases",2
NA,"Italy",43,12,"2/6/20",0,2020-02-06,TRUE,FALSE,FALSE,FALSE,FALSE,"NA","NA",FALSE,"NA|Italy",2020-02-23,-17,"cases",2
NA,"Italy",43,12,"2/7/20",0,2020-02-07,TRUE,FALSE,FALSE,FALSE,FALSE,"NA","NA",FALSE,"NA|Italy",2020-02-23,-16,"cases",3
NA,"Italy",43,12,"2/8/20",0,2020-02-08,TRUE,FALSE,FALSE,FALSE,FALSE,"NA","NA",FALSE,"NA|Italy",2020-02-23,-15,"cases",3
NA,"Italy",43,12,"2/9/20",0,2020-02-09,TRUE,FALSE,FALSE,FALSE,FALSE,"NA","NA",FALSE,"NA|Italy",2020-02-23,-14,"cases",3
NA,"Italy",43,12,"2/10/20",0,2020-02-10,TRUE,FALSE,FALSE,FALSE,FALSE,"NA","NA",FALSE,"NA|Italy",2020-02-23,-13,"cases",3
NA,"Italy",43,12,"2/11/20",0,2020-02-11,TRUE,FALSE,FALSE,FALSE,FALSE,"NA","NA",FALSE,"NA|Italy",2020-02-23,-12,"cases",3
