Congress,Year,Chamber,Party,Members
41,1869,House,D,.
41,1869,House,R,2
42,1871,House,D,.
42,1871,House,R,5
43,1873,House,D,.
43,1873,House,R,7
44,1875,House,D,.
44,1875,House,R,7
45,1877,House,D,.
45,1877,House,R,3
46,1879,House,D,.
46,1879,House,R,.
47,1881,House,D,.
47,1881,House,R,2
48,1883,House,D,.
48,1883,House,R,2
49,1885,House,D,.
49,1885,House,R,2
50,1887,House,D,.
50,1887,House,R,.
51,1889,House,D,.
51,1889,House,R,3
52,1891,House,D,.
52,1891,House,R,1
53,1893,House,D,.
53,1893,House,R,1
54,1895,House,D,.
54,1895,House,R,1
55,1897,House,D,.
55,1897,House,R,1
56,1899,House,D,.
56,1899,House,R,1
71,1929,House,D,.
71,1929,House,R,1
72,1931,House,D,.
72,1931,House,R,1
73,1933,House,D,.
73,1933,House,R,1
74,1935,House,D,1
74,1935,House,R,.
75,1937,House,D,1
75,1937,House,R,.
76,1939,House,D,1
76,1939,House,R,.
77,1941,House,D,1
77,1941,House,R,.
78,1943,House,D,1
78,1943,House,R,.
79,1945,House,D,2
79,1945,House,R,.
80,1947,House,D,2
80,1947,House,R,.
81,1949,House,D,2
81,1949,House,R,.
82,1951,House,D,2
82,1951,House,R,.
83,1953,House,D,2
83,1953,House,R,.
84,1955,House,D,3
84,1955,House,R,.
85,1957,House,D,3
85,1957,House,R,.
86,1959,House,D,3
86,1959,House,R,.
87,1961,House,D,3
87,1961,House,R,.
88,1963,House,D,4
88,1963,House,R,.
89,1965,House,D,5
89,1965,House,R,.
90,1967,House,D,5
90,1967,House,R,.
91,1969,House,D,9
91,1969,House,R,.
92,1971,House,D,13
92,1971,House,R,.
93,1973,House,D,16
93,1973,House,R,.
94,1975,House,D,16
94,1975,House,R,.
95,1977,House,D,15
95,1977,House,R,.
96,1979,House,D,15
96,1979,House,R,.
97,1981,House,D,17
97,1981,House,R,.
98,1983,House,D,20
98,1983,House,R,.
99,1985,House,D,20
99,1985,House,R,.
100,1987,House,D,22
100,1987,House,R,.
101,1989,House,D,23
101,1989,House,R,.
102,1991,House,D,25
102,1991,House,R,1
103,1993,House,D,38
103,1993,House,R,1
104,1995,House,D,37
104,1995,House,R,2
105,1997,House,D,36
105,1997,House,R,1
106,1999,House,D,36
106,1999,House,R,1
107,2001,House,D,35
107,2001,House,R,1
108,2003,House,D,37
108,2003,House,R,.
109,2005,House,D,40
109,2005,House,R,.
110,2007,House,D,40
110,2007,House,R,.
111,2009,House,D,39
111,2009,House,R,.
112,2011,House,D,40
112,2011,House,R,2
113,2013,House,D,41
113,2013,House,R,.
114,2015,House,D,42
114,2015,House,R,2
115,2017,House,D,45
115,2017,House,R,2
116,2019,House,D,52
116,2019,House,R,1
41,1869,Senate,D,.
41,1869,Senate,R,1
42,1871,Senate,D,.
42,1871,Senate,R,.
43,1873,Senate,D,.
43,1873,Senate,R,.
44,1875,Senate,D,.
44,1875,Senate,R,1
45,1877,Senate,D,.
45,1877,Senate,R,1
46,1879,Senate,D,.
46,1879,Senate,R,1
47,1881,Senate,D,.
47,1881,Senate,R,.
48,1883,Senate,D,.
48,1883,Senate,R,.
49,1885,Senate,D,.
49,1885,Senate,R,.
50,1887,Senate,D,.
50,1887,Senate,R,.
51,1889,Senate,D,.
51,1889,Senate,R,.
52,1891,Senate,D,.
52,1891,Senate,R,.
53,1893,Senate,D,.
53,1893,Senate,R,.
54,1895,Senate,D,.
54,1895,Senate,R,.
55,1897,Senate,D,.
55,1897,Senate,R,.
56,1899,Senate,D,.
56,1899,Senate,R,.
71,1929,Senate,D,.
71,1929,Senate,R,.
72,1931,Senate,D,.
72,1931,Senate,R,.
73,1933,Senate,D,.
73,1933,Senate,R,.
74,1935,Senate,D,.
74,1935,Senate,R,.
75,1937,Senate,D,.
75,1937,Senate,R,.
76,1939,Senate,D,.
76,1939,Senate,R,.
77,1941,Senate,D,.
77,1941,Senate,R,.
78,1943,Senate,D,.
78,1943,Senate,R,.
79,1945,Senate,D,.
79,1945,Senate,R,.
80,1947,Senate,D,.
80,1947,Senate,R,.
81,1949,Senate,D,.
81,1949,Senate,R,.
82,1951,Senate,D,.
82,1951,Senate,R,.
83,1953,Senate,D,.
83,1953,Senate,R,.
84,1955,Senate,D,.
84,1955,Senate,R,.
85,1957,Senate,D,.
85,1957,Senate,R,.
86,1959,Senate,D,.
86,1959,Senate,R,.
87,1961,Senate,D,.
87,1961,Senate,R,.
88,1963,Senate,D,.
88,1963,Senate,R,.
89,1965,Senate,D,.
89,1965,Senate,R,.
90,1967,Senate,D,.
90,1967,Senate,R,1
91,1969,Senate,D,.
91,1969,Senate,R,1
92,1971,Senate,D,.
92,1971,Senate,R,1
93,1973,Senate,D,.
93,1973,Senate,R,1
94,1975,Senate,D,.
94,1975,Senate,R,1
95,1977,Senate,D,.
95,1977,Senate,R,1
96,1979,Senate,D,.
96,1979,Senate,R,.
97,1981,Senate,D,.
97,1981,Senate,R,.
98,1983,Senate,D,.
98,1983,Senate,R,.
99,1985,Senate,D,.
99,1985,Senate,R,.
100,1987,Senate,D,.
100,1987,Senate,R,.
101,1989,Senate,D,.
101,1989,Senate,R,.
102,1991,Senate,D,.
102,1991,Senate,R,.
103,1993,Senate,D,1
103,1993,Senate,R,.
104,1995,Senate,D,1
104,1995,Senate,R,.
105,1997,Senate,D,1
105,1997,Senate,R,.
106,1999,Senate,D,.
106,1999,Senate,R,.
107,2001,Senate,D,.
107,2001,Senate,R,.
108,2003,Senate,D,.
108,2003,Senate,R,.
109,2005,Senate,D,1
109,2005,Senate,R,.
110,2007,Senate,D,1
110,2007,Senate,R,.
111,2009,Senate,D,.
111,2009,Senate,R,.
112,2011,Senate,D,.
112,2011,Senate,R,.
113,2013,Senate,D,.
113,2013,Senate,R,1
114,2015,Senate,D,1
114,2015,Senate,R,1
115,2017,Senate,D,2
115,2017,Senate,R,1
116,2019,Senate,D,2
116,2019,Senate,R,1
