President,Year,Chamber,Party,PctVotes
Eisenhower,1954,Senate,All Democrats,45
Eisenhower,1955,Senate,All Democrats,65
Eisenhower,1956,Senate,All Democrats,44
Eisenhower,1957,Senate,All Democrats,60
Eisenhower,1958,Senate,All Democrats,51
Eisenhower,1959,Senate,All Democrats,44
Eisenhower,1960,Senate,All Democrats,52
Eisenhower,1954,Senate,Southern Democrats,n.a.
Eisenhower,1955,Senate,Southern Democrats,n.a.
Eisenhower,1956,Senate,Southern Democrats,n.a.
Eisenhower,1957,Senate,Southern Democrats,n.a.
Eisenhower,1958,Senate,Southern Democrats,n.a.
Eisenhower,1959,Senate,Southern Democrats,n.a.
Eisenhower,1960,Senate,Southern Democrats,n.a.
Eisenhower,1954,Senate,Republicans,82
Eisenhower,1955,Senate,Republicans,85
Eisenhower,1956,Senate,Republicans,80
Eisenhower,1957,Senate,Republicans,80
Eisenhower,1958,Senate,Republicans,77
Eisenhower,1959,Senate,Republicans,80
Eisenhower,1960,Senate,Republicans,76
Eisenhower,1954,House,All Democrats,54
Eisenhower,1955,House,All Democrats,58
Eisenhower,1956,House,All Democrats,58
Eisenhower,1957,House,All Democrats,54
Eisenhower,1958,House,All Democrats,63
Eisenhower,1959,House,All Democrats,44
Eisenhower,1960,House,All Democrats,49
Eisenhower,1954,House,Southern Democrats,n.a.
Eisenhower,1955,House,Southern Democrats,n.a.
Eisenhower,1956,House,Southern Democrats,n.a.
Eisenhower,1957,House,Southern Democrats,n.a.
Eisenhower,1958,House,Southern Democrats,n.a.
Eisenhower,1959,House,Southern Democrats,n.a.
Eisenhower,1960,House,Southern Democrats,n.a.
Eisenhower,1954,House,Republicans,n.a.
Eisenhower,1955,House,Republicans,67
Eisenhower,1956,House,Republicans,79
Eisenhower,1957,House,Republicans,60
Eisenhower,1958,House,Republicans,65
Eisenhower,1959,House,Republicans,76
Eisenhower,1960,House,Republicans,63
Kennedy,1961,Senate,All Democrats,73
Kennedy,1962,Senate,All Democrats,76
Kennedy,1963,Senate,All Democrats,77
Kennedy,1961,Senate,Southern Democrats,n.a.
Kennedy,1962,Senate,Southern Democrats,63
Kennedy,1963,Senate,Southern Democrats,65
Kennedy,1961,Senate,Republicans,42
Kennedy,1962,Senate,Republicans,48
Kennedy,1963,Senate,Republicans,52
Kennedy,1961,House,All Democrats,81
Kennedy,1962,House,All Democrats,83
Kennedy,1963,House,All Democrats,84
Kennedy,1961,House,Southern Democrats,n.a.
Kennedy,1962,House,Southern Democrats,71
Kennedy,1963,House,Southern Democrats,71
Kennedy,1961,House,Republicans,41
Kennedy,1962,House,Republicans,47
Kennedy,1963,House,Republicans,36
Johnson,1964,Senate,All Democrats,73
Johnson,1965,Senate,All Democrats,75
Johnson,1966,Senate,All Democrats,71
Johnson,1967,Senate,All Democrats,73
Johnson,1968,Senate,All Democrats,64
Johnson,1964,Senate,Southern Democrats,63
Johnson,1965,Senate,Southern Democrats,60
Johnson,1966,Senate,Southern Democrats,59
Johnson,1967,Senate,Southern Democrats,69
Johnson,1968,Senate,Southern Democrats,50
Johnson,1964,Senate,Republicans,52
Johnson,1965,Senate,Republicans,55
Johnson,1966,Senate,Republicans,53
Johnson,1967,Senate,Republicans,63
Johnson,1968,Senate,Republicans,57
Johnson,1964,House,All Democrats,84
Johnson,1965,House,All Democrats,83
Johnson,1966,House,All Democrats,81
Johnson,1967,House,All Democrats,80
Johnson,1968,House,All Democrats,77
Johnson,1964,House,Southern Democrats,70
Johnson,1965,House,Southern Democrats,65
Johnson,1966,House,Southern Democrats,64
Johnson,1967,House,Southern Democrats,65
Johnson,1968,House,Southern Democrats,63
Johnson,1964,House,Republicans,42
Johnson,1965,House,Republicans,46
Johnson,1966,House,Republicans,45
Johnson,1967,House,Republicans,51
Johnson,1968,House,Republicans,59
Nixon,1969,Senate,All Democrats,55
Nixon,1970,Senate,All Democrats,56
Nixon,1971,Senate,All Democrats,48
