GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,BV2001,BV2002,BV2003,BV2004,BV2005,BV2006
"G010","1940","Alabama","010",,"Alabama",926996,922101,472590,510700,315,259
"G025","1940","Alaska Territory","025",,"Alaska Territory",,,,,,
"G040","1940","Arizona","040",,"Arizona",219958,206834,8423,6570,29789,27687
"G050","1940","Arkansas","050",,"Arkansas",744238,721846,238236,244342,442,283
"G060","1940","California","060",,"California",3334507,3262256,61210,63096,120013,66305
"G080","1940","Colorado","080",,"Colorado",560322,546180,5832,6344,2624,1994
"G090","1940","Connecticut","090",,"Connecticut",833310,842097,16004,16988,609,234
"G100","1940","Delaware","100",,"Delaware",115806,114722,18449,17427,78,23
"G110","1940","District Of Columbia","110",,"District of Columbia",227748,246578,88672,98594,1102,397
"G120","1940","Florida","120",,"Florida",689570,692416,252799,261399,754,476
"G130","1940","Georgia","130",,"Georgia",1016688,1021590,517747,567180,323,195
"G155","1940","Hawaii Territory","155",,"Hawaii Territory",,,,,,
"G160","1940","Idaho","160",,"Idaho",273512,245780,342,253,2725,2261
"G170","1940","Illinois","170",,"Illinois",3766703,3737499,186067,201379,4379,1214
"G180","1940","Indiana","180",,"Indiana",1664706,1640617,60105,61811,390,167
"G190","1940","Iowa","190",,"Iowa",1271503,1249188,8467,8227,524,359
"G200","1940","Kansas","200",,"Kansas",873095,861401,32452,32686,793,601
"G210","1940","Kentucky","210",,"Kentucky",1329625,1301800,106066,107965,121,50
"G220","1940","Louisiana","220",,"Louisianna",757379,754360,413322,435981,1681,1157
"G230","1940","Maine","230",,"Maine",424327,420216,725,579,769,610
"G240","1940","Maryland","240",,"Maryland",762801,755680,151617,150314,620,212
"G250","1940","Massachusetts","250",,"Massachusetts",2072515,2185081,27240,28151,2724,1010
"G260","1940","Michigan","260",,"Michigan",2584459,2455184,105491,102854,4777,3341
"G270","1940","Minnesota","270",,"Minnesota",1415169,1353813,5185,4743,7191,6199
"G280","1940","Mississippi","280",,"Mississippi",556157,550170,526716,547862,1609,1282
"G290","1940","Missouri","290",,"Missouri",1760939,1778248,119554,124832,759,332
"G300","1940","Montana","300",,"Montana",288975,251493,647,473,9387,8481
"G310","1940","Nebraska","310",,"Nebraska",656667,640957,7069,7102,2052,1987
"G320","1940","Nevada","320",,"Nevada",57984,46046,363,301,2994,2559
"G330","1940","New Hampshire","330",,"New Hampshire",244608,246381,222,192,79,42
"G340","1940","New Jersey","340",,"New Jersey",1957705,1973382,109865,117108,1589,516
"G350","1940","New Mexico","350",,"New Mexico",251517,240795,2406,2266,17923,16911
"G360","1940","New York","360",,"New York",6408192,6471354,261306,309915,20828,7547
"G370","1940","North Carolina","370",,"North Carolina",1281762,1285873,479816,501482,11412,11278
"G380","1940","North Dakota","380",,"North Dakota",330047,301417,128,73,5227,5043
"G390","1940","Ohio","390",,"Ohio",3291080,3275451,168849,170612,1143,477
"G400","1940","Oklahoma","400",,"Oklahoma",1066258,1037970,83465,85384,32169,31188
"G410","1940","Oregon","410",,"Oregon",554719,521012,1384,1181,6586,4802
"G420","1940","Pennsylvania","420",,"Pennsylvania",4718483,4708506,230477,239695,2247,772
"G440","1940","Rhode Island","440",,"Rhode Island",343644,358161,5384,5640,376,141
"G450","1940","South Carolina","450",,"South Carolina",540597,543711,393958,420206,684,648
"G460","1940","South Dakota","460",,"South Dakota",320188,298887,263,211,12063,11349
"G470","1940","Tennessee","470",,"Tennessee",1199580,1207326,246129,262607,120,79
"G480","1940","Texas","480",,"Texas",2768259,2719286,450990,473401,1854,1034
"G490","1940","Utah","490",,"Utah",274587,268333,682,553,3351,2804
"G500","1940","Vermont","500",,"Vermont",181975,176831,220,164,29,12
"G510","1940","Virginia","510",,"Virginia",1018119,997464,330378,331071,507,234
"G530","1940","Washington","530",,"Washington",883688,814459,4321,3103,17748,12872
"G540","1940","West Virginia","540",,"West Virginia",907906,876196,60595,57159,81,37
"G550","1940","Wisconsin","550",,"Wisconsin",1587193,1525559,6318,5840,6665,6012
"G560","1940","Wyoming","560",,"Wyoming",132782,113815,492,464,1781,1408
