GISJOIN,YEAR,STATE,STATEA,COUNTYA,CTY_SUBA,PLACEA,TRACTA,ENUMDISTA,SCSAA,SMSAA,URB_AREAA,BLCK_GRPA,BLOCKA,ANXTERRA,URBRURALA,CDA,AREANAME,CBU001,CBU002,CBU003,CBU004,CBU005,CBU006,CBU007,CBU008,CBU009,CBU010,CBU011,CBU012,CBU013,CBU014,CBU015,CBU016,CBU017,CBU018,CBU019,CBU020,CBU021,CBU022,CBU023,CBU024,CBU025,CBU026,CBU027,CBU028,CBU029,CBU030,CBU031,CBU032,CBW001,CBW002,CBW003,CBW004,CBW005
"G010","1970","Alabama","01",,,,,,,,,,,,,,"Alabama",47698,116453,82277,37054,34493,35974,34725,36346,48387,115609,89648,46104,46865,45193,41873,49548,293,569,874,588,352,228,178,291,293,548,673,671,607,273,209,288,2528983,908247,2514,2807,1614
"G020","1970","Alaska","02",,,,,,,,,,,,,,"Alaska",520,928,1765,962,621,296,158,58,503,970,663,679,402,230,105,51,3720,8490,5169,3353,2811,1960,1375,1222,3507,8123,5040,3330,2800,1751,1150,903,236767,8911,16276,37020,1408
"G040","1970","Arizona","04",,,,,,,,,,,,,,"Arizona",2974,7208,5608,2850,2614,2127,1806,1782,3003,7082,4657,3096,2678,2290,1819,1750,7690,16295,10877,6528,4891,3528,2667,2798,7704,16234,11555,7207,5796,3892,2577,2369,1604948,53344,95812,8414,8382
"G050","1970","Arkansas","05",,,,,,,,,,,,,,"Arkansas",19208,46422,31672,12813,11637,13023,14285,19949,19948,46231,33261,15921,15700,16681,17012,23462,189,435,444,325,255,214,182,268,219,451,513,394,374,254,204,241,1561108,357225,2041,1840,1081
"G060","1970","California","06",,,,,,,,,,,,,,"California",75233,169955,129127,95433,77662,64906,41492,29218,74306,169392,131056,102102,83219,70252,47238,39552,37292,79593,78634,60270,50736,38675,28664,28428,35500,77247,75498,63708,59900,38201,18990,20623,17761032,1400143,91018,552364,148577
"G080","1970","Colorado","08",,,,,,,,,,,,,,"Colorado",3560,8184,8254,4654,3871,2678,1565,1281,3420,8054,5982,4639,3836,2766,1765,1902,1477,3049,3132,2209,1479,1245,618,757,1508,2986,3158,2335,2067,1260,517,699,2112352,66411,8836,11540,8120
"G090","1970","Connecticut","09",,,,,,,,,,,,,,"Connecticut",11248,23158,15141,12280,9376,7250,4176,3020,11633,22871,17720,14959,10820,8221,5014,4290,936,1353,1314,1551,947,565,354,619,864,1351,1282,1572,982,553,364,467,2835458,181177,2222,6810,6042
"G100","1970","Delaware","10",,,,,,,,,,,,,,"Delaware",4404,10118,6766,4251,3877,3485,2583,2162,4436,10128,7547,4949,4393,3784,2747,2646,216,313,214,361,253,116,88,147,193,284,230,378,273,109,77,117,466459,78276,656,1495,1218
"G110","1970","District Of Columbia","11",,,,,,,,,,,,,,"District Of Columbia",26041,57260,46342,36816,29463,26192,18367,12121,25822,56997,56784,41448,33843,31072,21507,17637,371,588,926,1053,681,448,357,377,341,547,945,1083,716,486,324,283,209272,537712,956,5372,3198
"G120","1970","Florida","12",,,,,,,,,,,,,,"Florida",58621,135602,91654,56471,50431,43962,35426,29895,59274,136149,98762,66421,59186,49774,39974,37976,1401,2386,2731,2457,1727,1031,806,1539,1328,2250,2305,2673,2382,1131,857,1450,5711411,1049578,6719,14042,7693
