GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,AAQ001,AAQ002,AAQ003
"G090","1790","Connecticut","90",,"Connecticut",2771,2648,232236
"G100","1790","Delaware","100",,"Delaware",3899,8887,46310
"G130","1790","Georgia","130",,"Georgia",398,29264,52886
"G240","1790","Maryland","240",,"Maryland",8043,103036,208649
"G250","1790","Massachusetts","250",,"Massachusetts",5905,0,469294
"G330","1790","New Hampshire","330",,"New Hampshire",630,157,141112
"G340","1790","New Jersey","340",,"New Jersey",2762,11423,169954
"G360","1790","New York","360",,"New York",4682,21193,314366
"G370","1790","North Carolina","370",,"North Carolina",5041,100783,289181
"G420","1790","Pennsylvania","420",,"Pennsylvania",6531,3707,423373
"G440","1790","Rhode Island","440",,"Rhode Island",3484,958,64670
"G450","1790","South Carolina","450",,"South Carolina",1801,107094,140178
"G465","1790","Southwest Territory","465",,"Southwest Territory",361,3417,31913
"G500","1790","Vermont","500",,"Vermont",269,0,85072
"G510","1790","Virginia","510",,"Virginia",12980,305057,503250
