GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,AAT001,AAT002
"G090","1800","Connecticut","090",,"Connecticut",244721,6281
"G100","1800","Delaware","100",,"Delaware",49852,14421
"G110","1800","District Of Columbia","110",,"District of Columbia",10066,4027
"G130","1800","Georgia","130",,"Georgia",102263,60423
"G185","1800","Indiana Territory","185",,"Indiana Territory",4577,298
"G210","1800","Kentucky","210",,"Kentucky",179871,41084
"G240","1800","Maryland","240",,"Maryland",216326,125222
"G250","1800","Massachusetts","250",,"Massachusetts",567294,7270
"G285","1800","Mississippi Territory","285",,"Mississippi Territory",5179,3671
"G330","1800","New Hampshire","330",,"New Hampshire",182998,860
"G340","1800","New Jersey","340",,"New Jersey",194325,16824
"G360","1800","New York","360",,"New York",556044,30717
"G370","1800","North Carolina","370",,"North Carolina",337764,140339
"G385","1800","Northwest Territory","385",,"Northwest Territory",45028,337
"G420","1800","Pennsylvania","420",,"Pennsylvania",586094,16271
"G440","1800","Rhode Island","440",,"Rhode Island",65437,3685
"G450","1800","South Carolina","450",,"South Carolina",196255,149336
"G470","1800","Tennessee","470",,"Tennessee",91709,13893
"G500","1800","Vermont","500",,"Vermont",153908,557
"G510","1800","Virginia","510",,"Virginia",514280,365920
