GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,AZ3001,AZ3002,AZ3003,AZ3004
"G010","1900","Alabama","010",,"Alabama",409386,418159,409237,418070
"G025","1900","Alaska Territory","025",,"Alaska Territory",18579,14520,151,17
"G045","1900","Arizona Territory","045",,"Arizona Territory",16565,13463,1363,485
"G050","1900","Arkansas","050",,"Arkansas",185442,181542,185342,181514
"G060","1900","California","060",,"California",65384,16942,5766,5279
"G080","1900","Colorado","080",,"Colorado",5842,4812,4473,4097
"G090","1900","Connecticut","090",,"Connecticut",7941,8055,7247,7979
"G100","1900","Delaware","100",,"Delaware",15672,15086,15616,15081
"G110","1900","District Of Columbia","110",,"District of Columbia",38807,48379,38348,48354
"G120","1900","Florida","120",,"Florida",120518,110691,120199,110531
"G130","1900","Georgia","130",,"Georgia",510073,524964,509869,524944
"G155","1900","Hawaii Territory","155",,"Hawaii Territory",69962,17149,158,75
"G160","1900","Idaho","160",,"Idaho",4904,2373,166,127
"G170","1900","Illinois","170",,"Illinois",46669,40008,45121,39957
"G178","1900","Indian Territory","178",,"Indian Territory",45269,44111,19147,17706
"G180","1900","Indiana","180",,"Indiana",30026,27934,29701,27804
"G190","1900","Iowa","190",,"Iowa",7182,6004,6875,5818
"G200","1900","Kansas","200",,"Kansas",27794,26382,26542,25461
"G210","1900","Kentucky","210",,"Kentucky",142179,142686,142073,142633
"G220","1900","Louisiana","220",,"Louisianna",323591,328422,322664,328140
"G230","1900","Maine","230",,"Maine",1209,1031,670,649
"G240","1900","Maryland","240",,"Maryland",116156,119464,115617,119447
"G250","1900","Massachusetts","250",,"Massachusetts",18896,16686,15591,16383
"G260","1900","Michigan","260",,"Michigan",11807,10612,8220,7596
"G270","1900","Minnesota","270",,"Minnesota",7639,6719,2836,2123
"G280","1900","Mississippi","280",,"Mississippi",454741,455329,453384,454246
"G290","1900","Missouri","290",,"Missouri",81733,80089,81206,80028
"G300","1900","Montana","300",,"Montana",10703,6343,912,611
"G310","1900","Nebraska","310",,"Nebraska",5253,4521,3368,2901
"G320","1900","Nevada","320",,"Nevada",4285,2645,82,52
"G330","1900","New Hampshire","330",,"New Hampshire",448,349,327,335
"G340","1900","New Jersey","340",,"New Jersey",35217,36135,33745,36099
"G355","1900","New Mexico Territory","355",,"New Mexico Territory",8192,6911,1023,587
"G360","1900","New York","360",,"New York",56664,55349,46618,52614
"G370","1900","North Carolina","370",,"North Carolina",306522,323685,303624,320845
"G380","1900","North Dakota","380",,"North Dakota",3817,3617,173,113
"G390","1900","Ohio","390",,"Ohio",50403,46938,49985,46916
"G405","1900","Oklahoma Territory","405",,"Oklahoma Territory",15416,15391,9509,9322
"G410","1900","Oregon","410",,"Oregon",15502,3452,677,428
"G420","1900","Pennsylvania","420",,"Pennsylvania",82237,78214,79348,77497
"G440","1900","Rhode Island","440",,"Rhode Island",4684,4822,4290,4802
"G450","1900","South Carolina","450",,"South Carolina",383748,398761,383626,398695
"G460","1900","South Dakota","460",,"South Dakota",10226,10630,272,193
"G470","1900","Tennessee","470",,"Tennessee",238522,241908,238388,241855
"G480","1900","Texas","480",,"Texas",311230,310811,310135,310587
"G490","1900","Utah","490",,"Utah",2764,1520,454,218
"G500","1900","Vermont","500",,"Vermont",497,373,454,372
"G510","1900","Virginia","510",,"Virginia",323901,337428,323459,337263
"G530","1900","Washington","530",,"Washington",15531,6268,1589,925
"G540","1900","West Virginia","540",,"West Virginia",25229,18338,25167,18332
"G550","1900","Wisconsin","550",,"Wisconsin",5956,5175,1418,1124
"G560","1900","Wyoming","560",,"Wyoming",2341,1139,631,309
"G999","1900","Persons in the Military","999",,"Persons in Military",6981,29,6365,29
