GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,BEP001,BEP002,BEP003,BEP004,BEP005,BEP006
"G010","1930","Alabama","010",,"Alabama",848196,836869,9326,6384,457144,487690
"G025","1930","Alaska Territory","025",,"Alaska Territory",11515,6945,8389,1791,,
"G040","1930","Arizona","040",,"Arizona",132145,116642,9392,6199,6352,4397
"G050","1930","Arkansas","050",,"Arkansas",696255,668478,6006,4167,236909,241554
"G060","1930","California","060",,"California",2123407,2106806,454027,356007,40052,40996
"G080","1930","Colorado","080",,"Colorado",443117,432594,48004,37402,5739,6089
"G090","1930","Connecticut","090",,"Connecticut",588172,605630,197846,185025,14573,14781
"G100","1930","Delaware","100",,"Delaware",94919,93890,9281,7604,16983,15619
"G110","1930","District Of Columbia","110",,"District of Columbia",153330,170652,15652,14280,62225,69843
"G120","1930","Florida","120",,"Florida",489664,486484,32152,26905,215148,216680
"G130","1930","Georgia","130",,"Georgia",912606,910451,8175,5742,513451,557674
"G155","1930","Hawaii Territory","155",,"Hawaii Territory",,,,,322,241
"G160","1930","Idaho","160",,"Idaho",214007,193101,18947,11507,395,273
"G170","1930","Illinois","170",,"Illinois",3027347,3020856,657937,560221,164425,164547
"G180","1930","Indiana","180",,"Indiana",1498772,1482230,76957,58177,57068,54914
"G190","1930","Iowa","190",,"Iowa",1151068,1131579,92129,73606,8987,8393
"G200","1930","Kansas","200",,"Kansas",876372,846759,38254,31462,33980,32364
"G210","1930","Kentucky","210",,"Kentucky",1196873,1169651,12292,9548,113501,112539
"G220","1930","Louisiana","220",,"Louisianna",644305,638945,20376,14534,379173,397153
"G230","1930","Maine","230",,"Maine",349764,345051,50299,50069,597,499
"G240","1930","Maryland","240",,"Maryland",629427,629650,50266,44827,140506,135873
"G250","1930","Massachusetts","250",,"Massachusetts",1532751,1605539,509462,545174,26097,26268
"G260","1930","Michigan","260",,"Michigan",1951137,1858766,464902,375366,88936,80517
"G270","1930","Minnesota","270",,"Minnesota",1085126,1065553,217983,170311,5005,4440
"G280","1930","Mississippi","280",,"Mississippi",500574,489233,4347,2702,498338,511380
"G290","1930","Missouri","290",,"Missouri",1625545,1623952,81299,68091,111929,111911
"G300","1930","Montana","300",,"Montana",236894,207472,44899,28062,710,546
"G310","1930","Nebraska","310",,"Nebraska",630013,608343,63386,51960,7063,6689
"G320","1930","Nevada","320",,"Nevada",38712,30438,8583,3692,277,239
"G330","1930","New Hampshire","330",,"New Hampshire",189967,191723,41160,41500,524,266
"G340","1930","New Jersey","340",,"New Jersey",1481862,1502905,443132,401310,102929,105899
"G350","1930","New Mexico","350",,"New Mexico",166993,156965,4755,3042,1531,1319
"G360","1930","New York","360",,"New York",4441330,4517414,1653170,1538379,199485,213329
"G370","1930","North Carolina","370",,"North Carolina",1115181,1110979,5089,3699,446500,472147
"G380","1930","North Dakota","380",,"North Dakota",294141,271954,60378,44770,243,134
"G390","1930","Ohio","390",,"Ohio",2845524,2841461,351985,292166,159128,150176
"G400","1930","Oklahoma","400",,"Oklahoma",1079456,1017215,15544,11209,86818,85380
"G410","1930","Oregon","410",,"Oregon",427154,404400,62078,43397,1210,1024
"G420","1930","Pennsylvania","420",,"Pennsylvania",3955902,4003649,665438,567613,218412,212845
"G440","1930","Rhode Island","440",,"Rhode Island",246989,259313,83151,87563,4862,5051
"G450","1930","South Carolina","450",,"South Carolina",470192,468582,3120,2146,379300,414381
"G460","1930","South Dakota","460",,"South Dakota",313906,289899,37665,27983,343,303
"G470","1930","Tennessee","470",,"Tennessee",1064404,1061149,7394,5672,232569,245077
"G480","1930","Texas","480",,"Texas",2135229,2049866,55394,43002,422608,432356
"G490","1930","Utah","490",,"Utah",229578,222605,22978,20794,609,499
"G500","1930","Vermont","500",,"Vermont",160080,155824,22824,20237,310,258
"G510","1930","Virginia","510",,"Virginia",879949,866636,13701,10119,321545,328620
"G530","1930","Washington","530",,"Washington",658330,618513,142594,101662,3797,3043
"G540","1930","West Virginia","540",,"West Virginia",795879,766535,32864,18656,60873,54020
"G550","1930","Wisconsin","550",,"Wisconsin",1282337,1245309,214677,171536,5811,4928
"G560","1930","Wyoming","560",,"Wyoming",105264,89145,12439,7219,699,551
