GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,ABP001,ABP002
G010,1830,Alabama,10,,Alabama,190406,119121
G055,1830,Arkansas Territory,55,,Arkansas Territory,25671,4717
G090,1830,Connecticut,90,,Connecticut,289603,8072
G100,1830,Delaware,100,,Delaware,57601,19147
G110,1830,District Of Columbia,110,,District of Columbia,27563,12271
G125,1830,Florida Territory,125,,Florida Territory,18385,16345
G130,1830,Georgia,130,,Georgia,296806,220017
G170,1830,Illinois,170,,Illinois,155061,2384
G180,1830,Indiana,180,,Indiana,339399,3632
G210,1830,Kentucky,210,,Kentucky,517787,170130
G220,1830,Louisiana,220,,Louisianna,89231,126298
G230,1830,Maine,230,,Maine,398263,1192
G240,1830,Maryland,240,,Maryland,291108,155932
G250,1830,Massachusetts,250,,Massachusetts,603359,7049
G265,1830,Michigan Territory,265,,Michigan Territory,31346,293
G280,1830,Mississippi,280,,Mississippi,70443,66178
G290,1830,Missouri,290,,Missouri,114795,25660
G330,1830,New Hampshire,330,,New Hampshire,268721,607
G340,1830,New Jersey,340,,New Jersey,300266,20557
G360,1830,New York,360,,New York,1868061,44945
G370,1830,North Carolina,370,,North Carolina,472843,265144
G390,1830,Ohio,390,,Ohio,928329,9574
G420,1830,Pennsylvania,420,,Pennsylvania,1309900,38333
G440,1830,Rhode Island,440,,Rhode Island,93621,3578
G450,1830,South Carolina,450,,South Carolina,257863,323322
G470,1830,Tennessee,470,,Tennessee,535746,146158
G500,1830,Vermont,500,,Vermont,279771,881
G510,1830,Virginia,510,,Virginia,694300,517105
