GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,BYA001,BYA002,BYA003,BYA004
"G010","1940","Alabama","010",,"Alabama",1837140,11957,983290,574
"G025","1940","Alaska Territory","025",,"Alaska Territory",30384,8786,,
"G040","1940","Arizona","040",,"Arizona",389955,36837,14993,57476
"G050","1940","Arkansas","050",,"Arkansas",1458392,7692,482578,725
"G060","1940","California","060",,"California",5725870,870893,124306,186318
"G080","1940","Colorado","080",,"Colorado",1036031,70471,12176,4618
"G090","1940","Connecticut","090",,"Connecticut",1347466,327941,32992,843
"G100","1940","Delaware","100",,"Delaware",215695,14833,35876,101
"G110","1940","District Of Columbia","110",,"District of Columbia",440312,34014,187266,1499
"G120","1940","Florida","120",,"Florida",1312125,69861,514198,1230
"G130","1940","Georgia","130",,"Georgia",2026362,11916,1084927,518
"G155","1940","Hawaii Territory","155",,"Hawaii Territory",,,,
"G160","1940","Idaho","160",,"Idaho",495176,24116,595,4986
"G170","1940","Illinois","170",,"Illinois",6534829,969373,387446,5593
"G180","1940","Indiana","180",,"Indiana",3194692,110631,121916,557
"G190","1940","Iowa","190",,"Iowa",2403446,117245,16694,883
"G200","1940","Kansas","200",,"Kansas",1683084,51412,65138,1394
"G210","1940","Kentucky","210",,"Kentucky",2615794,15631,214031,171
"G220","1940","Louisiana","220",,"Louisianna",1484467,27272,849303,2838
"G230","1940","Maine","230",,"Maine",760902,83641,1304,1379
"G240","1940","Maryland","240",,"Maryland",1436766,81715,301931,832
"G250","1940","Massachusetts","250",,"Massachusetts",3408744,848852,55391,3734
"G260","1940","Michigan","260",,"Michigan",4356613,683030,208345,8118
"G270","1940","Minnesota","270",,"Minnesota",2474078,294904,9928,13390
"G280","1940","Mississippi","280",,"Mississippi",1100339,5988,1074578,2891
"G290","1940","Missouri","290",,"Missouri",3425062,114125,244386,1091
"G300","1940","Montana","300",,"Montana",484826,55642,1120,17868
"G310","1940","Nebraska","310",,"Nebraska",1215771,81853,14171,4039
"G320","1940","Nevada","320",,"Nevada",93431,10599,664,5553
"G330","1940","New Hampshire","330",,"New Hampshire",422693,68296,414,121
"G340","1940","New Jersey","340",,"New Jersey",3235277,695810,226973,2105
"G350","1940","New Mexico","350",,"New Mexico",477065,15247,4672,34834
"G360","1940","New York","360",,"New York",10026016,2853530,571221,28375
"G370","1940","North Carolina","370",,"North Carolina",2558589,9046,981298,22690
"G380","1940","North Dakota","380",,"North Dakota",557192,74272,201,10270
"G390","1940","Ohio","390",,"Ohio",6047265,519266,339461,1620
"G400","1940","Oklahoma","400",,"Oklahoma",2083869,20359,168849,63357
"G410","1940","Oregon","410",,"Oregon",988092,87639,2565,11388
"G420","1940","Pennsylvania","420",,"Pennsylvania",8453730,973260,470172,3019
"G440","1940","Rhode Island","440",,"Rhode Island",564021,137784,11024,517
"G450","1940","South Carolina","450",,"South Carolina",1079393,4915,814164,1332
"G460","1940","South Dakota","460",,"South Dakota",575023,44052,474,23412
"G470","1940","Tennessee","470",,"Tennessee",2395586,11320,508736,199
"G480","1940","Texas","480",,"Texas",5253157,234388,924391,2888
"G490","1940","Utah","490",,"Utah",510622,32298,1235,6155
"G500","1940","Vermont","500",,"Vermont",327079,31727,384,41
"G510","1940","Virginia","510",,"Virginia",1992596,22987,661449,741
"G530","1940","Washington","530",,"Washington",1494984,203163,7424,30620
"G540","1940","West Virginia","540",,"West Virginia",1742320,41782,117754,118
"G550","1940","Wisconsin","550",,"Wisconsin",2823978,288774,12158,12677
"G560","1940","Wyoming","560",,"Wyoming",229818,16779,956,3189
