GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,B3P001,B3P002,B3P003,B3P004,B3P005,B3P006,B3P007,B3P008
"G010","1950","Alabama","010",,"Alabama",1025567,7147,468561,1365,1040211,6666,511056,1170
"G025","1950","Alaska Territory","025",,"Alaska Territory",55846,4544,,19082,30486,1932,,16753
"G040","1950","Arizona","040",,"Arizona",306815,23401,13430,35413,302102,22193,12544,33689
"G050","1950","Arkansas","050",,"Arkansas",738662,4952,207146,774,733556,4337,219493,591
"G060","1950","California","060",,"California",4429367,510199,229208,126855,4500473,475134,232964,82023
"G080","1950","Colorado","080",,"Colorado",618883,31373,10205,4688,618783,27614,9972,3571
"G090","1950","Connecticut","090",,"Connecticut",812700,148412,26431,954,841770,149447,27041,525
"G100","1950","Delaware","100",,"Delaware",127898,7132,21952,362,132136,6712,21646,247
"G110","1950","District Of Columbia","110",,"District of Columbia",223492,19245,132909,2272,254876,20252,147894,1238
"G120","1950","Florida","120",,"Florida",1010687,61808,293137,1285,1032633,60923,309964,868
"G130","1950","Georgia","130",,"Georgia",1174509,8208,505180,770,1189338,8522,557582,469
"G155","1950","Hawaii Territory","155",,"Hawaii Territory",,,,,,,,
"G160","1950","Idaho","160",,"Idaho",288350,10973,573,3341,273638,8434,477,2851
"G170","1950","Illinois","170",,"Illinois",3588257,406691,311760,12543,3674524,376586,334220,7595
"G180","1950","Indiana","180",,"Indiana",1817324,54275,85856,1061,1840558,46355,88312,483
"G190","1950","Iowa","190",,"Iowa",1253903,45211,10100,1069,1261061,39371,9592,766
"G200","1950","Kansas","200",,"Kansas",895645,19724,36324,1841,894739,18853,36834,1339
"G210","1950","Kentucky","210",,"Kentucky",1367038,8052,99360,537,1358984,8016,102561,258
"G220","1950","Louisiana","220",,"Louisianna",876603,15311,424771,2481,891196,13573,457657,1924
"G230","1950","Maine","230",,"Maine",416975,35528,711,931,419529,38814,510,776
"G240","1950","Maryland","240",,"Maryland",930354,42356,192537,1356,940181,42084,193435,698
"G250","1950","Massachusetts","250",,"Massachusetts",1897484,332732,36229,3922,2000320,380967,36942,1918
"G260","1950","Michigan","260",,"Michigan",2665429,317943,222011,6736,2648661,285792,220285,4909
"G270","1950","Minnesota","270",,"Minnesota",1372269,113891,7278,7770,1371197,96340,6744,6994
"G280","1950","Mississippi","280",,"Mississippi",591286,4394,479137,1974,589032,3920,507357,1814
"G290","1950","Missouri","290",,"Missouri",1749524,47173,142908,1258,1814019,44877,154180,714
"G300","1950","Montana","300",,"Montana",274984,24431,695,9313,253935,18688,537,8441
"G310","1950","Nebraska","310",,"Nebraska",624804,30234,9693,2601,619251,27039,9541,2347
"G320","1950","Nevada","320",,"Nevada",73182,6479,2268,3088,66196,4051,2034,2785
"G330","1950","New Hampshire","330",,"New Hampshire",234517,27354,391,162,239624,30780,340,74
"G340","1950","New Jersey","340",,"New Jersey",1908114,315743,155554,3333,1972710,315018,163011,1846
"G350","1950","New Mexico","350",,"New Mexico",311838,9719,4394,21593,301037,7617,4014,20975
"G360","1950","New York","360",,"New York",5545758,1244395,423469,26322,5825908,1256034,494722,13584
"G370","1950","North Carolina","370",,"North Carolina",1481795,8045,511265,16000,1485192,8089,536088,15455
"G380","1950","North Dakota","380",,"North Dakota",290066,27087,135,5656,269150,22145,122,5275
"G390","1950","Ohio","390",,"Ohio",3441231,231156,252827,3320,3543833,212002,260245,2013
"G400","1950","Oklahoma","400",,"Oklahoma",1007806,9517,70425,27807,1005814,9389,75078,27515
"G410","1950","Oregon","410",,"Oregon",714480,45123,5961,7212,699036,38489,5568,5472
"G420","1950","Pennsylvania","420",,"Pennsylvania",4457563,400061,309113,3674,4619676,376548,329372,2005
"G440","1950","Rhode Island","440",,"Rhode Island",329223,53595,7087,678,334528,59669,6816,300
"G450","1950","South Carolina","450",,"South Carolina",639891,3682,396112,855,646011,3821,425965,690
"G460","1950","South Dakota","460",,"South Dakota",307797,17088,448,11918,289940,13679,279,11591
"G470","1950","Tennessee","470",,"Tennessee",1359454,7672,255436,545,1385738,7393,275167,313
"G480","1950","Texas","480",,"Texas",3237316,145834,475624,4368,3212573,130811,501834,2834
"G490","1950","Utah","490",,"Utah",326068,14939,1553,5076,320997,14905,1176,4148
"G500","1950","Vermont","500",,"Vermont",173561,13896,228,69,174874,14857,215,47
"G510","1950","Virginia","510",,"Virginia",1289169,17225,366806,2016,1257316,17845,367405,898
"G530","1950","Washington","530",,"Washington",1086458,101621,17417,18355,1039037,89380,13274,13421
"G540","1950","West Virginia","540",,"West Virginia",927931,20339,57749,268,927765,14247,57118,135
"G550","1950","Wisconsin","550",,"Wisconsin",1587788,117116,14705,7233,1586668,101118,13477,6470
"G560","1950","Wyoming","560",,"Wyoming",142987,7908,1653,2305,127732,5382,904,1658
