GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,AAY001,AAY002,AAT001,AAT002
"G090","1800","Connecticut","090",,"Connecticut",5330,951,244721,6281
"G100","1800","Delaware","100",,"Delaware",8268,6153,49852,14421
"G110","1800","District Of Columbia","110",,"District of Columbia",783,3244,10066,4027
"G130","1800","Georgia","130",,"Georgia",1019,59404,102263,60423
"G185","1800","Indiana Territory","185",,"Indiana Territory",163,135,4577,298
"G210","1800","Kentucky","210",,"Kentucky",741,40343,179871,41084
"G240","1800","Maryland","240",,"Maryland",19587,105635,216326,125222
"G250","1800","Massachusetts","250",,"Massachusetts",7270,0,567294,7270
"G285","1800","Mississippi Territory","285",,"Mississippi Territory",182,3489,5179,3671
"G330","1800","New Hampshire","330",,"New Hampshire",852,8,182998,860
"G340","1800","New Jersey","340",,"New Jersey",4402,12422,194325,16824
"G360","1800","New York","360",,"New York",10374,20343,556044,30717
"G370","1800","North Carolina","370",,"North Carolina",7043,133296,337764,140339
"G385","1800","Northwest Territory","385",,"Northwest Territory",337,0,45028,337
"G420","1800","Pennsylvania","420",,"Pennsylvania",14565,1706,586094,16271
"G440","1800","Rhode Island","440",,"Rhode Island",3304,381,65437,3685
"G450","1800","South Carolina","450",,"South Carolina",3185,146151,196255,149336
"G470","1800","Tennessee","470",,"Tennessee",309,13584,91709,13893
"G500","1800","Vermont","500",,"Vermont",557,0,153908,557
"G510","1800","Virginia","510",,"Virginia",20124,345796,514280,365920
