GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,A30001,A30002,A30003,A30004
"G010","1910","Alabama","010",,"Alabama",625891,602941,447794,460488
"G025","1910","Alaska Territory","025",,"Alaska Territory",30334,6066,143,66
"G045","1910","Arizona Territory","045",,"Arizona Territory",100871,70597,1054,955
"G050","1910","Arkansas","050",,"Arkansas",586420,544606,223323,219568
"G060","1910","California","060",,"California",1232990,1026682,11303,10342
"G080","1910","Colorado","080",,"Colorado",421471,361944,5867,5586
"G090","1910","Connecticut","090",,"Connecticut",555821,543076,7229,7945
"G100","1910","Delaware","100",,"Delaware",87387,83715,16011,15170
"G110","1910","District Of Columbia","110",,"District of Columbia",115001,121127,42615,51831
"G120","1910","Florida","120",,"Florida",232545,211089,161362,147307
"G130","1910","Georgia","130",,"Georgia",724488,707314,580263,596724
"G155","1910","Hawaii Territory","155",,"Hawaii Territory",24782,19266,415,280
"G160","1910","Idaho","160",,"Idaho",181237,137984,398,253
"G170","1910","Illinois","170",,"Illinois",2852386,2674576,56909,52140
"G180","1910","Indiana","180",,"Indiana",1351792,1288169,31044,29276
"G190","1910","Iowa","190",,"Iowa",1139621,1069570,8120,6853
"G200","1910","Kansas","200",,"Kansas",856437,777915,27964,26066
"G210","1910","Kentucky","210",,"Kentucky",1030033,997918,131492,130164
"G220","1910","Louisiana","220",,"Louisianna",480460,460626,353824,360050
"G230","1910","Maine","230",,"Maine",375766,364229,700,663
"G240","1910","Maryland","240",,"Maryland",529072,533567,114749,117501
"G250","1910","Massachusetts","250",,"Massachusetts",1633487,1691439,18748,19307
"G260","1910","Michigan","260",,"Michigan",1441281,1343966,9007,8108
"G270","1910","Minnesota","270",,"Minnesota",1099425,959802,4183,2901
"G280","1910","Mississippi","280",,"Mississippi",402056,384055,502796,506691
"G290","1910","Missouri","290",,"Missouri",1606556,1528376,80489,76963
"G300","1910","Montana","300",,"Montana",217620,142960,1058,776
"G310","1910","Nebraska","310",,"Nebraska",621042,559251,4259,3430
"G320","1910","Nevada","320",,"Nevada",47892,26384,263,250
"G330","1910","New Hampshire","330",,"New Hampshire",215918,213988,288,276
"G340","1910","New Jersey","340",,"New Jersey",1241482,1204412,43602,46158
"G355","1910","New Mexico Territory","355",,"New Mexico Territory",163442,141152,891,737
"G360","1910","New York","360",,"New York",4511327,4455518,64034,70157
"G370","1910","North Carolina","370",,"North Carolina",754852,745659,339581,358262
"G380","1910","North Dakota","380",,"North Dakota",313851,256004,381,236
"G390","1910","Ohio","390",,"Ohio",2376082,2278815,57995,53457
"G400","1910","Oklahoma","400",,"Oklahoma",771770,672761,71937,65675
"G410","1910","Oregon","410",,"Oregon",370345,284745,907,585
"G420","1910","Pennsylvania","420",,"Pennsylvania",3843539,3624174,95830,98089
"G440","1910","Rhode Island","440",,"Rhode Island",265242,267250,4645,4884
"G450","1910","South Carolina","450",,"South Carolina",343544,335617,408078,427765
"G460","1910","South Dakota","460",,"South Dakota",306952,256819,468,349
"G470","1910","Tennessee","470",,"Tennessee",869622,841810,233710,239378
"G480","1910","Texas","480",,"Texas",1671437,1533411,344941,345108
"G490","1910","Utah","490",,"Utah",192118,174465,691,453
"G500","1910","Vermont","500",,"Vermont",181372,172926,1173,448
"G510","1910","Virginia","510",,"Virginia",704363,685446,330542,340554
"G530","1910","Washington","530",,"Washington",635496,473615,3736,2322
"G540","1910","West Virginia","540",,"West Virginia",607326,549491,36607,27566
"G550","1910","Wisconsin","550",,"Wisconsin",1201620,1118935,1476,1424
"G560","1910","Wyoming","560",,"Wyoming",87497,52821,1544,691
