GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,ABK001,ABK002,ABK003,ABK004,ABK005,ABK006,ABK007,ABK008,ABK009,ABK010,ABK011,ABK012,ABK013,ABK014,ABK015,ABK016,ABD001,ABD002
"G010","1820","Alabama","010",,"Alabama",9665,6563,4200,1352,9140,6141,3779,1039,118,83,68,49,91,69,58,35,85451,42450
"G055","1820","Arkansas Territory","055",,"Arkansas Territory",323,276,143,78,293,268,157,79,18,13,11,2,8,3,1,3,12579,1676
"G090","1820","Connecticut","090",,"Connecticut",0,0,13,24,0,0,13,47,1432,911,865,629,1421,961,950,675,267181,7941
"G100","1820","Delaware","100",,"Delaware",1244,839,337,135,979,611,233,131,2812,1317,1207,1143,2742,1379,1307,1051,55282,17467
"G110","1820","District Of Columbia","110",,"District of Columbia",1245,775,671,316,1311,990,696,373,756,338,349,288,828,549,548,392,22614,10425
"G130","1820","Georgia","130",,"Georgia",33204,19541,16249,6922,32141,19879,15631,6089,330,195,180,146,349,209,195,159,189566,151419
"G170","1820","Illinois","170",,"Illinois",170,179,133,66,139,128,71,31,86,71,55,25,104,50,44,22,53788,1374
"G180","1820","Indiana","180",,"Indiana",43,37,11,7,40,21,21,10,275,146,141,92,251,137,120,68,145758,1420
"G210","1820","Kentucky","210",,"Kentucky",31469,17132,10944,4369,29231,17407,11801,4379,585,281,284,343,488,254,244,280,434644,129491
"G220","1820","Louisiana","220",,"Louisianna",11675,10876,10520,3495,10763,11672,7758,2305,2248,876,915,470,2209,1557,1377,824,73383,79540
"G230","1820","Maine","230",,"Maine",0,0,0,0,0,0,0,0,170,86,91,90,168,115,126,83,297340,929
"G240","1820","Maryland","240",,"Maryland",24736,14846,10718,6073,22740,13403,9362,5520,7829,3593,3756,3568,7857,4461,4752,3914,260222,147128
"G250","1820","Massachusetts","250",,"Massachusetts",0,0,0,0,0,0,0,0,1085,680,896,647,969,778,904,781,516419,6740
"G265","1820","Michigan Territory","265",,"Michigan Territory",0,0,0,0,0,0,0,0,35,32,27,11,20,20,16,13,8591,174
"G280","1820","Mississippi","280",,"Mississippi",7016,4600,4061,1173,6677,4807,3506,974,87,62,52,38,84,52,44,39,42176,33272
"G295","1820","Missouri Territory","295",,"Missouri Territory",2491,1511,852,487,2281,1461,855,284,93,40,36,17,62,39,34,26,55988,10569
"G330","1820","New Hampshire","330",,"New Hampshire",0,0,0,0,0,0,0,0,97,101,85,89,109,99,106,100,243236,786
"G340","1820","New Jersey","340",,"New Jersey",860,1583,917,628,592,1285,1036,656,3328,1116,1090,882,3093,1198,987,766,257409,20017
"G360","1820","New York","360",,"New York",1861,1624,932,671,1544,1579,1065,812,5197,3011,3347,1903,5342,4195,4126,2158,1332724,39367
"G370","1820","North Carolina","370",,"North Carolina",48914,27511,19395,10731,45055,25663,18326,9422,3415,1728,1109,1143,3129,1737,1345,1006,419200,219629
"G390","1820","Ohio","390",,"Ohio",0,0,0,0,0,0,0,0,1057,544,538,315,994,549,466,260,576572,4723
"G420","1820","Pennsylvania","420",,"Pennsylvania",1,1,18,65,3,2,36,85,5666,3348,3890,1900,5465,4063,4073,1797,1017094,30413
"G440","1820","Rhode Island","440",,"Rhode Island",2,1,1,14,2,3,3,22,577,388,343,279,550,523,465,429,79413,3602
"G450","1820","South Carolina","450",,"South Carolina",51738,32324,31641,14769,49694,33991,30461,13857,1376,732,647,541,1223,836,800,671,237440,265301
"G470","1820","Tennessee","470",,"Tennessee",20314,10078,6529,2826,19251,11153,7192,2764,700,323,240,238,532,297,224,173,339927,82834
"G500","1820","Vermont","500",,"Vermont",0,0,0,0,0,0,0,0,152,113,93,80,170,125,97,73,234846,903
"G510","1820","Virginia","510",,"Virginia",96881,52791,45438,23164,92468,51972,40691,21748,8145,3884,3135,2685,7640,4545,3772,3083,603074,462042
