GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,BDK001,BDK002,BDK003,BDK004,BDK005,BDK006
"G010","1930","Alabama","010",,"Alabama",857522,843253,457144,487690,343,296
"G025","1930","Alaska Territory","025",,"Alaska Territory",19904,8736,,,15860,14778
"G040","1930","Arizona","040",,"Arizona",141537,122841,6352,4397,83415,77031
"G050","1930","Arkansas","050",,"Arkansas",702261,672645,236909,241554,673,440
"G060","1930","California","060",,"California",2577434,2462813,40052,40996,325109,230847
"G080","1930","Colorado","080",,"Colorado",491121,469996,5739,6089,33892,28954
"G090","1930","Connecticut","090",,"Connecticut",786018,790655,14573,14781,712,164
"G100","1930","Delaware","100",,"Delaware",104200,101494,16983,15619,74,10
"G110","1930","District Of Columbia","110",,"District of Columbia",168982,184932,62225,69843,676,211
"G120","1930","Florida","120",,"Florida",521816,513389,215148,216680,711,467
"G130","1930","Georgia","130",,"Georgia",920781,916193,513451,557674,295,112
"G155","1930","Hawaii Territory","155",,"Hawaii Territory",,,,,222318,145455
"G160","1930","Idaho","160",,"Idaho",232954,204608,395,273,3998,2804
"G170","1930","Illinois","170",,"Illinois",3685284,3581077,164425,164547,23748,11573
"G180","1930","Indiana","180",,"Indiana",1575729,1540407,57068,54914,7264,3121
"G190","1930","Iowa","190",,"Iowa",1243197,1205185,8987,8393,2917,2260
"G200","1930","Kansas","200",,"Kansas",914626,878221,33980,32364,12685,9123
"G210","1930","Kentucky","210",,"Kentucky",1209165,1179199,113501,112539,127,58
"G220","1930","Louisiana","220",,"Louisianna",664681,653479,379173,397153,3969,3138
"G230","1930","Maine","230",,"Maine",400063,395120,597,499,625,519
"G240","1930","Maryland","240",,"Maryland",679693,674477,140506,135873,810,167
"G250","1930","Massachusetts","250",,"Massachusetts",2042213,2150713,26097,26268,3362,961
"G260","1930","Michigan","260",,"Michigan",2416039,2234132,88936,80517,14334,8367
"G270","1930","Minnesota","270",,"Minnesota",1303109,1235864,5005,4440,8457,7078
"G280","1930","Mississippi","280",,"Mississippi",504921,491935,498338,511380,1882,1365
"G290","1930","Missouri","290",,"Missouri",1706844,1692043,111929,111911,4093,2547
"G300","1930","Montana","300",,"Montana",281793,235534,710,546,10725,8298
"G310","1930","Nebraska","310",,"Nebraska",693399,660303,7063,6689,5886,4623
"G320","1930","Nevada","320",,"Nevada",47295,34130,277,239,5589,3528
"G330","1930","New Hampshire","330",,"New Hampshire",231127,233223,524,266,108,45
"G340","1930","New Jersey","340",,"New Jersey",1924994,1904215,102929,105899,2721,576
"G350","1930","New Mexico","350",,"New Mexico",171748,160007,1531,1319,45943,42769
"G360","1930","New York","360",,"New York",6094500,6055793,199485,213329,18535,6424
"G370","1930","North Carolina","370",,"North Carolina",1120270,1114678,446500,472147,8438,8243
"G380","1930","North Dakota","380",,"North Dakota",354519,316724,243,134,4853,4372
"G390","1930","Ohio","390",,"Ohio",3197509,3133627,159128,150176,4504,1753
"G400","1930","Oklahoma","400",,"Oklahoma",1095000,1028424,86818,85380,51446,48972
"G410","1930","Oregon","410",,"Oregon",489232,447797,1210,1024,9230,5293
"G420","1930","Pennsylvania","420",,"Pennsylvania",4621340,4571262,218412,212845,5765,1726
"G440","1930","Rhode Island","440",,"Rhode Island",330140,346876,4862,5051,370,198
"G450","1930","South Carolina","450",,"South Carolina",473312,470728,379300,414381,546,498
"G460","1930","South Dakota","460",,"South Dakota",351571,317882,343,303,11736,11014
"G470","1930","Tennessee","470",,"Tennessee",1071798,1066821,232569,245077,192,99
"G480","1930","Texas","480",,"Texas",2190623,2092868,422608,432356,352763,333497
"G490","1930","Utah","490",,"Utah",252556,243399,609,499,6834,3950
"G500","1930","Vermont","500",,"Vermont",182904,176061,310,258,52,26
"G510","1930","Virginia","510",,"Virginia",893650,876755,321545,328620,851,430
"G530","1930","Washington","530",,"Washington",800924,720175,3797,3043,21671,13786
"G540","1930","West Virginia","540",,"West Virginia",828743,785191,60873,54020,255,123
"G550","1930","Wisconsin","550",,"Wisconsin",1497014,1416845,5811,4928,7990,6418
"G560","1930","Wyoming","560",,"Wyoming",117703,96364,699,551,6383,3865
