GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,B1T001,B1T002
"G010","1950","Alabama","010",,"Alabama",2079591,982152
"G025","1950","Alaska Territory","025",,"Alaska Territory",92808,35835
"G040","1950","Arizona","040",,"Arizona",654511,95076
"G050","1950","Arkansas","050",,"Arkansas",1481507,428004
"G060","1950","California","060",,"California",9915174,671050
"G080","1950","Colorado","080",,"Colorado",1296653,28436
"G090","1950","Connecticut","090",,"Connecticut",1952329,54951
"G100","1950","Delaware","100",,"Delaware",273878,44207
"G110","1950","District Of Columbia","110",,"District of Columbia",517865,284313
"G120","1950","Florida","120",,"Florida",2166051,605254
"G130","1950","Georgia","130",,"Georgia",2380577,1064001
"G155","1950","Hawaii Territory","155",,"Hawaii Territory",114793,385001
"G160","1950","Idaho","160",,"Idaho",581395,7242
"G170","1950","Illinois","170",,"Illinois",8046058,666118
"G180","1950","Indiana","180",,"Indiana",3758512,175712
"G190","1950","Iowa","190",,"Iowa",2599546,21527
"G200","1950","Kansas","200",,"Kansas",1828961,76338
"G210","1950","Kentucky","210",,"Kentucky",2742090,202716
"G220","1950","Louisiana","220",,"Louisianna",1796683,886833
"G230","1950","Maine","230",,"Maine",910846,2928
"G240","1950","Maryland","240",,"Maryland",1954975,388026
"G250","1950","Massachusetts","250",,"Massachusetts",4611503,79011
"G260","1950","Michigan","260",,"Michigan",5917825,453941
"G270","1950","Minnesota","270",,"Minnesota",2953697,28786
"G280","1950","Mississippi","280",,"Mississippi",1188632,990282
"G290","1950","Missouri","290",,"Missouri",3655593,299060
"G300","1950","Montana","300",,"Montana",572038,18986
"G310","1950","Nebraska","310",,"Nebraska",1301328,24182
"G320","1950","Nevada","320",,"Nevada",149908,10175
"G330","1950","New Hampshire","330",,"New Hampshire",532275,967
"G340","1950","New Jersey","340",,"New Jersey",4511585,323744
"G350","1950","New Mexico","350",,"New Mexico",630211,50976
"G360","1950","New York","360",,"New York",13872096,958097
"G370","1950","North Carolina","370",,"North Carolina",2983121,1078808
"G380","1950","North Dakota","380",,"North Dakota",608448,11188
"G390","1950","Ohio","390",,"Ohio",7428222,518405
"G400","1950","Oklahoma","400",,"Oklahoma",2032526,200825
"G410","1950","Oregon","410",,"Oregon",1497128,24213
"G420","1950","Pennsylvania","420",,"Pennsylvania",9853848,644164
"G440","1950","Rhode Island","440",,"Rhode Island",777015,14881
"G450","1950","South Carolina","450",,"South Carolina",1293405,823622
"G460","1950","South Dakota","460",,"South Dakota",628504,24236
"G470","1950","Tennessee","470",,"Tennessee",2760257,531461
"G480","1950","Texas","480",,"Texas",6726534,984660
"G490","1950","Utah","490",,"Utah",676909,11953
"G500","1950","Vermont","500",,"Vermont",377188,559
"G510","1950","Virginia","510",,"Virginia",2581555,737125
"G530","1950","Washington","530",,"Washington",2316496,62467
"G540","1950","West Virginia","540",,"West Virginia",1890282,115270
"G550","1950","Wisconsin","550",,"Wisconsin",3392690,41885
"G560","1950","Wyoming","560",,"Wyoming",284009,6520
