GISJOIN,YEAR,STATE,STATEFP,STATENH,NAME,B18AA,B18AB,B18AC,B18AD,B18AE
"G010","1970","Alabama","01","010","Alabama",2533831,903467,2443,4424,
"G020","1970","Alaska","02","020","Alaska",236767,8911,16276,38428,
"G040","1970","Arizona","04","040","Arizona",1604948,53344,95812,16796,
"G050","1970","Arkansas","05","050","Arkansas",1565915,352445,2014,2921,
"G060","1970","California","06","060","California",17761032,1400143,91018,700941,
"G080","1970","Colorado","08","080","Colorado",2112352,66411,8836,19660,
"G090","1970","Connecticut","09","090","Connecticut",2835458,181177,2222,12852,
"G100","1970","Delaware","10","100","Delaware",466459,78276,656,2713,
"G110","1970","District Of Columbia","11","110","District Of Columbia",209272,537712,956,8570,
"G120","1970","Florida","12","120","Florida",5719343,1041651,6677,21772,
"G130","1970","Georgia","13","130","Georgia",3391242,1187149,2347,8837,
"G150","1970","Hawaii","15","150","Hawaii",298160,7573,1126,461702,
"G160","1970","Idaho","16","160","Idaho",698802,2130,6687,4948,
"G170","1970","Illinois","17","170","Illinois",9600381,1425674,11413,76508,
"G180","1970","Indiana","18","180","Indiana",4820324,357464,3887,11994,
"G190","1970","Iowa","19","190","Iowa",2782762,32596,2992,6026,
"G200","1970","Kansas","20","200","Kansas",2122068,106977,8672,8861,
"G210","1970","Kentucky","21","210","Kentucky",2981766,230793,1531,4616,
"G220","1970","Louisiana","22","220","Louisiana",2541498,1086832,5294,7682,
"G230","1970","Maine","23","230","Maine",985276,2800,2195,1777,
"G240","1970","Maryland","24","240","Maryland",3194888,699479,4239,23793,
"G250","1970","Massachusetts","25","250","Massachusetts",5477624,175817,4475,31254,
"G260","1970","Michigan","26","260","Michigan",7833474,991066,16854,33689,
"G270","1970","Minnesota","27","270","Minnesota",3736038,34868,23128,10937,
"G280","1970","Mississippi","28","280","Mississippi",1393283,815770,4113,3746,
"G290","1970","Missouri","29","290","Missouri",4177495,480172,5405,13429,
"G300","1970","Montana","30","300","Montana",663043,1995,27130,2241,
"G310","1970","Nebraska","31","310","Nebraska",1432867,39911,6624,4091,
"G320","1970","Nevada","32","320","Nevada",448177,27762,7933,4866,
"G330","1970","New Hampshire","33","330","New Hampshire",733106,2505,361,1709,
"G340","1970","New Jersey","34","340","New Jersey",6349908,770292,4706,43258,
"G350","1970","New Mexico","35","350","New Mexico",915815,19555,72788,7842,
"G360","1970","New York","36","360","New York",15834090,2168949,28355,205573,
"G370","1970","North Carolina","37","370","North Carolina",3901767,1126478,44406,9408,
"G380","1970","North Dakota","38","380","North Dakota",599485,2494,14369,1413,
"G390","1970","Ohio","39","390","Ohio",9646997,970477,6654,27889,
"G400","1970","Oklahoma","40","400","Oklahoma",2280362,171892,98468,8507,
"G410","1970","Oregon","41","410","Oregon",2032079,26308,13510,19488,
"G420","1970","Pennsylvania","42","420","Pennsylvania",10737732,1016514,5533,34130,
"G440","1970","Rhode Island","44","440","Rhode Island",914757,25338,1390,5240,
"G450","1970","South Carolina","45","450","South Carolina",1794430,789041,2241,4804,
"G460","1970","South Dakota","46","460","South Dakota",630333,1627,32365,1182,
"G470","1970","Tennessee","47","470","Tennessee",3293930,621261,2276,6220,
"G480","1970","Texas","48","480","Texas",9717128,1399005,17957,62640,
"G490","1970","Utah","49","490","Utah",1031926,6617,11273,9457,
"G500","1970","Vermont","50","500","Vermont",442553,761,229,787,
"G510","1970","Virginia","51","510","Virginia",3761514,861368,4853,20759,
"G530","1970","Washington","53","530","Washington",3251055,71308,33386,53420,
"G540","1970","West Virginia","54","540","West Virginia",1673480,67342,751,2664,
"G550","1970","Wisconsin","55","550","Wisconsin",4258959,128224,18924,11624,
"G560","1970","Wyoming","56","560","Wyoming",323024,2568,4980,1844,
"G010","1980","Alabama","01","010","ALABAMA",2873289,996283,9304,10660,
"G020","1980","Alaska","02","020","ALASKA",311968,13748,64357,8314,
"G040","1980","Arizona","04","040","ARIZONA",2260288,74159,154390,24562,
"G050","1980","Arkansas","05","050","ARKANSAS",1889935,373025,12757,7232,
"G060","1980","California","06","060","CALIFORNIA",18221353,1818660,231702,1312973,
"G080","1980","Colorado","08","080","COLORADO",2591270,101695,21015,34257,
"G090","1980","Connecticut","09","090","CONNECTICUT",2811092,216641,4882,21116,
"G100","1980","Delaware","10","100","DELAWARE",488002,96157,1391,4627,
"G110","1980","District Of Columbia","11","110","DISTRICT OF COLUMBIA",174705,448370,1014,6883,
"G120","1980","Florida","12","120","FLORIDA",8184855,1343134,25006,62514,
"G130","1980","Georgia","13","130","GEORGIA",3949583,1464435,10079,26009,
"G150","1980","Hawaii","15","150","HAWAII",331925,17687,2976,590659,
"G160","1980","Idaho","16","160","IDAHO",904045,2711,10523,6721,
"G170","1980","Illinois","17","170","ILLINOIS",9267607,1674467,19612,172213,
"G180","1980","Indiana","18","180","INDIANA",5008817,414489,9691,24355,
"G190","1980","Iowa","19","190","IOWA",2841326,42228,6342,13847,
"G200","1980","Kansas","20","200","KANSAS",2170046,126356,17960,17539,
"G210","1980","Kentucky","21","210","KENTUCKY",3380256,259289,4601,11823,
"G220","1980","Louisiana","22","220","LOUISIANA",2915310,1238472,12932,25123,
"G230","1980","Maine","23","230","MAINE",1112977,3381,4365,3073,
"G240","1980","Maryland","24","240","MARYLAND",3166142,957418,9075,67949,
"G250","1980","Massachusetts","25","250","MASSACHUSETTS",5378403,221029,9198,52615,
"G260","1980","Michigan","26","260","MICHIGAN",7893278,1197177,44919,62641,
"G270","1980","Minnesota","27","270","MINNESOTA",3942025,52325,36730,32226,
"G280","1980","Mississippi","28","280","MISSISSIPPI",1615632,887111,6914,7749,
"G290","1980","Missouri","29","290","MISSOURI",4348412,513385,14971,24962,
"G300","1980","Montana","30","300","MONTANA",740901,1738,37700,3097,
"G310","1980","Nebraska","31","310","NEBRASKA",1492220,47946,9146,8190,
"G320","1980","Nevada","32","320","NEVADA",703053,51203,14344,15606,
"G330","1980","New Hampshire","33","330","NEW HAMPSHIRE",910551,4324,1385,3364,
"G340","1980","New Jersey","34","340","NEW JERSEY",6154833,924909,10200,109383,
"G350","1980","New Mexico","35","350","NEW MEXICO",990657,23071,106750,7728,
"G360","1980","New York","36","360","NEW YORK",14033644,2405818,43987,330972,
"G370","1980","North Carolina","37","370","NORTH CAROLINA",4460570,1319054,65960,23150,
"G380","1980","North Dakota","38","380","NORTH DAKOTA",626358,2471,19953,2292,
"G390","1980","Ohio","39","390","OHIO",9607133,1076742,15554,53166,
"G400","1980","Oklahoma","40","400","OKLAHOMA",2603063,204810,171224,19765,
"G410","1980","Oregon","41","410","OREGON",2496398,37454,30469,40958,
"G420","1980","Pennsylvania","42","420","PENNSYLVANIA",10668416,1045318,11132,70514,
"G440","1980","Rhode Island","44","440","RHODE ISLAND",900408,27361,3204,6617,
"G450","1980","South Carolina","45","450","SOUTH CAROLINA",2147825,947969,6744,13370,
"G460","1980","South Dakota","46","460","SOUTH DAKOTA",639840,2152,45572,1917,
"G470","1980","Tennessee","47","470","TENNESSEE",3837968,724808,7035,15252,
"G480","1980","Texas","48","480","TEXAS",11303054,1704741,50812,134428,
"G490","1980","Utah","49","490","UTAH",1383997,9691,20103,20224,
"G500","1980","Vermont","50","500","VERMONT",507052,1188,1068,1640,
"G510","1980","Virginia","51","510","VIRGINIA",4236345,1008665,10069,70569,
"G530","1980","Washington","53","530","WASHINGTON",3790990,105604,63808,111607,
"G540","1980","West Virginia","54","540","WEST VIRGINIA",1874618,65041,2357,5902,
"G550","1980","Wisconsin","55","550","WISCONSIN",4446088,183169,30788,22043,
"G560","1980","Wyoming","56","560","WYOMING",446489,3270,8266,2044,
"G010","1990","Alabama","01","010","Alabama",2975797,1020705,16506,27579,
"G020","1990","Alaska","02","020","Alaska",415492,22451,85698,26402,
"G040","1990","Arizona","04","040","Arizona",2963186,110524,203527,387991,
"G050","1990","Arkansas","05","050","Arkansas",1944744,373912,12773,19296,
"G060","1990","California","06","060","California",20524327,2208801,242164,6784729,
"G080","1990","Colorado","08","080","Colorado",2905474,133146,27776,227998,
"G090","1990","Connecticut","09","090","Connecticut",2859353,274269,6654,146840,
"G100","1990","Delaware","10","100","Delaware",535094,112460,2019,16595,
"G110","1990","District Of Columbia","11","110","District of Columbia",179667,399604,1466,26163,
"G120","1990","Florida","12","120","Florida",10749285,1759534,36335,392772,
"G130","1990","Georgia","13","130","Georgia",4600148,1746565,13348,118155,
"G150","1990","Hawaii","15","150","Hawaii",369616,27195,5099,706319,
"G160","1990","Idaho","16","160","Idaho",950451,3370,13780,39148,
"G170","1990","Illinois","17","170","Illinois",8952978,1694273,21836,761515,
"G180","1990","Indiana","18","180","Indiana",5020700,432092,12720,78647,
"G190","1990","Iowa","19","190","Iowa",2683090,48090,7349,38226,
"G200","1990","Kansas","20","200","Kansas",2231986,143076,21965,80547,
"G210","1990","Kentucky","21","210","Kentucky",3391832,262907,5769,24788,
"G220","1990","Louisiana","22","220","Louisiana",2839138,1299281,18541,63013,
"G230","1990","Maine","23","230","Maine",1208360,5138,5998,8432,
"G240","1990","Maryland","24","240","Maryland",3393964,1189899,12972,184633,
"G250","1990","Massachusetts","25","250","Massachusetts",5405374,300130,12241,298680,
"G260","1990","Michigan","26","260","Michigan",7756086,1291706,55638,191867,
"G270","1990","Minnesota","27","270","Minnesota",4130395,94944,49909,99851,
"G280","1990","Mississippi","28","280","Mississippi",1633461,915057,8525,16173,
"G290","1990","Missouri","29","290","Missouri",4486228,548208,19835,62802,
"G300","1990","Montana","30","300","Montana",741111,2381,47679,7894,
"G310","1990","Nebraska","31","310","Nebraska",1480558,57404,12410,28013,
"G320","1990","Nevada","32","320","Nevada",1012695,78771,19637,90730,
"G330","1990","New Hampshire","33","330","New Hampshire",1087433,7198,2134,12487,
"G340","1990","New Jersey","34","340","New Jersey",6130465,1036825,14970,547928,
"G350","1990","New Mexico","35","350","New Mexico",1146028,30210,134355,204476,
"G360","1990","New York","36","360","New York",13385255,2859055,62651,1683494,
"G370","1990","North Carolina","37","370","North Carolina",5008491,1456323,80155,83668,
"G380","1990","North Dakota","38","380","North Dakota",604142,3524,25917,5217,
"G390","1990","Ohio","39","390","Ohio",9521756,1154826,20358,150175,
"G400","1990","Oklahoma","40","400","Oklahoma",2583512,233801,252420,75852,
"G410","1990","Oregon","41","410","Oregon",2636787,46178,38496,120860,
"G420","1990","Pennsylvania","42","420","Pennsylvania",10520201,1089795,14733,256914,
"G440","1990","Rhode Island","44","440","Rhode Island",917375,38861,4071,43157,
"G450","1990","South Carolina","45","450","South Carolina",2406974,1039884,8246,31599,
"G460","1990","South Dakota","46","460","South Dakota",637515,3258,50575,4656,
"G470","1990","Tennessee","47","470","Tennessee",4048068,778035,10039,41043,
"G480","1990","Texas","48","480","Texas",12774762,2021632,65877,2124239,
"G490","1990","Utah","49","490","Utah",1615845,11576,24283,71146,
"G500","1990","Vermont","50","500","Vermont",555088,1951,1696,4023,
"G510","1990","Virginia","51","510","Virginia",4791739,1162994,15282,217343,
"G530","1990","Washington","53","530","Washington",4308937,149801,81483,326471,
"G540","1990","West Virginia","54","540","West Virginia",1725523,56295,2458,9201,
"G550","1990","Wisconsin","55","550","Wisconsin",4512523,244539,39387,95320,
"G560","1990","Wyoming","56","560","Wyoming",427061,3606,9479,13442,
"G010","2000","Alabama","01","010","Alabama",3162808,1155930,22430,61753,44179
"G020","2000","Alaska","02","020","Alaska",434534,21787,98043,38422,34146
"G040","2000","Arizona","04","040","Arizona",3873611,158873,255879,695743,146526
"G050","2000","Arkansas","05","050","Arkansas",2138598,418950,17808,62300,35744
"G060","2000","California","06","060","California",20170059,2263882,333346,9496715,1607646
"G080","2000","Colorado","08","080","Colorado",3560005,165063,44241,409765,122187
"G090","2000","Connecticut","09","090","Connecticut",2780355,309843,9639,230880,74848
"G100","2000","Delaware","10","100","Delaware",584773,150666,2731,32397,13033
"G110","2000","District Of Columbia","11","110","District of Columbia",176101,343312,1713,37487,13446
"G120","2000","Florida","12","120","Florida",12465029,2335505,53541,751988,376315
"G130","2000","Georgia","13","130","Georgia",5327281,2349542,21737,373705,114188
"G150","2000","Hawaii","15","150","Hawaii",294102,22003,3535,632554,259343
"G160","2000","Idaho","16","160","Idaho",1177304,5456,17645,67939,25609
"G170","2000","Illinois","17","170","Illinois",9125471,1876875,31006,1150925,235016
"G180","2000","Indiana","18","180","Indiana",5320022,510034,15815,158942,75672
"G190","2000","Iowa","19","190","Iowa",2748640,61853,8989,75064,31778
"G200","2000","Kansas","20","200","Kansas",2313944,154198,24936,138844,56496
"G210","2000","Kentucky","21","210","Kentucky",3640889,295994,8616,53827,42443
"G220","2000","Louisiana","22","220","Louisiana",2856161,1451944,25477,87129,48265
"G230","2000","Maine","23","230","Maine",1236014,6760,7098,12404,12647
"G240","2000","Maryland","24","240","Maryland",3391308,1477411,15423,308757,103587
"G250","2000","Massachusetts","25","250","Massachusetts",5367286,343454,15015,477337,146005
"G260","2000","Michigan","26","260","Michigan",7966053,1412742,58479,308754,192416
"G270","2000","Minnesota","27","270","Minnesota",4400282,171731,54967,209757,82742
"G280","2000","Mississippi","28","280","Mississippi",1746099,1033809,11652,33077,20021
"G290","2000","Missouri","29","290","Missouri",4748083,629391,25076,110600,82061
"G300","2000","Montana","30","300","Montana",817229,2692,56068,10476,15730
"G310","2000","Nebraska","31","310","Nebraska",1533261,68541,14896,70612,23953
"G320","2000","Nevada","32","320","Nevada",1501886,135477,26420,258046,76428
"G330","2000","New Hampshire","33","330","New Hampshire",1186851,9035,2964,23722,13214
"G340","2000","New Jersey","34","340","New Jersey",6104705,1141821,19492,934577,213755
"G350","2000","New Mexico","35","350","New Mexico",1214253,34343,173483,330640,66327
"G360","2000","New York","36","360","New York",12893689,3014385,82461,2395740,590182
"G370","2000","North Carolina","37","370","North Carolina",5804656,1737545,99551,304301,103260
"G380","2000","North Dakota","38","380","North Dakota",593181,3916,31329,6376,7398
"G390","2000","Ohio","39","390","Ohio",9645453,1301307,24486,224009,157885
"G400","2000","Oklahoma","40","400","Oklahoma",2628434,260968,273230,132037,155985
"G410","2000","Oregon","41","410","Oregon",2961623,55662,45211,254158,104745
"G420","2000","Pennsylvania","42","420","Pennsylvania",10484203,1224612,18348,411667,142224
"G440","2000","Rhode Island","44","440","Rhode Island",891191,46908,5121,76848,28251
"G450","2000","South Carolina","45","450","South Carolina",2695560,1185216,13718,77568,39950
"G460","2000","South Dakota","46","460","South Dakota",669404,4685,62283,8316,10156
"G470","2000","Tennessee","47","470","Tennessee",4563310,932809,15152,114903,63109
"G480","2000","Texas","48","480","Texas",14799505,2404566,118362,3014754,514633
"G490","2000","Utah","49","490","Utah",1992975,17657,29684,145658,47195
"G500","2000","Vermont","50","500","Vermont",589208,3063,2420,6801,7335
"G510","2000","Virginia","51","510","Virginia",5120110,1390293,21172,403871,143069
"G530","2000","Washington","53","530","Washington",4821823,190267,93301,575211,213519
"G540","2000","West Virginia","54","540","West Virginia",1718777,57232,3606,12941,15788
"G550","2000","Wisconsin","55","550","Wisconsin",4769857,304460,47228,175235,66895
"G560","2000","Wyoming","56","560","Wyoming",454670,3722,11133,15374,8883
"G010","2010","Alabama","01","010","Alabama",3275394,1251311,28218,153562,71251
"G020","2010","Alaska","02","020","Alaska",473576,23263,104871,56646,51875
"G040","2010","Arizona","04","040","Arizona",4667121,259008,296529,951059,218300
"G050","2010","Arkansas","05","050","Arkansas",2245229,449895,22248,141536,57010
"G060","2010","California","06","060","California",21453934,2299072,362801,11322765,1815384
"G080","2010","Colorado","08","080","Colorado",4089202,201737,56010,509791,172456
"G090","2010","Connecticut","09","090","Connecticut",2772410,362296,11256,335459,92676
"G100","2010","Delaware","10","100","Delaware",618617,191814,4181,59468,23854
"G110","2010","District Of Columbia","11","110","District of Columbia",231471,305125,2079,45732,17316
"G120","2010","Florida","12","120","Florida",14109162,2999862,71458,1148251,472577
"G130","2010","Georgia","13","130","Georgia",5787440,2950435,32151,710138,207489
"G150","2010","Hawaii","15","150","Hawaii",336599,21424,4164,677485,320629
"G160","2010","Idaho","16","160","Idaho",1396487,9810,21441,100909,38935
"G170","2010","Illinois","17","170","Illinois",9177877,1866414,43963,1452396,289982
"G180","2010","Indiana","18","180","Indiana",5467906,591397,18462,278136,127901
"G190","2010","Iowa","19","190","Iowa",2781561,89148,11084,111229,53333
"G200","2010","Kansas","20","200","Kansas",2391044,167864,28150,180127,85933
"G210","2010","Kentucky","21","210","Kentucky",3809537,337520,10120,106982,75208
"G220","2010","Louisiana","22","220","Louisiana",2836192,1452396,30579,141322,72883
"G230","2010","Maine","23","230","Maine",1264971,15707,8568,18174,20941
"G240","2010","Maryland","24","240","Maryland",3359284,1700298,20420,528842,164708
"G250","2010","Massachusetts","25","250","Massachusetts",5265236,434398,18850,657142,172003
"G260","2010","Michigan","26","260","Michigan",7803120,1400362,62007,387832,230319
"G270","2010","Minnesota","27","270","Minnesota",4524062,274412,60916,319390,125145
"G280","2010","Mississippi","28","280","Mississippi",1754684,1098385,15030,65091,34107
"G290","2010","Missouri","29","290","Missouri",4958770,693391,27376,184801,124589
"G300","2010","Montana","30","300","Montana",884961,4027,62555,12896,24976
"G310","2010","Nebraska","31","310","Nebraska",1572838,82885,18427,112681,39510
"G320","2010","Nevada","32","320","Nevada",1786688,218626,32062,537100,126075
"G330","2010","New Hampshire","33","330","New Hampshire",1236050,15035,3150,40853,21382
"G340","2010","New Jersey","34","340","New Jersey",6029248,1204826,29026,1288491,240303
"G350","2010","New Mexico","35","350","New Mexico",1407876,42550,193222,338521,77010
"G360","2010","New York","36","360","New York",12740974,3073800,106906,2870573,585849
"G370","2010","North Carolina","37","370","North Carolina",6528950,2048628,122110,629596,206199
"G380","2010","North Dakota","38","380","North Dakota",605449,7960,36591,10738,11853
"G390","2010","Ohio","39","390","Ohio",9539437,1407681,25292,326329,237765
"G400","2010","Oklahoma","40","400","Oklahoma",2706845,277644,321687,223854,221321
"G410","2010","Oregon","41","410","Oregon",3204614,69206,53203,359292,144759
