GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,ABO001,ABO002,ABO003,ABO004,ABO005,ABO006,ABP001,ABP002,ABQ001,ABQ002
"G010","1830","Alabama","010",,"Alabama",100846,89560,59170,58379,844,728,190406,119121,117549,1572
"G055","1830","Arkansas Territory","055",,"Arkansas Territory",14195,11476,2293,2283,88,53,25671,4717,4576,141
"G090","1830","Connecticut","090",,"Connecticut",143047,146556,8,17,3850,4197,289603,8072,25,8047
"G100","1830","Delaware","100",,"Delaware",28845,28756,1806,1486,7882,7973,57601,19147,3292,15855
"G110","1830","District Of Columbia","110",,"District of Columbia",13647,13916,2852,3267,2645,3507,27563,12271,6119,6152
"G125","1830","Florida Territory","125",,"Florida Territory",10236,8149,7985,7516,383,461,18385,16345,15501,844
"G130","1830","Georgia","130",,"Georgia",153288,143518,108817,108714,1261,1225,296806,220017,217531,2486
"G170","1830","Illinois","170",,"Illinois",82048,73013,347,400,824,813,155061,2384,747,1637
"G180","1830","Indiana","180",,"Indiana",175885,163514,0,3,1857,1772,339399,3632,3,3629
"G210","1830","Kentucky","210",,"Kentucky",267123,250664,82309,82904,2652,2265,517787,170130,165213,4917
"G220","1830","Louisiana","220",,"Louisianna",49715,39516,57911,51677,7230,9480,89231,126298,109588,16710
"G230","1830","Maine","230",,"Maine",200689,197574,0,2,610,580,398263,1192,2,1190
"G240","1830","Maryland","240",,"Maryland",147340,143768,53442,49552,24906,28032,291108,155932,102994,52938
"G250","1830","Massachusetts","250",,"Massachusetts",294685,308674,0,1,3358,3690,603359,7049,1,7048
"G265","1830","Michigan Territory","265",,"Michigan Territory",18168,13178,22,10,159,102,31346,293,32,261
"G280","1830","Mississippi","280",,"Mississippi",38466,31977,33099,32560,288,231,70443,66178,65659,519
"G290","1830","Missouri","290",,"Missouri",61405,53390,12439,12652,284,285,114795,25660,25091,569
"G330","1830","New Hampshire","330",,"New Hampshire",131184,137537,0,3,275,329,268721,607,3,604
"G340","1830","New Jersey","340",,"New Jersey",152529,147737,1059,1195,9501,8802,300266,20557,2254,18303
"G360","1830","New York","360",,"New York",951441,916620,13,62,21466,23404,1868061,44945,75,44870
"G370","1830","North Carolina","370",,"North Carolina",235954,236889,124313,121288,9561,9982,472843,265144,245601,19543
"G390","1830","Ohio","390",,"Ohio",479713,448616,1,5,4789,4779,928329,9574,6,9568
"G420","1830","Pennsylvania","420",,"Pennsylvania",665812,644088,172,231,18377,19553,1309900,38333,403,37930
"G440","1830","Rhode Island","440",,"Rhode Island",45333,48288,3,14,1548,2013,93621,3578,17,3561
"G450","1830","South Carolina","450",,"South Carolina",130590,127273,155469,159932,3672,4249,257863,323322,315401,7921
"G470","1830","Tennessee","470",,"Tennessee",275066,260680,70216,71387,2330,2225,535746,146158,141603,4555
"G500","1830","Vermont","500",,"Vermont",139996,139775,0,0,426,455,279771,881,0,881
"G510","1830","Virginia","510",,"Virginia",347887,346413,239077,230680,22387,24961,694300,517105,469757,47348
