GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,B48001,B48002
"G010","1960","Alabama","010",,"Alabama",2283609,983131
"G020","1960","Alaska","020",,"Alaska",174546,51621
"G040","1960","Arizona","040",,"Arizona",1169517,132644
"G050","1960","Arkansas","050",,"Arkansas",1395703,390569
"G060","1960","California","060",,"California",14455230,1261974
"G080","1960","Colorado","080",,"Colorado",1700700,53247
"G090","1960","Connecticut","090",,"Connecticut",2423816,111418
"G100","1960","Delaware","100",,"Delaware",384327,61965
"G110","1960","District Of Columbia","110",,"District of Columbia",345263,418693
"G120","1960","Florida","120",,"Florida",4063881,887679
"G130","1960","Georgia","130",,"Georgia",2817223,1125893
"G150","1960","Hawaii","150",,"Hawaii",202230,430542
"G160","1960","Idaho","160",,"Idaho",657383,9808
"G170","1960","Illinois","170",,"Illinois",9010252,1070906
"G180","1960","Indiana","180",,"Indiana",4388554,273944
"G190","1960","Iowa","190",,"Iowa",2728709,28828
"G200","1960","Kansas","200",,"Kansas",2078666,99945
"G210","1960","Kentucky","210",,"Kentucky",2820083,218073
"G220","1960","Louisiana","220",,"Louisianna",2211715,1045307
"G230","1960","Maine","230",,"Maine",963291,5974
"G240","1960","Maryland","240",,"Maryland",2573919,526770
"G250","1960","Massachusetts","250",,"Massachusetts",5023144,125434
"G260","1960","Michigan","260",,"Michigan",7085865,737329
"G270","1960","Minnesota","270",,"Minnesota",3371603,42261
"G280","1960","Mississippi","280",,"Mississippi",1257546,920595
"G290","1960","Missouri","290",,"Missouri",3922967,396846
"G300","1960","Montana","300",,"Montana",650738,24029
"G310","1960","Nebraska","310",,"Nebraska",1374764,36566
"G320","1960","Nevada","320",,"Nevada",263443,21835
"G330","1960","New Hampshire","330",,"New Hampshire",604334,2587
"G340","1960","New Jersey","340",,"New Jersey",5539003,527779
"G350","1960","New Mexico","350",,"New Mexico",875763,75260
"G360","1960","New York","360",,"New York",15287072,1495233
"G370","1960","North Carolina","370",,"North Carolina",3399285,1156870
"G380","1960","North Dakota","380",,"North Dakota",619538,12908
"G390","1960","Ohio","390",,"Ohio",8909698,796699
"G400","1960","Oklahoma","400",,"Oklahoma",2107900,220384
"G410","1960","Oregon","410",,"Oregon",1732037,36650
"G420","1960","Pennsylvania","420",,"Pennsylvania",10454004,865362
"G440","1960","Rhode Island","440",,"Rhode Island",838712,20776
"G450","1960","South Carolina","450",,"South Carolina",1551022,831572
"G460","1960","South Dakota","460",,"South Dakota",653098,27416
"G470","1960","Tennessee","470",,"Tennessee",2977753,589336
"G480","1960","Texas","480",,"Texas",8374831,1204846
"G490","1960","Utah","490",,"Utah",873828,16799
"G500","1960","Vermont","500",,"Vermont",389092,789
"G510","1960","Virginia","510",,"Virginia",3142443,824506
"G530","1960","Washington","530",,"Washington",2751675,101539
"G540","1960","West Virginia","540",,"West Virginia",1770133,90288
"G550","1960","Wisconsin","550",,"Wisconsin",3858903,92874
"G560","1960","Wyoming","560",,"Wyoming",322922,7144
