GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,AA7001,AA7002,AA2001,AA2002
"G090","1810","Connecticut","090",,"Connecticut",6453,310,255279,6763
"G100","1810","Delaware","100",,"Delaware",13136,4177,55361,17313
"G110","1810","District Of Columbia","110",,"District of Columbia",2549,5395,16079,7944
"G130","1810","Georgia","130",,"Georgia",1801,105218,145414,107019
"G175","1810","Illinois Territory","175",,"Illinois Territory",613,168,11501,781
"G185","1810","Indiana Territory","185",,"Indiana Territory",393,237,23890,630
"G210","1810","Kentucky","210",,"Kentucky",1713,80561,324237,82274
"G225","1810","Louisiana Territory","225",,"Louisiana Territory",607,3011,17227,3618
"G240","1810","Maryland","240",,"Maryland",33927,111502,235117,145429
"G250","1810","Massachusetts","250",,"Massachusetts",7706,0,693039,7706
"G265","1810","Michigan Territory","265",,"Michigan Territory",120,24,4618,144
"G285","1810","Mississippi Territory","285",,"Mississippi Territory",240,17088,23024,17328
"G330","1810","New Hampshire","330",,"New Hampshire",970,0,213390,970
"G340","1810","New Jersey","340",,"New Jersey",7843,10851,226861,18694
"G360","1810","New York","360",,"New York",25333,15017,918699,40350
"G370","1810","North Carolina","370",,"North Carolina",10266,168824,376410,179090
"G390","1810","Ohio","390",,"Ohio",1899,0,228861,1899
"G417","1810","Orleans Territory","417",,"Orleans Territory",7585,34660,34311,42245
"G420","1810","Pennsylvania","420",,"Pennsylvania",22492,795,786804,23287
"G440","1810","Rhode Island","440",,"Rhode Island",3609,108,73314,3717
"G450","1810","South Carolina","450",,"South Carolina",4554,196365,214196,200919
"G470","1810","Tennessee","470",,"Tennessee",1317,44535,215875,45852
"G500","1810","Vermont","500",,"Vermont",750,0,216963,750
"G510","1810","Virginia","510",,"Virginia",30570,392518,551534,423088
