GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,A8L001,A8L002,A8L003,A8L004,A8L005,A8L006
"G010","1920","Alabama","010",,"Alabama",722414,706956,10625,7037,439779,460873
"G025","1920","Alaska Territory","025",,"Alaska Territory",16286,10758,11597,9828,,
"G040","1920","Arizona","040",,"Arizona",114688,98662,44657,33442,5859,2146
"G050","1920","Arkansas","050",,"Arkansas",649578,616204,8591,5384,236895,235325
"G060","1920","California","060",,"California",1308373,1274676,401850,279812,19837,18926
"G080","1920","Colorado","080",,"Colorado",416026,391123,68219,48735,5834,5484
"G090","1920","Connecticut","090",,"Connecticut",483946,498273,199891,176622,10778,10268
"G100","1920","Delaware","100",,"Delaware",86680,86125,11369,8441,15655,14680
"G110","1920","District Of Columbia","110",,"District of Columbia",136889,161423,15142,13406,50855,59111
"G120","1920","Florida","120",,"Florida",303041,292104,24603,18405,167156,162331
"G130","1920","Georgia","130",,"Georgia",844105,828823,10004,6182,590443,615922
"G155","1920","Hawaii Territory","155",,"Hawaii Territory",,,,,218,130
"G160","1920","Idaho","160",,"Idaho",205259,181446,24877,14086,585,335
"G170","1920","Illinois","170",,"Illinois",2550509,2541873,657264,549687,93835,88439
"G180","1920","Indiana","180",,"Indiana",1358645,1339558,88180,62688,41817,38993
"G190","1920","Iowa","190",,"Iowa",1091646,1066888,127065,98582,10121,8884
"G200","1920","Kansas","200",,"Kansas",815472,782856,62678,47900,29739,28186
"G210","1920","Kentucky","210",,"Kentucky",1091374,1058406,17479,13301,118548,117390
"G220","1920","Louisiana","220",,"Louisianna",530690,521050,26808,18063,344794,355463
"G230","1920","Maine","230",,"Maine",331648,326698,55807,51542,716,594
"G240","1920","Maryland","240",,"Maryland",550973,551587,54628,47549,123453,121026
"G250","1920","Massachusetts","250",,"Massachusetts",1330998,1394992,533319,544215,22912,22554
"G260","1920","Michigan","260",,"Michigan",1476459,1398533,413806,312829,34249,25833
"G270","1920","Minnesota","270",,"Minnesota",957140,925632,278588,207576,4851,3958
"G280","1920","Mississippi","280",,"Mississippi",428428,417515,4968,3051,462829,472355
"G290","1920","Missouri","290",,"Missouri",1528279,1510739,103418,82608,90991,87250
"G300","1920","Montana","300",,"Montana",233363,207277,58229,35391,962,696
"G310","1920","Nebraska","310",,"Nebraska",578953,550614,84277,65375,7309,5933
"G320","1920","Nevada","320",,"Nevada",31571,24326,10737,4065,196,150
"G330","1920","New Hampshire","330",,"New Hampshire",174823,176275,46844,44389,333,288
"G340","1920","New Jersey","340",,"New Jersey",1139491,1158983,391655,346958,57432,59700
"G350","1920","New Mexico","350",,"New Mexico",158505,147091,16845,12232,4593,1140
"G360","1920","New York","360",,"New York",3638435,3747480,1442575,1343537,95418,103065
"G370","1920","North Carolina","370",,"North Carolina",894690,881990,4341,2758,373965,389442
"G380","1920","North Dakota","380",,"North Dakota",262645,245806,75386,56117,276,191
"G390","1920","Ohio","390",,"Ohio",2463320,2429876,391344,287353,100160,86027
"G400","1920","Oklahoma","400",,"Oklahoma",927760,853466,24931,15037,76294,73114
"G410","1920","Oregon","410",,"Oregon",344849,322146,62310,39841,1197,947
"G420","1920","Pennsylvania","420",,"Pennsylvania",3494996,3549880,783336,604514,148297,136271
"G440","1920","Rhode Island","440",,"Rhode Island",205967,214514,86164,87335,5096,4940
"G450","1920","South Carolina","450",,"South Carolina",411728,400409,4095,2306,422185,442534
"G460","1920","South Dakota","460",,"South Dakota",280587,256169,47610,34781,475,357
"G470","1920","Tennessee","470",,"Tennessee",942203,928312,9021,6457,222639,229119
"G480","1920","Texas","480",,"Texas",1835072,1722574,200447,160072,371474,370220
"G490","1920","Utah","490",,"Utah",196357,189089,30875,25580,834,612
"G500","1920","Vermont","500",,"Vermont",154793,152498,23711,20815,320,252
"G510","1920","Virginia","510",,"Virginia",806082,781042,19051,11734,342536,347481
"G530","1920","Washington","530",,"Washington",558575,511147,153118,96937,3957,2926
"G540","1920","West Virginia","540",,"West Virginia",673959,641370,41910,19996,47129,39216
"G550","1920","Wisconsin","550",,"Wisconsin",1089782,1067028,258740,201388,2965,2236
"G560","1920","Wyoming","560",,"Wyoming",90567,74324,16934,8321,863,512
