GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,B5S001,B5S002,B5S003,B5S004,B5S005,B5S006,B5S007,B5S008,B5S009,B5S010,B5S011,B5S012,B5S013,B5S014
"G010","1960","Alabama","010",,"Alabama",1124061,466206,646,175,166,67,388,1159548,514065,630,325,122,60,281
"G020","1960","Alaska","020",,"Alaska",101194,4301,7412,370,91,596,14847,73352,2470,7032,448,46,218,13790
"G040","1960","Arizona","040",,"Arizona",587872,22252,41631,673,1610,642,248,581645,21151,41756,828,1326,301,226
"G050","1960","Arkansas","050",,"Arkansas",690762,187336,276,90,372,37,114,704941,201451,304,147,304,46,92
"G060","1960","California","060",,"California",7193094,436881,20477,78453,53627,42422,11753,7262136,446980,18537,78864,41973,23037,8970
"G080","1960","Colorado","080",,"Colorado",843575,20060,2251,3313,459,345,462,857125,19932,2035,3533,265,260,330
"G090","1960","Connecticut","090",,"Connecticut",1189653,52394,456,303,502,457,464,1234163,55055,467,350,363,269,338
"G100","1960","Delaware","100",,"Delaware",190186,30311,302,38,112,38,149,194141,30377,295,114,79,29,121
"G110","1960","District Of Columbia","110",,"District of Columbia",158124,196257,274,368,1542,670,936,187139,215480,313,532,1090,488,743
"G120","1960","Florida","120",,"Florida",2000593,432107,1299,470,610,935,769,2063288,448079,1205,845,413,426,521
"G130","1960","Georgia","130",,"Georgia",1391735,532509,406,341,371,257,294,1425488,590087,343,544,315,176,250
"G150","1960","Hawaii","150",,"Hawaii",112915,3405,280,100135,19609,44339,57490,89315,1538,192,103320,18588,24731,56915
"G160","1960","Idaho","160",,"Idaho",333298,808,2696,1143,188,109,179,324085,694,2535,1111,123,84,138
"G170","1960","Illinois","170",,"Illinois",4435687,498884,2445,7046,4321,2119,2364,4574565,538586,2259,7028,2726,1468,1660
"G180","1960","Indiana","180",,"Indiana",2165509,130725,453,442,621,208,780,2223045,138550,495,651,331,194,494
"G190","1960","Iowa","190",,"Iowa",1344933,12373,832,259,260,78,312,1383776,12981,876,340,163,89,265
"G200","1960","Kansas","200",,"Kansas",1031409,45743,2697,372,320,171,665,1047257,45702,2372,990,217,201,495
"G210","1960","Kentucky","210",,"Kentucky",1401904,105547,227,228,168,117,257,1418179,110402,164,546,120,119,178
"G220","1960","Louisiana","220",,"Louisianna",1090306,498758,1859,156,427,469,279,1121409,540449,1728,363,304,285,230
"G230","1960","Maine","230",,"Maine",475682,2045,974,97,76,87,93,487609,1273,905,246,47,44,87
