GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,AAA001,AAN001,AAP001,AAP002,AAQ001,AAQ002,AAQ003,AAR001,AAD001,AAD002,AAH001,AAH002,AAH003,AAH004,AAI001,AAJ001,AAL001,AAL002,AAL003,AAL004,AAL005,AAL006,AAL007,AAL008,AAL009,AAL010
"G090","1790","Connecticut","90",,"Connecticut",237655,0,115028,117208,2771,2648,232236,40876,1563,39313,38.0,0.0,952.0,10.0,2648,1.7,980,505,66,12,0,0,0,0,0,0
"G100","1790","Delaware","100",,"Delaware",59096,0,23926,22384,3899,8887,46310,,,,,,,,8887,,,,,,,,,,,
"G130","1790","Georgia","130",,"Georgia",82548,0,27147,25739,398,29264,52886,,,,,,,,29264,,,,,,,,,,,
"G240","1790","Maryland","240",,"Maryland",319728,0,107254,101395,8043,103036,208649,33294,12226,21068,365.0,3.0,597.0,36.0,103036,7.5,2841,3617,2807,1796,713,96,16,3,1,336
"G250","1790","Massachusetts","250",,"Massachusetts",475199,0,231786,237508,5905,0,469294,82788,,,,,,,0,,,,,,,,,,,
"G330","1790","New Hampshire","330",,"New Hampshire",141899,0,70929,70183,630,157,141112,24065,123,23942,5.0,0.0,991.0,3.0,157,1.3,97,24,2,0,0,0,0,0,0,0
"G340","1790","New Jersey","340",,"New Jersey",184139,0,86667,83287,2762,11423,169954,,,,,,,,11423,,,,,,,,,,,
"G360","1790","New York","360",,"New York",340241,33131,162073,152293,4682,21193,314366,54878,7796,47082,142.0,0.0,845.0,12.0,21193,2.7,3088,2867,1165,181,1,0,0,0,0,494
"G370","1790","North Carolina","370",,"North Carolina",395005,0,147825,141356,5041,100783,289181,48701,14973,33728,307.0,1.0,679.0,13.0,100783,6.7,4040,4959,3375,1788,701,90,11,2,0,7
"G420","1790","Pennsylvania","420",,"Pennsylvania",433611,28522,217487,205886,6531,3707,423373,73874,1858,72016,25.0,0.0,967.0,7.0,3707,2.0,1031,667,145,12,1,0,0,0,0,2
"G440","1790","Rhode Island","440",,"Rhode Island",69112,0,31801,32869,3484,958,64670,11296,461,10835,41.0,0.0,920.0,39.0,958,2.1,255,160,46,0,0,0,0,0,0,0
"G450","1790","South Carolina","450",,"South Carolina",249073,0,73298,66880,1801,107094,140178,25872,8859,17013,340.0,2.0,648.0,10.0,107094,12.1,1930,2603,1853,1201,859,285,96,21,6,5
"G465","1790","Southwest Territory","465",,"Southwest Territory",35691,0,16548,15365,361,3417,31913,,,,,,,,3417,,,,,,,,,,,
"G500","1790","Vermont","500",,"Vermont",85341,0,44710,40362,269,0,85072,14992,,,,,,,0,,,,,,,,,,,
"G510","1790","Virginia","510",,"Virginia",821287,0,259282,243968,12980,305057,503250,,,,,,,,305057,,,,,,,,,,,
