GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,AAU001,AAX001,AAX002,AAX003,AAX004,AAX005,AAX006,AAX007,AAX008,AAX009,AAX010,AAT001,AAT002
"G090","1800","Connecticut","090",,"Connecticut",251002,37946,19408,21683,23180,18976,35736,18218,23561,25186,20827,244721,6281
"G100","1800","Delaware","100",,"Delaware",64273,8250,4437,5121,5012,2213,7628,4277,5543,4981,2390,49852,14421
"G110","1800","District Of Columbia","110",,"District of Columbia",14093,1588,671,1178,1332,539,1577,663,1027,1028,463,10066,4027
"G130","1800","Georgia","130",,"Georgia",162686,19841,8470,9787,10910,4957,18407,7914,9248,8835,3894,102263,60423
"G185","1800","Indiana Territory","185",,"Indiana Territory",5641,854,347,466,645,262,791,280,424,393,115,4577,298
"G210","1800","Kentucky","210",,"Kentucky",220955,37274,14045,15705,17699,9233,34949,13433,15524,14934,7075,179871,41084
"G240","1800","Maryland","240",,"Maryland",341548,35852,17392,21234,22778,13394,33796,16437,22367,21170,11906,216326,125222
"G250","1800","Massachusetts","250",,"Massachusetts",574564,91616,44803,50805,55047,69655,87819,42012,53786,58329,43422,567294,7270
"G285","1800","Mississippi Territory","285",,"Mississippi Territory",8850,1009,356,482,780,290,953,376,352,416,165,5179,3671
"G330","1800","New Hampshire","330",,"New Hampshire",183858,30694,14881,16379,17589,11715,29871,14193,17153,18381,12142,182998,860
"G340","1800","New Jersey","340",,"New Jersey",211149,33980,15859,16301,19956,12629,32622,14827,17018,19533,11600,194325,16824
"G360","1800","New York","360",,"New York",589051,100367,44273,49275,61594,31943,95473,39881,48176,56411,28651,556044,30717
"G370","1800","North Carolina","370",,"North Carolina",478103,63118,27073,31560,31209,18688,59074,25874,32989,30665,17514,337764,140339
"G385","1800","Northwest Territory","385",,"Northwest Territory",45365,9362,3647,4636,4833,1955,8644,3353,3861,3342,1395,45028,337
"G420","1800","Pennsylvania","420",,"Pennsylvania",602365,103226,46161,54262,59333,38485,99624,43789,53974,53846,33394,586094,16271
"G440","1800","Rhode Island","440",,"Rhode Island",69122,9945,5352,5889,5785,4887,9524,5026,6463,6919,5647,65437,3685
"G450","1800","South Carolina","450",,"South Carolina",345591,37411,16156,17761,19344,10244,34664,15857,18145,17236,9437,196255,149336
"G470","1800","Tennessee","470",,"Tennessee",105602,19227,7194,8282,8352,4125,18450,7042,8554,6992,3491,91709,13893
"G500","1800","Vermont","500",,"Vermont",154465,29420,12046,13242,16544,8076,28272,11366,12606,15287,7049,153908,557
"G510","1800","Virginia","510",,"Virginia",880200,92438,40500,48708,50262,30221,87323,38835,50730,47810,27453,514280,365920
