GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,AA3001,AA6001,AA6002,AA6003,AA6004,AA6005,AA6006,AA6007,AA6008,AA6009,AA6010,AA2001,AA2002
"G090","1810","Connecticut","090",,"Connecticut",261942,37812,20498,23880,23699,20484,35913,18931,25073,26293,22696,255279,6763
"G100","1810","Delaware","100",,"Delaware",72674,9632,4480,5150,5866,2878,9041,4370,5541,5527,2876,55361,17313
"G110","1810","District Of Columbia","110",,"District of Columbia",24023,2479,1158,1520,2107,866,2538,1192,1653,1734,832,16079,7944
"G130","1810","Georgia","130",,"Georgia",252433,28002,11951,14085,14372,7435,26283,11237,13461,12350,6238,145414,107019
"G175","1810","Illinois Territory","175",,"Illinois Territory",12282,2266,945,1274,1339,556,2019,791,1053,894,364,11501,781
"G185","1810","Indiana Territory","185",,"Indiana Territory",24520,4923,1922,2284,2316,1125,4555,1863,2228,1880,794,23890,630
"G210","1810","Kentucky","210",,"Kentucky",406511,65134,26804,29772,29553,17542,60776,25743,29511,25920,13482,324237,82274
"G225","1810","Louisiana Territory","225",,"Louisiana Territory",20845,3438,1345,1568,2069,967,3213,1265,1431,1369,562,17227,3618
"G240","1810","Maryland","240",,"Maryland",380546,38613,18489,22688,25255,15165,36137,17833,23875,22908,14154,235117,145429
"G250","1810","Massachusetts","250",,"Massachusetts",700745,110203,53427,65421,67933,48267,106012,51018,67656,70693,52409,693039,7706
"G265","1810","Michigan Territory","265",,"Michigan Territory",4762,800,351,583,763,340,640,332,368,311,130,4618,144
"G285","1810","Mississippi Territory","285",,"Mississippi Territory",40352,4217,1637,2692,3160,1144,4015,1544,2187,1753,675,23024,17328
"G330","1810","New Hampshire","330",,"New Hampshire",214460,34084,17840,18865,20531,14462,32313,17259,20792,22040,15204,213390,970
"G340","1810","New Jersey","340",,"New Jersey",245562,37814,18914,21231,21394,16004,36065,17787,21184,21359,15109,226861,18694
"G360","1810","New York","360",,"New York",959049,165933,73702,85779,94882,53985,157945,68811,85139,85805,46718,918699,40350
"G370","1810","North Carolina","370",,"North Carolina",555500,68036,30321,34630,34456,21189,65421,30053,37933,33944,20427,376410,179090
"G390","1810","Ohio","390",,"Ohio",230760,46623,18119,20189,22761,11965,44192,16869,19990,19436,8717,228861,1899
"G417","1810","Orleans Territory","417",,"Orleans Territory",76556,5848,2491,2963,5130,2508,5384,2588,2874,3026,1499,34311,42245
"G420","1810","Pennsylvania","420",,"Pennsylvania",810091,138464,62506,74203,74193,52100,131769,60943,75960,70826,45840,786804,23287
"G440","1810","Rhode Island","440",,"Rhode Island",76931,10735,5554,7250,6765,5539,10555,5389,7520,7635,6372,73314,3717
"G450","1810","South Carolina","450",,"South Carolina",415115,39669,17193,20933,20488,11304,37497,16629,20583,18974,10926,214196,200919
"G470","1810","Tennessee","470",,"Tennessee",261727,44494,17170,19486,19957,10656,41810,16329,19864,17624,8485,215875,45852
"G500","1810","Vermont","500",,"Vermont",217895,38062,18347,19678,20441,13053,36613,17339,21181,20792,11457,216963,750
"G510","1810","Virginia","510",,"Virginia",974600,97777,42919,51473,52567,35302,90715,42207,54899,51163,32512,551534,423088
