GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,ABA001,ABG001,ABG002,ABG003,ABG004,ABG005,ABG006,ABG007,ABG008,ABG009,ABG010,ABB001,ABB002,ABB003,ABB004,ABB005,ABB006,ABD001,ABD002
"G010","1820","Alabama","010",,"Alabama",127901,17103,6281,9336,9055,4064,15810,6289,7993,6625,2895,45839,39612,21780,20099,318,253,85451,42450
"G055","1820","Arkansas Territory","055",,"Arkansas Territory",14273,2420,985,1427,1453,686,2142,927,1179,934,426,6971,5608,820,797,44,15,12579,1676
"G090","1820","Connecticut","090",,"Connecticut",275202,36848,20682,25731,25632,21814,35289,19833,27205,29069,25078,130707,136474,37,60,3837,4007,267181,7941
"G100","1820","Delaware","100",,"Delaware",72749,9071,4448,5516,5607,3263,8657,4311,5573,5537,3299,27905,27377,2555,1954,6479,6479,55282,17467
"G110","1820","District Of Columbia","110",,"District of Columbia",33039,3276,1540,2171,2893,1291,3319,1640,2518,2615,1351,11171,11443,3007,3370,1731,2317,22614,10425
"G130","1820","Georgia","130",,"Georgia",340989,35444,14743,19483,17874,10860,33177,14937,18642,15365,9041,98404,91162,75916,73740,851,912,189566,151419
"G170","1820","Illinois","170",,"Illinois",55211,10554,4227,6224,5755,2641,9558,4018,4842,4166,1803,29401,24387,548,369,237,220,53788,1374
"G180","1820","Indiana","180",,"Indiana",147178,29629,11454,14428,14072,7066,27684,10707,13635,12009,5074,76649,69109,98,92,654,576,145758,1420
"G210","1820","Kentucky","210",,"Kentucky",564317,83050,36004,41328,38178,25136,77641,35120,41905,35483,20799,223696,210948,63914,62818,1493,1266,434644,129491
"G220","1820","Louisiana","220",,"Louisianna",153407,11817,4710,8747,11236,4822,11062,5484,6708,5695,3102,41332,32051,36566,32498,4509,5967,73383,79540
"G230","1820","Maine","230",,"Maine",298335,49217,24528,28530,27742,19178,46565,23982,30823,28248,18527,149195,148145,0,0,437,492,297340,929
"G240","1820","Maryland","240",,"Maryland",407350,41511,18952,26404,27916,16960,39454,19578,27293,26347,15807,131743,128479,56373,51025,18746,20984,260222,147128
"G250","1820","Massachusetts","250",,"Massachusetts",523287,70993,38573,49506,54414,38668,69260,38308,52805,57721,46171,252154,264265,0,0,3308,3432,516419,6740
"G265","1820","Michigan Territory","265",,"Michigan Territory",8896,1220,559,1334,1661,609,1130,525,692,595,266,5383,3208,0,0,105,69,8591,174
"G280","1820","Mississippi","280",,"Mississippi",75448,8104,3216,4560,5110,2296,7220,3176,3791,3107,1596,23286,18890,16850,15964,239,219,42176,33272
"G295","1820","Missouri Territory","295",,"Missouri Territory",66586,10677,4256,6537,6622,2909,9766,3978,5076,4265,1902,31001,24987,5341,4881,186,161,55988,10569
"G330","1820","New Hampshire","330",,"New Hampshire",244161,35466,19672,22703,22956,18413,34599,18899,24806,25797,19925,119210,124026,0,0,372,414,243236,786
"G340","1820","New Jersey","340",,"New Jersey",277575,42055,19970,24639,24418,18537,39921,19504,25637,24693,18035,129619,127790,3988,3569,6416,6044,257409,20017
"G360","1820","New York","360",,"New York",1372812,222608,104297,132733,138634,81259,216513,101904,132492,129899,72385,679531,653193,5088,5000,13458,15821,1332724,39367
"G370","1820","North Carolina","370",,"North Carolina",638829,75488,32912,39527,36264,25453,70998,33101,42253,38069,25135,209644,209556,106551,98466,7395,7217,419200,219629
"G390","1820","Ohio","390",,"Ohio",581434,111683,45858,57008,54432,31626,106036,44106,53337,48797,23689,300607,275965,0,0,2454,2269,576572,4723
"G420","1820","Pennsylvania","420",,"Pennsylvania",1049458,175381,77050,102550,97144,64493,166710,78425,101404,94345,59592,516618,500476,85,126,14804,15398,1017094,30413
"G440","1820","Rhode Island","440",,"Rhode Island",83059,11530,5860,7596,7618,5888,10917,5769,8407,8671,7157,38492,40921,18,30,1587,1967,79413,3602
"G450","1820","South Carolina","450",,"South Carolina",502741,42658,18258,23984,22115,13919,39891,18741,23662,20939,13273,120934,116506,130472,128003,3296,3530,237440,265301
"G470","1820","Tennessee","470",,"Tennessee",422813,67746,28497,31028,27549,18780,63419,27770,31569,27931,15638,173600,166327,39747,40360,1501,1226,339927,82834
"G500","1820","Vermont","500",,"Vermont",235764,35708,19241,24137,22035,16189,35327,18577,24713,23683,15236,117310,117536,0,0,438,465,234846,903
"G510","1820","Virginia","510",,"Virginia",1065379,103963,45762,58863,57898,38245,98485,45766,62411,55995,35686,304731,298343,218274,206879,17849,19040,603074,462042
