GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,ABN001,ABW001,ABW002,ABW003,ABW004,ABW005,ABW006,ABW007,ABW008,ABW009,ABW010,ABW011,ABW012,ABW013,ABW014,ABW015,ABW016,ABW017,ABW018,ABW019,ABW020,ABW021,ABW022,ABW023,ABW024,ABW025,ABW026,ABO001,ABO002,ABO003,ABO004,ABO005,ABO006,ABP001,ABP002,ABQ001,ABQ002,ABS001,ABS002
"G010","1830","Alabama","010",,"Alabama",309527,22764,15482,12129,9509,17440,11399,6029,3593,1741,591,147,19,3,21340,14801,11092,9951,14457,8559,4695,2731,1319,432,144,29,10,100846,89560,59170,58379,844,728,190406,119121,117549,1572,60014,59107
"G055","1830","Arkansas Territory","055",,"Arkansas Territory",30388,3020,2021,1626,1272,2835,1820,876,434,209,69,12,1,0,2782,1897,1494,1225,2012,1087,528,301,107,31,9,3,0,14195,11476,2293,2283,88,53,25671,4717,4576,141,2381,2336
"G090","1830","Connecticut","090",,"Connecticut",297675,19033,17891,17788,16509,26166,16608,11595,7851,5495,3154,871,81,5,18270,16943,16575,15978,26540,17937,13214,9245,6707,3760,1228,156,3,143047,146556,8,17,3850,4197,289603,8072,25,8047,3858,4214
"G100","1830","Delaware","100",,"Delaware",76748,4744,4099,3919,3184,5508,3206,2036,1286,609,202,43,9,0,4647,4011,3654,3381,5484,3179,2047,1397,630,263,56,6,1,28845,28756,1806,1486,7882,7973,57601,19147,3292,15855,9688,9459
"G110","1830","District Of Columbia","110",,"District of Columbia",39834,2333,1680,1486,1522,2805,1817,1068,593,245,71,25,1,1,2182,1646,1648,1843,2856,1752,980,603,272,98,32,4,0,13647,13916,2852,3267,2645,3507,27563,12271,6119,6152,5497,6774
"G125","1830","Florida Territory","125",,"Florida Territory",34730,1932,1333,1015,789,2171,1536,760,436,194,57,10,2,1,1807,1251,981,923,1447,848,484,247,101,45,10,5,0,10236,8149,7985,7516,383,461,18385,16345,15501,844,8368,7977
"G130","1830","Georgia","130",,"Georgia",516823,33027,23709,18584,15186,26844,16156,9542,5674,3083,1120,290,63,10,30958,22590,17988,16452,24036,13974,8427,5089,2664,987,268,65,20,153288,143518,108817,108714,1261,1225,296806,220017,217531,2486,110078,109939
"G170","1830","Illinois","170",,"Illinois",157445,18834,12753,10024,7770,14706,8825,4627,2853,1172,384,90,6,4,17429,12000,9246,8053,12461,6850,3750,2047,812,273,77,14,1,82048,73013,347,400,824,813,155061,2384,747,1637,1171,1213
"G180","1830","Indiana","180",,"Indiana",343031,39780,28692,22872,17653,28153,17904,10306,6004,3160,1059,240,49,13,37505,27313,21072,18087,26702,15703,9028,4808,2275,780,212,25,4,175885,163514,0,3,1857,1772,339399,3632,3,3629,1857,1775
"G210","1830","Kentucky","210",,"Kentucky",687917,54116,41073,34222,29017,45913,26289,15966,10843,6253,2585,699,119,28,50835,39439,32197,29623,41936,23463,15476,9499,5315,2195,575,97,14,267123,250664,82309,82904,2652,2265,517787,170130,165213,4917,84961,85169
