GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,ACD001,ACY001,ACY002,ACY003,ACY004,ACY005,ACY006,ACY007,ACY008,ACY009,ACY010,ACY011,ACY012,ACY013,ACY014,ACY015,ACY016,ACY017,ACY018,ACY019,ACY020,ACY021,ACY022,ACY023,ACY024,ACY025,ACY026,ACZ001,ACZ002,ACZ003,ACZ004,ACZ005,ACZ006,ACZ007,ACZ008,ACZ009,ACZ010,ACZ011,ACZ012,ACZ013,ACZ014,ACZ015,ACZ016,ACZ017,ACZ018,ACZ019,ACZ020,ACZ021,ACZ022,ACZ023,ACZ024,AC1001,AC1002,AC1003,AC1004,AC1005,AC1006,AC1007,ACR001,ACR002,ACS001,ACS002,ACS003,ACU001,ACU002,ACU003,ACU004
"G010","1840","Alabama","010",,"Alabama",590756,36611,28215,22819,16222,31455,19340,11783,6024,2886,997,273,47,20,33917,26804,21786,17911,25574,15152,9184,4647,2407,847,205,45,14,301,296,170,152,107,4,271,313,188,124,104,9,43767,41293,25812,12802,3626,60,43663,40818,26491,12023,3130,47,96,177439,2212,7195,256,758,1514,176692,158493,335185,2039,253532,1030,1009,127360,126172
"G050","1840","Arkansas","050",,"Arkansas",97574,8607,6331,5077,3863,8532,5129,2751,1194,523,162,35,4,3,8108,5853,4869,3911,5881,3317,1715,805,357,113,30,3,1,77,56,62,34,16,3,67,60,35,32,21,2,3450,3514,2069,890,182,14,3302,3558,1930,849,174,3,41,26355,215,1173,3,39,301,42211,34963,77174,465,19935,248,217,10119,9816
"G090","1840","Connecticut","090",,"Connecticut",309978,19021,17420,17270,16718,26097,19056,13355,9121,5727,3381,1034,92,8,18253,16889,15964,16478,27120,20110,14863,10792,7220,4274,1436,153,4,935,1165,710,746,331,4,967,1238,860,715,433,1,0,0,0,5,3,0,0,0,0,1,8,0,151,56955,2743,27932,2700,431,1697,148300,153556,301856,8105,17,3891,4214,8,9
"G100","1840","Delaware","100",,"Delaware",78085,4939,3957,3581,3104,5722,3549,2117,1270,682,268,61,5,4,4751,3859,3404,3337,5707,3469,2173,1341,837,320,92,9,3,2740,2679,1392,1163,645,7,2618,2457,1415,1127,662,14,442,676,170,53,30,0,375,551,194,76,37,1,5,16015,467,4060,401,235,199,29259,29302,58561,16919,2605,8626,8293,1371,1234
"G110","1840","District Of Columbia","110",,"District of Columbia",43712,2354,1755,1764,1728,2891,1953,1201,724,312,115,21,2,2,2294,1771,1899,2077,3030,2026,1338,795,413,149,41,1,1,1168,948,562,525,237,13,1208,1455,1027,813,390,15,598,747,338,275,96,4,630,977,498,370,158,3,0,384,240,2278,126,80,203,14822,15835,30657,8361,4694,3453,4908,2058,2636
"G125","1840","Florida Territory","125",,"Florida Territory",54477,2455,1947,1520,1305,4388,2801,1193,530,220,73,20,3,1,2241,1761,1448,1322,2220,1219,704,354,156,49,10,2,1,108,125,87,49,29,0,108,123,78,75,35,0,4044,4070,2907,1496,512,9,3992,4120,2673,1446,440,8,1,12117,481,1177,435,118,204,16456,11487,27943,817,25717,398,419,13038,12679
"G130","1840","Georgia","130",,"Georgia",691392,43759,33899,27136,20897,34696,22196,13886,7623,4240,1641,455,87,19,40579,32080,25993,22395,31705,19603,12300,6795,3679,1485,443,79,25,427,375,232,195,137,8,375,381,229,192,178,24,48933,43630,24953,16319,5374,126,48445,44348,27557,16265,4922,72,574,209383,2428,7984,262,352,1250,210534,197161,407695,2753,280944,1374,1379,139335,141609
"G170","1840","Illinois","170",,"Illinois",476183,48363,37278,31062,24876,52580,31428,15809,8755,3660,1119,257,35,13,44775,34913,28496,24078,38823,22676,12712,6514,2941,866,184,39,2,548,568,377,265,117,1,536,570,311,201,102,2,53,63,30,15,6,1,53,59,20,24,7,0,782,105337,2506,13185,63,310,2021,255235,217019,472254,3598,331,1876,1722,168,163
"G180","1840","Indiana","180",,"Indiana",685866,70468,57457,46129,36599,60002,37565,21678,13789,6195,2258,551,68,14,66397,53805,42890,36904,55176,32708,19967,10759,5035,1780,436,59,9,1258,1119,620,497,229,8,1112,1100,592,413,215,2,0,0,0,1,0,0,0,2,0,0,0,0,233,148806,3076,20590,89,627,2257,352773,325925,678698,7165,3,3731,3434,1,2
"G195","1840","Iowa Territory","195",,"Iowa Territory",43112,4380,3138,2475,2179,6207,3310,1512,698,272,73,12,0,0,4082,2962,2188,2064,3789,1865,979,494,187,51,6,0,1,20,31,22,14,6,0,14,39,8,16,2,0,1,3,1,1,0,0,1,5,3,1,0,0,217,10469,355,1629,13,78,365,24256,18668,42924,172,16,93,79,6,10
