GISJOIN,YEAR,STATE,STATEA,AREANAME,AFE001,AFE002,AFE003,AFE004,AFE005,AFE006,AFE007,AFE008,AFE009,AFE010,AFE011,AFF001
"G010","1850","Alabama","010","Alabama",5204,7737,6572,5067,3524,957,216,16,2,0,0,29295
"G050","1850","Arkansas","050","Arkansas",1383,1951,1365,788,382,109,19,2,0,0,0,5999
"G060","1850","California","060","California",,,,,,,,,,,,
"G090","1850","Connecticut","090","Connecticut",,,,,,,,,,,,
"G100","1850","Delaware","100","Delaware",320,352,117,20,0,0,0,0,0,0,0,809
"G110","1850","District Of Columbia","110","District of Columbia",760,539,136,39,2,1,0,0,0,0,0,1477
"G120","1850","Florida","120","Florida",699,991,759,588,349,104,29,0,1,0,0,3520
"G130","1850","Georgia","130","Georgia",6554,11716,7701,6490,5056,764,147,22,4,2,0,38456
"G170","1850","Illinois","170","Illinois",,,,,,,,,,,,
"G180","1850","Indiana","180","Indiana",,,,,,,,,,,,
"G190","1850","Iowa","190","Iowa",,,,,,,,,,,,
"G210","1850","Kentucky","210","Kentucky",9244,13284,9579,5022,1198,53,5,0,0,0,0,38385
"G220","1850","Louisiana","220","Louisianna",4797,6072,4327,2652,1774,728,274,36,6,4,0,20670
"G230","1850","Maine","230","Maine",,,,,,,,,,,,
"G240","1850","Maryland","240","Maryland",4825,5331,3327,1822,655,72,7,0,1,0,0,16040
"G250","1850","Massachusetts","250","Massachusetts",,,,,,,,,,,,
"G260","1850","Michigan","260","Michigan",,,,,,,,,,,,
"G275","1850","Minnesota Territory","275","Minnesota Territory",,,,,,,,,,,,
"G280","1850","Mississippi","280","Mississippi",3640,6228,5143,4015,2964,910,189,18,8,1,0,23116
"G290","1850","Missouri","290","Missouri",5762,6878,4370,1810,345,19,0,1,0,0,0,19185
"G330","1850","New Hampshire","330","New Hampshire",,,,,,,,,,,,
"G340","1850","New Jersey","340","New Jersey",,,,,,,,,,,,
"G355","1850","New Mexico Territory","355","New Mexico Territory",,,,,,,,,,,,
"G360","1850","New York","360","New York",,,,,,,,,,,,
"G370","1850","North Carolina","370","North Carolina",1204,9668,8129,5898,2828,485,76,12,3,0,0,28303
"G390","1850","Ohio","390","Ohio",,,,,,,,,,,,
"G413","1850","Oregon Territory","413","Oregon Territory",,,,,,,,,,,,
"G420","1850","Pennsylvania","420","Pennsylvania",,,,,,,,,,,,
"G440","1850","Rhode Island","440","Rhode Island",,,,,,,,,,,,
"G450","1850","South Carolina","450","South Carolina",3492,6164,6311,4955,3200,990,382,69,29,2,2,25596
"G470","1850","Tennessee","470","Tennessee",7616,10582,8314,4852,2202,276,19,2,1,0,0,33864
"G480","1850","Texas","480","Texas",1935,2640,1585,1121,374,82,9,1,0,0,0,7747
"G495","1850","Utah Territory","495","Utah Territory",,,,,,,,,,,,
"G500","1850","Vermont","500","Vermont",,,,,,,,,,,,
"G510","1850","Virginia","510","Virginia",11385,15550,13030,9456,4880,646,107,8,1,0,0,55063
"G550","1850","Wisconsin","550","Wisconsin",,,,,,,,,,,,
