GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,AGT001
"G010","1860","Alabama","010",,"Alabama",33730
"G050","1860","Arkansas","050",,"Arkansas",11481
"G060","1860","California","060",,"California",
"G090","1860","Connecticut","090",,"Connecticut",
"G095","1860","Dakota Territory","095",,"Dakota Territory",
"G100","1860","Delaware","100",,"Delaware",587
"G110","1860","District Of Columbia","110",,"District of Columbia",1229
"G120","1860","Florida","120",,"Florida",5152
"G130","1860","Georgia","130",,"Georgia",41084
"G170","1860","Illinois","170",,"Illinois",
"G180","1860","Indiana","180",,"Indiana",
"G190","1860","Iowa","190",,"Iowa",
"G205","1860","Kansas Territory","205",,"Kansas Territory",2
"G210","1860","Kentucky","210",,"Kentucky",38645
"G220","1860","Louisiana","220",,"Louisianna",22033
"G230","1860","Maine","230",,"Maine",
"G240","1860","Maryland","240",,"Maryland",13783
"G250","1860","Massachusetts","250",,"Massachusetts",
"G260","1860","Michigan","260",,"Michigan",
"G270","1860","Minnesota","270",,"Minnesota",
"G280","1860","Mississippi","280",,"Mississippi",30943
"G290","1860","Missouri","290",,"Missouri",24320
"G315","1860","Nebraska Territory","315",,"Nebraska Territory",6
"G325","1860","Nevada Territory","325",,"Nevada Territory",
"G330","1860","New Hampshire","330",,"New Hampshire",
"G340","1860","New Jersey","340",,"New Jersey",
"G355","1860","New Mexico Territory","355",,"New Mexico Territory",
"G360","1860","New York","360",,"New York",
"G370","1860","North Carolina","370",,"North Carolina",34658
"G390","1860","Ohio","390",,"Ohio",
"G410","1860","Oregon","410",,"Oregon",
"G420","1860","Pennsylvania","420",,"Pennsylvania",
"G440","1860","Rhode Island","440",,"Rhode Island",
"G450","1860","South Carolina","450",,"South Carolina",26701
"G470","1860","Tennessee","470",,"Tennessee",36844
"G480","1860","Texas","480",,"Texas",21878
"G495","1860","Utah Territory","495",,"Utah Territory",12
"G500","1860","Vermont","500",,"Vermont",
"G510","1860","Virginia","510",,"Virginia",52128
"G535","1860","Washington Territory","535",,"Washington Territory",
"G550","1860","Wisconsin","550",,"Wisconsin",
