GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,AG3001,AH0001,AH0002,AH0003,AH0004,AH0005,AH0006,AH0007,AH0008,AH0009,AH0010,AH0011,AH0012,AH0013,AH0014,AH0015,AH0016,AH0017,AH0018,AH0019,AH0020,AH0021,AH0022,AH0023,AH0024,AH0025,AH0026,AH0027,AH0028,AH0029,AH0030,AH0031,AH0032,AH0033,AH0034,AH0035,AH0036,AH0037,AH0038,AH0039,AH0040,AH0041,AH0042,AH0043,AH0044,AH0045,AH0046,AH0047,AH0048,AH0049,AH0050,AH0051,AH0052,AH0053,AH0054,AH0055,AH0056,AH0057,AH0058,AH0059,AH0060,AH0061,AH0062,AH0063,AH0064,AH0065,AH0066,AH0067,AH0068,AH0069,AH0070,AH0071,AH0072,AH0073,AH0074,AH0075,AH0076,AH0077,AH0078,AH0079,AH0080,AH0081,AH0082,AH0083,AH0084,AH0085,AH0086,AH0087,AH0088,AH0089,AH0090,AH0091,AH0092,AH0093,AH0094,AH0095,AH0096,AH0097,AH0098,AH0099,AH0100,AH0101,AH0102,AH0103,AH0104,AH0105,AH0106,AH0107,AH0108,AH0109,AH0110,AH0111,AH0112,AH0113,AH0114,AH0115,AH0116,AH0117,AH0118,AH0119,AH0120,AH0121,AH0122,AH0123,AH0124,AH0125,AH0126,AH0127,AH0128,AH0129,AH0130,AH0131,AH0132,AH0133,AH0134,AH0135,AH0136,AH0137,AH0138,AH0139,AH0140,AH0141,AH0142,AH0143,AH0144,AH0145,AH0146,AH0147,AH0148,AH0149,AH0150,AH0151,AH0152,AH0153,AH0154,AH0155,AH0156,AH0157,AH0158,AH0159,AH0160,AH0161,AH0162,AH0163,AH0164,AH0165,AH0166,AH0167,AH0168,AH0169,AH0170,AH0171,AH0172,AH0173,AH0174,AH0175,AH0176,AH0177,AH0178,AH0179,AH0180,AH3001,AH3002,AH3003,AH3004,AH3005,AH3006,AH7001,AG9001,AG9002,AG9003,AG9004,AG9005,AG9006,AG9007,AG9008,AG9009,AG9010,AG9011,AG9012,AG9013,AG9014,AG9015,AG9016,AG9017,AG9018,AG9019,AG9020,AG9021,AHB001,AHB002
"G010","1860","Alabama","010",,"Alabama",964201,8555,8500,35272,33569,40380,39140,37505,35783,29889,31309,47184,45499,29425,27106,20089,17051,12284,10018,6637,5433,2259,1999,577,509,61,108,10,20,63,37,41,42,165,167,200,211,162,188,107,149,184,235,132,155,83,104,69,69,58,61,32,26,5,11,9,10,7,7,0,1,6114,6400,29792,30495,31281,31491,30453,28968,24247,25747,40363,39180,24942,25058,15762,15510,7799,7830,5033,4603,1396,1345,407,476,99,131,76,74,2,6,2,2,10,7,5,12,13,10,11,7,27,12,6,7,1,9,2,9,3,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,526271,2690,435080,160,,,529121,5607,3663,2805,2329,1986,1729,1411,1227,1036,3742,2164,2323,1253,768,791,550,312,24,10,0,0,435080,529121
"G050","1860","Arkansas","050",,"Arkansas",435450,5490,5383,23650,22099,26901,25224,23633,21916,17810,18252,31413,27016,19793,15787,12164,9307,6474,4829,2951,2030,757,551,160,148,22,17,7,7,252,100,1,3,8,7,9,5,11,13,7,8,11,11,6,7,5,7,10,7,1,1,1,0,1,0,0,2,1,1,0,0,1638,1743,7506,7638,8273,8056,7459,7090,6490,6997,12107,11117,6398,6164,3502,3496,1581,1480,934,836,207,194,46,71,20,31,11,20,2,8,1,0,2,5,4,2,7,3,2,2,5,6,2,3,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324143,144,111115,48,,,324335,2339,1503,1070,894,730,569,463,404,369,1136,641,586,275,157,161,118,59,6,0,1,0,111115,324335
"G060","1860","California","060",,"California",379994,4474,4336,16282,15419,12245,11841,8689,8011,9039,7697,71434,22920,69697,16264,23625,6153,8227,2518,2436,929,359,207,67,64,11,8,6,3,183,33,38,36,149,157,112,103,81,86,108,96,718,282,839,277,504,145,211,64,48,10,16,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,155,826,717,961,773,1031,826,1146,1076,2819,1717,1750,960,1012,492,340,181,295,126,104,64,69,39,48,26,26,29,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,20,24,20,17,313,33,1896,431,14906,862,10924,312,3772,71,919,18,344,12,23,1,4,0,0,0,0,0,5,0,323177,4086,0,17798,,34933,379994,,,,,,,,,,,,,,,,,,,,,,,379994
"G085","1860","Colorado Territory","085",,"Colorado Territory",34277,32,17,236,170,178,137,189,107,855,159,17604,529,10511,278,2107,96,383,21,80,2,6,1,3,0,1,0,0,0,469,60,0,0,0,0,0,0,2,0,0,1,7,3,14,3,7,0,5,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34231,46,0,0,,,34277,,,,,,,,,,,,,,,,,,,,,,,34277
"G090","1860","Connecticut","090",,"Connecticut",460147,5516,5433,21863,21365,23304,23250,21681,21042,21491,22986,40884,44671,32207,32097,23459,22785,15560,16420,9830,11484,4750,6017,1175,1859,110,228,3,10,18,6,97,88,367,383,440,474,477,484,474,495,742,790,554,613,436,513,270,315,164,196,88,96,14,29,10,12,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,2,1,0,1,0,0,1,1,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451504,8627,0,16,,,460147,,,,,,,,,,,,,,,,,,,,,,,460147
"G095","1860","Dakota Territory","095",,"Dakota Territory",4837,17,15,130,101,186,142,189,137,100,122,393,196,307,166,166,81,65,19,33,4,3,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,20,207,170,186,145,192,147,101,118,235,196,108,113,88,76,50,53,21,15,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2576,0,0,2261,,,4837,,,,,,,,,,,,,,,,,,,,,,,4837
"G100","1860","Delaware","100",,"Delaware",112216,1361,1301,5458,5358,5835,5716,5665,5215,5192,4986,8343,8124,5580,5369,4162,3952,2548,2528,1246,1405,442,524,97,153,9,18,2,0,0,0,302,312,1193,1136,1397,1406,1422,1309,1167,1155,1641,1740,995,1089,785,759,518,555,290,257,119,143,40,59,19,17,1,3,0,0,12,28,126,114,135,124,158,146,158,149,163,182,46,99,28,48,17,26,12,12,2,8,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90589,19829,1798,0,,,110418,237,114,74,51,34,19,15,10,8,17,8,0,0,0,0,0,0,0,0,0,0,1798,110418
"G110","1860","District Of Columbia","110",,"District of Columbia",75080,1071,989,3424,3328,3523,3539,3082,3209,2729,3506,5491,6417,4586,4541,2984,2695,1545,1544,805,981,280,309,50,90,3,12,1,0,10,19,145,150,511,524,617,704,633,721,565,712,758,1185,565,970,436,598,275,463,122,228,46,108,19,42,7,17,2,5,1,2,36,32,157,128,160,201,211,316,149,301,197,341,110,217,82,178,55,137,30,80,18,30,7,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60763,11131,3185,1,,,71895,654,225,112,72,53,31,24,12,11,20,7,7,0,0,1,0,0,0,0,0,0,3185,71895
"G120","1860","Florida","120",,"Florida",140424,1257,1231,5179,4947,5941,5570,5408,5088,4099,4355,7339,6329,4912,3825,3255,2500,1937,1349,918,641,275,189,46,42,5,5,0,1,556,547,9,7,50,62,81,47,74,57,53,66,67,73,28,40,26,45,25,46,19,22,11,9,6,3,3,0,1,0,1,1,818,883,4304,4255,4519,4274,4272,4145,3444,3497,5688,5413,3644,3483,2324,2238,1235,1145,621,582,222,227,81,70,34,30,15,14,127,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77746,932,61745,1,,,78679,863,568,437,365,285,270,225,186,169,627,349,333,171,99,116,42,45,2,0,0,0,61745,78679
"G130","1860","Georgia","130",,"Georgia",1057286,9902,9164,39514,37955,44233,42721,41554,39757,33354,34835,52064,50873,33119,31249,22000,20103,13329,12620,7934,7211,2955,2841,770,841,124,151,22,36,192,127,48,47,224,208,201,255,262,213,197,168,273,310,172,192,96,149,64,115,72,89,30,45,19,25,6,9,5,5,0,1,6881,7137,32803,33235,34436,34797,32779,31547,25939,26708,40703,41199,24404,26216,15267,15893,8268,8439,4997,5069,1794,1758,578,664,165,166,111,117,68,60,0,1,3,2,6,3,3,5,3,2,1,3,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,591550,3500,462198,38,,,595088,6713,4355,3482,2984,2543,2213,1839,1647,1415,4707,2823,2910,1400,739,729,373,181,23,7,1,0,462198,595088
