GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,AJR001
"G010","1870","Alabama","010",,"Alabama",996992
"G045","1870","Arizona Territory","045",,"Arizona Territory",9658
"G050","1870","Arkansas","050",,"Arkansas",484471
"G060","1870","California","060",,"California",560247
"G085","1870","Colorado Territory","085",,"Colorado Territory",39864
"G090","1870","Connecticut","090",,"Connecticut",537454
"G095","1870","Dakota Territory","095",,"Dakota Territory",14181
"G100","1870","Delaware","100",,"Delaware",125015
"G110","1870","District Of Columbia","110",,"District of Columbia",131700
"G120","1870","Florida","120",,"Florida",187748
"G130","1870","Georgia","130",,"Georgia",1184109
"G165","1870","Idaho Territory","165",,"Idaho Territory",14999
"G170","1870","Illinois","170",,"Illinois",2539891
"G180","1870","Indiana","180",,"Indiana",1680637
"G190","1870","Iowa","190",,"Iowa",1194020
"G200","1870","Kansas","200",,"Kansas",364399
"G210","1870","Kentucky","210",,"Kentucky",1321011
"G220","1870","Louisiana","220",,"Louisianna",726915
"G230","1870","Maine","230",,"Maine",626915
"G240","1870","Maryland","240",,"Maryland",780894
"G250","1870","Massachusetts","250",,"Massachusetts",1457351
"G260","1870","Michigan","260",,"Michigan",1184059
"G270","1870","Minnesota","270",,"Minnesota",439706
"G280","1870","Mississippi","280",,"Mississippi",827922
"G290","1870","Missouri","290",,"Missouri",1721295
"G305","1870","Montana Territory","305",,"Montana Territory",20595
"G310","1870","Nebraska","310",,"Nebraska",122993
"G320","1870","Nevada","320",,"Nevada",42491
"G330","1870","New Hampshire","330",,"New Hampshire",318300
"G340","1870","New Jersey","340",,"New Jersey",906096
"G355","1870","New Mexico Territory","355",,"New Mexico Territory",91874
"G360","1870","New York","360",,"New York",4382759
"G370","1870","North Carolina","370",,"North Carolina",1071361
"G390","1870","Ohio","390",,"Ohio",2665260
"G410","1870","Oregon","410",,"Oregon",90923
"G420","1870","Pennsylvania","420",,"Pennsylvania",3521951
"G440","1870","Rhode Island","440",,"Rhode Island",217353
"G450","1870","South Carolina","450",,"South Carolina",705606
"G470","1870","Tennessee","470",,"Tennessee",1258520
"G480","1870","Texas","480",,"Texas",818579
"G495","1870","Utah Territory","495",,"Utah Territory",86786
"G500","1870","Vermont","500",,"Vermont",330551
"G510","1870","Virginia","510",,"Virginia",1225163
"G535","1870","Washington Territory","535",,"Washington Territory",23955
"G540","1870","West Virginia","540",,"West Virginia",442014
"G550","1870","Wisconsin","550",,"Wisconsin",1054670
"G565","1870","Wyoming Territory","565",,"Wyoming Territory",9118
