GISJOIN,YEAR,STATE,STATEA,AREANAME,AN9001,AN9002,AN9003,AN9004,AN9005,AN9006,AN9007,AN9008,AN9009,AN9010,AN9011,AN9012,AN9013,AN9014,AN9015,AN9016,AN9017,AN9018,AN9019,AN9020,AN9021,AN9022,AN9023,AN9024,AN9025,AN9026,AN9027,AN9028,AN9029,AN9030,AN9031,AN9032,AN9033,AN9034,AN9035,AN9036,AN9037,AN9038,AN9039,AN9040,AN9041,AN9042,AN9043,AN9044,AN9045,AN9046,AN9047,AN9048,AN9049,AN9050,AN9051,AN9052,AN9053,AN9054,AN9055,AN9056,AN9057,AN9058,AN9059,AN9060,AN9061,AN9062,AN9063,AN9064,AN9065,AN9066,AN9067,AN9068,AN9069,AN9070,AN9071,AN9072,AN9073,AN9074,AN9075,AN9076,AN9077,AN9078,AN9079,AN9080,AN9081,AN9082,AN9083,AN9084,AN9085,AN9086,AN9087,AN9088,AN9089,AN9090,AN9091,AN9092,AN9093,AN9094,AN9095,AN9096,AN9097,AN9098,AN9099,AN9100,AN9101,AN9102,AN9103,AN9104,AN9105,AN9106,AN9107,AN9108,AN9109,AN9110,AN9111,AN9112,AN9113,AN9114,AN9115,AN9116,AN9117,AN9118,AN9119,AN9120,AN9121,AN9122,AN9123,AN9124,AN9125,AN9126,AN9127,AN9128,AN9129,AN9130,AN9131,AN9132,AN9133,AN9134,AN9135,AN9136,AN9137,AN9138,AN9139,AN9140,AN9141,AN9142,AN9143,AN9144,AN9145,AN9146,AN9147,AN9148,AN9149,AN9150,AN9151,AN9152,AN9153,AN9154,AN9155,AN9156,AN9157,AN9158,AN9159,AN9160,AN9161,AN9162,AN9163,AN9164,AN9165,AN9166,AN9167,AN9168,AN9169,AN9170,AN9171,AN9172,AN9173,AN9174,AN9175,AN9176,AN9177,AN9178,AN9179,AN9180,AN9181,AN9182,AN9183,AN9184,AN9185,AN9186,AN9187,AN9188,AN9189,AN9190,AN9191,AN9192,AN9193,AN9194,AN9195,AN9196,AN9197,AN9198,AN9199,AN9200,AN9201,AN9202,AN9203,AN9204,AN9205,AN9206,AN9207,AN9208,AN9209,AN9210,AN9211,AN9212,AN9213,AN9214,AN9215,AN9216,AN9217,AN9218,AN9219,AN9220,AN9221,AN9222,AN9223,AN9224,AN9225,AN9226,AN9227,AN9228,AN9229,AN9230,AN9231,AN9232,AN9233,AN9234,AN9235,AN9236,AN9237,AN9238,AN9239,AN9240,AN9241,AN9242,AN9243,AN9244,AN9245,AN9246,AN9247,AN9248,AN9249,AN9250,AN9251,AN9252,AN9253,AN9254,AN9255,AN9256,AN9257,AN9258,AN9259,AN9260,AN9261,AN9262,AN9263,AN9264,AN9265,AN9266,AN9267,AN9268,AN9269,AN9270,AN9271,AN9272,AN9273,AN9274,AN9275,AN9276,AN9277,AN9278,AN9279,AN9280,AN9281,AN9282,AN9283,AN9284,AN9285,AN9286,AN9287,AN9288,AN9289,AN9290,AN9291,AN9292,AN9293,AN9294,AN9295,AN9296,AN9297,AN9298,AN9299,AN9300,AN9301,AN9302,AN9303,AN9304,AN9305,AN9306,AN9307,AN9308,AN9309,AN9310,AN9311,AN9312,AN9313,AN9314,AN9315,AN9316,AN9317,AN9318,AN9319,AN9320,AN9321,AN9322,AN9323,AN9324,AN9325,AN9326,AN9327,AN9328,AN9329,AN9330,AN9331,AN9332,AN9333,AN9334,AN9335,AN9336,AN9337,AN9338,AN9339,AN9340,AN9341,AN9342,AN9343,AN9344,AN9345,AN9346,AN9347,AN9348,AN9349,AN9350,AN9351,AN9352,AN9353,AN9354,AN9355,AN9356,AN9357,AN9358,AN9359,AN9360,AN9361,AN9362,AN9363,AN9364
"G010","1870","Alabama","010","Alabama",369635,481,15,336,35,1956,62513,358,271,37,15,1632,1107,177,471,351,86,19,5717,305,2,0,115,228,1514,14256,656,1,695,39,26909,15588,418,125,5412,54,0,0,1,0,69,2,1,0,1,3,0,0,5,107,7,3,0,5,99,10,29,181,0,0,17,80,10,587,2479,0,5451,11,0,14,24,6,118,0,0,0,8,21,0,38,16,36,1,3,96,105,168,1,33,3,6,374418,169,0,5,16,808,30514,11,7,1,0,948,646,8,1738,19,1,0,4431,211,0,0,4,4,25,16034,26,0,32,0,16062,4209,222,3,24223,1,0,0,0,0,158,0,0,0,0,0,0,0,0,260,237,0,0,0,0,0,0,2,0,1,5,0,15,7,3,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,1,2,0,0,0,14,1,0,93,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G045","1870","Arizona Territory","045","Arizona Territory",27,29,152,30,10,3,21,115,69,41,7,107,35,56,51,116,31,1,16,121,3,0,32,42,480,21,235,4,273,16,16,62,113,26,91,18,0,1221,3,0,16,0,0,0,93,0,0,0,0,0,0,4,1,4,24,5,2,142,0,1,0,19,0,69,379,0,686,1,0,11,6,0,12,0,0,0,4339,7,0,11,0,5,8,5,4,7,23,0,3,0,0,1,3,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,3,1,0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G050","1870","Arkansas","050","Arkansas",20883,170398,73,94,41,148,18680,5833,2931,652,442,10392,2851,140,405,217,209,33,15058,15082,25,1,47,150,1382,13252,2092,1,1110,71,8770,54999,5136,142,4983,157,0,0,9,0,32,5,182,3,5,6,0,0,1,107,6,0,0,3,41,9,21,331,1,0,8,55,0,236,1562,0,2162,1,0,71,2,2,30,0,5,2,11,19,0,31,1,24,0,3,3,134,104,0,2,5,0,7434,62463,0,0,2,188,6552,44,23,4,16,3277,2058,2,653,9,3,2,7028,1756,2,0,0,2,18,5228,107,0,37,2,5035,11562,1481,2,6868,2,0,0,0,0,49,1,192,0,0,0,0,0,1,23,17,0,0,0,0,0,0,11,0,0,1,0,3,1,1,0,0,0,0,0,0,1,0,0,0,0,3,0,1,1,0,0,0,0,0,1,0,0,2,0,0,1,21,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,2,4,2,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G060","1870","California","060","California",1221,2330,162093,2934,356,119,960,10666,5180,5361,275,6434,1887,11244,2271,15213,3017,461,921,15759,235,1083,2719,2555,33526,1535,12705,2452,11041,1409,784,4575,1866,3493,4847,3086,23,89,60,7,365,80,17,65,175,841,204,21,3,636,36,55,940,1593,1078,291,90,10602,112,36,40,1837,56,8063,29699,2,78647,97,1,452,102,55,4660,1,11,5,8978,1000,92,804,2495,540,251,1883,402,1944,2927,17,175,140,16,36,63,1074,43,52,15,61,23,9,6,4,171,92,17,325,121,15,0,73,291,2,1,1,43,239,95,30,7,166,8,67,111,20,7,446,0,0,1,0,0,93,0,1,0,0,4,1,0,0,1,12,1,3,0,0,0,0,51,12,0,5,0,0,5,2,0,14,0,0,0,0,7,0,0,0,0,42,0,1,0,12,0,27,57,2,0,0,0,174,2,8,1,3,6251,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,1,0,0,22,1,1,0,0,1,0,0,0,5,3,0,0,0,4,1,0,0,5,2,0,0,585,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319,0,0,0,1,0,1,16,1,0,0,0,1,0,0,0,0,486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48790,0,0,0,0,0,0,0,0,0,0,0,1,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G085","1870","Colorado Territory","085","Colorado Territory",43,79,52,210,25,6,246,1805,808,1308,263,656,28,362,187,618,528,77,32,1595,184,8,139,177,2771,188,2045,5,1552,86,27,256,129,370,467,633,0,0,6277,2,16,2,0,12,8229,65,0,43,0,24,0,1,2,5,51,11,15,752,0,0,0,77,0,209,1456,0,3397,0,0,17,2,2,16,0,0,0,126,40,0,49,0,10,1,10,5,180,140,0,4,8,0,15,11,0,0,2,2,12,7,1,2,6,66,6,0,12,3,0,0,9,109,0,0,0,0,7,12,12,0,0,0,5,31,8,0,53,1,0,0,45,0,4,0,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2,0,1,1,0,143,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G090","1870","Connecticut","090","Connecticut",92,5,121,344254,92,58,214,521,151,120,29,110,120,1980,377,17592,303,66,36,99,6,1,1681,2515,28728,145,920,7,2109,7805,159,64,46,2631,459,233,0,0,5,1,103,0,1,3,6,0,3,0,1,43,8,48,173,17,154,36,95,10840,3,9,41,116,29,820,12443,0,87148,4,0,99,30,0,117,0,0,0,5,72,6,83,48,34,25,37,26,323,492,4,115,33,1,12,0,1,6091,55,20,60,3,1,2,0,23,47,8,324,277,2,0,8,5,0,0,6,179,858,295,8,0,194,82,66,21,1,15,754,1,0,0,0,0,113,0,0,0,0,0,0,0,0,33,2,0,21,0,0,0,0,21,0,0,3,0,4,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,1,0,0,0,32,2,0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,8,0,0,0,1,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G095","1870","Dakota Territory","095","Dakota Territory",5,5,8,67,17,5,13,633,255,1038,23,116,12,158,85,143,171,168,9,141,35,0,73,76,1270,35,633,1,667,38,6,46,7,199,154,607,0,0,1,1307,27,0,3,4,7,4,1,1,0,1,0,0,0,1,171,1,153,705,0,0,2,115,2,57,563,0,1218,1,0,8,3,0,4,0,0,0,5,1179,0,3,0,4,0,0,3,380,33,0,1,0,0,4,0,0,0,0,0,3,1,1,2,0,5,1,0,2,0,0,0,0,4,1,0,0,0,3,5,1,0,0,0,3,3,1,1,32,0,0,0,0,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,0,0,0,0,0,0,0,193,0,4,23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G100","1870","Delaware","100","Delaware",7,3,9,183,74540,8,11,44,36,11,0,18,17,81,5291,327,19,4,9,30,0,0,56,1959,1299,29,149,0,8444,58,31,6,2,66,262,17,0,0,0,0,71,0,1,0,0,0,2,0,0,1,4,6,2,1,8,2,1,108,0,0,17,8,0,127,1141,0,7598,2,0,16,3,0,5,0,0,0,0,0,2,4,1,3,0,7,3,9,33,0,5,4,0,0,1,2,2,20214,9,13,2,1,0,0,2,7,0,1855,4,0,0,1,2,0,0,0,80,12,20,3,0,320,1,8,21,2,0,188,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G110","1870","District Of Columbia","110","District of Columbia",49,11,60,492,273,45,136,256,303,113,23,185,115,671,10030,1204,208,64,64,144,14,2,473,793,4466,151,991,13,4027,124,142,137,48,423,6810,116,0,0,2,3,38889,0,4,0,10,3,9,2,0,9,6,2,1,5,26,8,9,255,3,1,9,29,0,231,4918,1,10016,4,0,23,46,5,182,0,1,2,14,5,0,49,9,22,0,12,37,22,175,1,27,15,0,51,6,2,15,19,9,124,8,5,2,0,78,58,3,11720,50,12,0,27,18,0,1,0,21,131,275,51,0,195,12,126,51,13,6,16785,2,0,0,0,0,13448,0,0,0,0,0,0,0,0,1,1,0,2,2,0,0,0,34,0,0,2,0,10,2,2,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G120","1870","Florida","120","Florida",5142,32,3,233,14,52594,17900,73,38,19,11,118,236,258,205,454,33,8,352,47,4,0,91,185,1015,2908,122,0,268,72,7761,370,54,117,576,35,0,0,0,0,45,1,0,0,0,0,0,0,0,1,2,0,35,4,17,8,3,173,7,1,1064,40,0,126,595,0,1309,3,0,7,2,5,56,0,0,0,21,16,1,20,18,7,1,11,54,30,14,0,1005,6,1,2192,39,1,2,5,56958,10158,2,3,0,0,108,132,3,377,10,2,0,260,17,1,0,0,7,35,3809,6,0,44,11,14355,241,15,5,2545,0,0,0,0,0,37,0,1,0,0,0,0,0,0,3,86,0,0,0,0,0,0,1,0,0,91,1,0,0,2,1,2,0,0,0,0,1,0,0,0,0,20,0,0,0,0,0,0,1,2,0,0,0,96,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
