GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,AOB001
"G010","1880","Alabama","010",,"Alabama",1262505
"G025","1880","Alaska Territory","025",,"Alaska Territory",33426
"G045","1880","Arizona Territory","045",,"Arizona Territory",40440
"G050","1880","Arkansas","050",,"Arkansas",802525
"G060","1880","California","060",,"California",864694
"G080","1880","Colorado","080",,"Colorado",194327
"G090","1880","Connecticut","090",,"Connecticut",622700
"G095","1880","Dakota Territory","095",,"Dakota Territory",135177
"G100","1880","Delaware","100",,"Delaware",146608
"G110","1880","District Of Columbia","110",,"District of Columbia",177624
"G120","1880","Florida","120",,"Florida",269493
"G130","1880","Georgia","130",,"Georgia",1542180
"G165","1880","Idaho Territory","165",,"Idaho Territory",32610
"G170","1880","Illinois","170",,"Illinois",3077871
"G180","1880","Indiana","180",,"Indiana",1978301
"G190","1880","Iowa","190",,"Iowa",1624615
"G200","1880","Kansas","200",,"Kansas",996096
"G210","1880","Kentucky","210",,"Kentucky",1648690
"G220","1880","Louisiana","220",,"Louisianna",939946
"G230","1880","Maine","230",,"Maine",648936
"G240","1880","Maryland","240",,"Maryland",934943
"G250","1880","Massachusetts","250",,"Massachusetts",1783085
"G260","1880","Michigan","260",,"Michigan",1636937
"G270","1880","Minnesota","270",,"Minnesota",780773
"G280","1880","Mississippi","280",,"Mississippi",1131597
"G290","1880","Missouri","290",,"Missouri",2168380
"G305","1880","Montana Territory","305",,"Montana Territory",39159
"G310","1880","Nebraska","310",,"Nebraska",452402
"G320","1880","Nevada","320",,"Nevada",62266
"G330","1880","New Hampshire","330",,"New Hampshire",346991
"G340","1880","New Jersey","340",,"New Jersey",1131116
"G355","1880","New Mexico Territory","355",,"New Mexico Territory",119565
"G360","1880","New York","360",,"New York",5082871
"G370","1880","North Carolina","370",,"North Carolina",1399750
"G390","1880","Ohio","390",,"Ohio",3198062
"G410","1880","Oregon","410",,"Oregon",174768
"G420","1880","Pennsylvania","420",,"Pennsylvania",4282891
"G440","1880","Rhode Island","440",,"Rhode Island",276531
"G450","1880","South Carolina","450",,"South Carolina",995577
"G470","1880","Tennessee","470",,"Tennessee",1542359
"G480","1880","Texas","480",,"Texas",1591749
"G495","1880","Utah Territory","495",,"Utah Territory",143963
"G500","1880","Vermont","500",,"Vermont",332286
"G510","1880","Virginia","510",,"Virginia",1512565
"G535","1880","Washington Territory","535",,"Washington Territory",75116
"G540","1880","West Virginia","540",,"West Virginia",618457
"G550","1880","Wisconsin","550",,"Wisconsin",1315497
"G565","1880","Wyoming Territory","565",,"Wyoming Territory",20789
