GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,B48001,B48002,B49001,B49002,B49003,B49004,B49005,B49006,B49007,B49008,B49009,B49010,B49011,B49012,B49013,B49014,B49015,B49016,B49017,B49018,B49019,B49020,B49021,B49022,B49023,B49024,B49025,B49026,B49027,B49028,B49029,B49030,B49031,B49032,B49033,B49034,B49035,B49036,B49037,B49038,B49039,B49040,B49041,B49042,B49043,B49044,B49045,B49046,B49047,B49048,B49049,B49050,B49051,B49052,B49053,B49054,B49055,B49056,B49057,B49058,B49059,B49060,B49061,B49062,B49063,B49064,B49065,B49066,B49067,B49068,B49069,B49070,B49071,B49072
"G010","1960","Alabama","010",,"Alabama",2283609,983131,126346,119571,117525,94148,72012,70867,75168,76872,72068,69002,60654,49127,37344,32063,24012,15783,7728,3771,120463,114627,113551,93665,76348,74278,79572,80719,74641,70709,62811,52574,42397,38125,29048,19814,10330,5876,71585,66677,59923,45561,27643,22123,21370,22326,21688,23205,20469,18164,13226,13381,9551,6206,2697,1853,72009,66983,59292,46107,31631,27611,28639,28250,26994,27436,23475,20496,15651,16452,11158,7247,3348,2704
"G020","1960","Alaska","020",,"Alaska",174546,51621,12636,9691,7095,8171,13394,9593,9006,8326,7024,5276,3865,2839,1791,1036,693,423,200,135,11966,9305,6716,4093,5763,6801,6597,6658,5022,3726,2664,1778,926,622,358,209,97,51,4861,3916,2917,2653,2603,2258,1884,1534,1135,1113,826,675,384,324,265,163,61,45,4730,3677,2793,2282,1763,1942,1591,1255,1027,887,600,429,324,255,192,129,72,56
"G040","1960","Arizona","040",,"Arizona",1169517,132644,72847,67622,60215,44402,39120,38131,38827,41624,37996,34558,28943,23698,18572,17611,12290,6779,3112,1525,70035,65249,58131,44962,37020,36495,39679,42481,38061,34430,28593,23651,20115,17403,12207,7457,3614,2062,11938,9662,7711,5582,4985,4307,3812,3392,3044,2819,2450,2244,1569,1475,899,606,283,278,12146,9736,7504,5730,4988,4561,4066,3554,2877,2695,2085,1798,1224,1081,668,433,215,227
"G050","1960","Arkansas","050",,"Arkansas",1395703,390569,69277,68384,72073,58938,39348,36374,38883,41809,42182,43218,40257,35583,28963,28112,21939,14363,7179,3880,66822,65871,68708,57456,40685,38997,42313,45089,44539,44064,41807,37598,31044,29161,22181,15608,8245,4753,29053,27112,23393,17469,9282,7258,7052,7339,7986,8808,8662,8515,6844,7515,5439,3671,1671,1156,29291,26746,22929,17292,10537,9018,9687,9791,10015,10640,9825,9544,7530,7931,5243,3440,1606,1279
"G060","1960","California","060",,"California",14455230,1261974,799742,738435,661876,526473,457805,466142,505766,545647,494448,450108,380333,325717,263145,222594,171005,106361,50740,26757,768353,712737,640419,488510,435545,450232,505066,557721,496276,451642,384796,334409,294283,266408,210986,140771,76924,47058,89299,75246,57844,41013,45703,49676,49857,51015,41512,37458,31783,26431,17226,11739,8739,5426,2396,1250,88405,73734,57605,40026,44607,50033,53448,50978,40401,32813,24358,20365,14538,11810,7434,4489,1979,1338
"G080","1960","Colorado","080",,"Colorado",1700700,53247,102342,95183,81836,64726,53330,53200,56520,58009,53326,48153,42025,35041,29211,26003,20253,13463,6988,3966,98741,91541,80392,62375,54746,54860,58215,59986,53602,48604,41933,36226,31555,29071,23364,16527,9341,6046,4086,3246,2267,1893,2178,2320,2204,1996,1559,1235,961,775,630,567,451,290,145,89,3939,3234,2251,1732,1943,2298,2236,2008,1529,1173,857,833,726,608,414,317,150,107
"G090","1960","Connecticut","090",,"Connecticut",2423816,111418,132613,120269,108057,81911,60409,68773,81907,89158,88583,80657,67275,56789,48149,41962,31127,18116,8888,5010,128135,114414,103365,81258,65833,72005,84630,93767,92101,81825,69277,60211,54363,49044,37643,24007,13491,8794,8911,6562,4920,3423,3904,4719,4660,4389,3250,2714,2003,1759,1255,877,598,322,171,139,8629,6530,4869,3819,4985,4900,4626,4415,3406,2938,2215,1838,1246,954,718,386,224,144
"G100","1960","Delaware","100",,"Delaware",384327,61965,23608,20675,17537,12562,11229,12885,14006,14624,13495,11357,9718,7917,6571,5463,4009,2508,1297,725,22551,19617,16850,13176,11740,12861,14298,14944,13413,11284,9798,8314,7311,6416,5059,3396,1950,1163,4627,3763,2932,2226,2021,1984,2006,2046,1872,1744,1522,1330,904,816,535,352,168,102,4621,3828,2959,2235,2014,2115,2165,2175,1887,1740,1417,1161,912,728,479,307,164,108
"G110","1960","District Of Columbia","110",,"District of Columbia",345263,418693,10751,8129,7920,10583,15066,12995,10978,10156,9686,10784,11731,10993,9942,7713,5193,3045,1613,846,10637,7913,8113,12433,15176,10308,10020,11520,12558,14607,15738,14372,13418,11216,8339,5471,3187,2113,28503,23545,17843,12260,13175,15143,15593,15792,13474,12502,10194,7973,5217,3810,2405,1492,682,444,28204,23763,18351,14106,16352,16752,17662,17891,15506,13619,10777,8220,5869,4472,3236,2101,1047,718
"G120","1960","Florida","120",,"Florida",4063881,887679,205850,192454,176976,136889,115855,116950,130485,137029,128660,118786,106324,96346,89667,100233,76618,43241,18929,9301,197602,184853,170748,134188,116024,119972,137516,146267,133762,126543,116876,110684,109817,104678,75498,44432,21660,12168,68643,56064,43411,32685,31711,30280,28513,26853,24495,23635,19940,17145,10684,9218,6060,4063,1591,1199,69006,57159,44048,33725,32587,31036,31216,28976,26621,24656,20019,16911,11289,10350,6634,4032,1804,1420
"G130","1960","Georgia","130",,"Georgia",2817223,1125893,157637,147414,141937,116895,100848,93582,95878,97182,92020,84247,72136,57114,43637,36467,26068,16463,8102,4108,151115,141446,136983,112313,97434,94729,98474,101559,92690,85459,74930,63050,51228,45730,34742,23676,12787,7143,81144,75522,66380,51111,34665,28948,27584,27451,27293,27281,22813,18742,13349,13075,8869,5706,2382,1863,82005,75816,66350,51235,38264,34511,34415,33871,32978,32410,26325,22601,17454,17872,11968,7469,3499,2672
