GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,AV0001,AV0002,AV0003,AV0004,AV0005,AV0006,AV0007,AV0008
"G010","1890","Alabama","010",,"Alabama",399410,397011,11483,11210,9179,5425,337384,341915
"G025","1890","Alaska Territory","025",,"Alaska Territory",,,,,,,,
"G045","1890","Arizona Territory","045",,"Arizona Territory",14860,9230,7778,6249,10767,6696,3166,874
"G050","1890","Arkansas","050",,"Arkansas",404612,376338,12798,10910,9100,4994,159245,150182
"G060","1890","California","060",,"California",270887,226842,163936,156454,182569,110984,82667,13791
"G080","1890","Colorado","080",,"Colorado",141686,100462,44074,35740,54484,28022,5003,2727
"G090","1890","Connecticut","090",,"Connecticut",174985,182250,95400,97648,92831,90324,6322,6498
"G100","1890","Delaware","100",,"Delaware",55305,54050,8773,8842,7000,6096,14495,13932
"G110","1890","District Of Columbia","110",,"District of Columbia",52354,54955,13719,15150,9680,8837,33831,41866
"G120","1890","Florida","120",,"Florida",98846,92152,8019,7754,10901,7277,84181,82292
"G130","1890","Georgia","130",,"Georgia",472500,474282,9785,9898,7422,4470,430218,428778
"G160","1890","Idaho","160",,"Idaho",26544,18856,11809,9345,10809,4655,2128,239
"G170","1890","Illinois","170",,"Illinois",962379,920314,523899,520905,455098,385877,30932,26947
"G178","1890","Indian Territory","178",,"Indian Territory",,,,,,,,
"G180","1890","Indiana","180",,"Indiana",861273,836725,152517,150218,80775,65228,23782,21886
"G190","1890","Iowa","190",,"Iowa",547996,515971,260273,252914,180376,143556,5808,5002
"G200","1890","Kansas","200",,"Kansas",519129,473197,122341,114256,84842,62788,25800,24743
"G210","1890","Kentucky","210",,"Kentucky",715523,691395,61526,62778,32091,27149,133618,134555
"G220","1890","Louisiana","220",,"Louisianna",207849,205241,46987,49478,26688,22152,277826,282366
"G230","1890","Maine","230",,"Maine",253564,253139,37987,35878,40053,38642,986,837
"G240","1890","Maryland","240",,"Maryland",285129,291156,77085,79336,47591,46196,105886,110011
"G250","1890","Massachusetts","250",,"Massachusetts",466336,489094,297723,308717,311552,341951,12098,11472
"G260","1890","Michigan","260",,"Michigan",469975,447718,310831,302759,299911,241690,11063,9942
"G270","1890","Minnesota","270",,"Minnesota",164987,145964,263167,254984,263996,203061,3171,2496
"G280","1890","Mississippi","280",,"Mississippi",262566,257788,8575,8198,5074,2650,373472,371277
"G290","1890","Missouri","290",,"Missouri",957817,898660,219976,217723,131632,102650,75813,74913
"G300","1890","Montana","300",,"Montana",35526,20456,18348,12611,30024,10306,3984,904
"G310","1890","Nebraska","310",,"Nebraska",319894,274330,130246,120174,115747,86497,6937,5085
"G320","1890","Nevada","320",,"Nevada",9139,5645,6737,5669,8511,3383,4827,1850
"G330","1890","New Hampshire","330",,"New Hampshire",125631,127998,24792,25223,35748,36448,395,295
"G340","1890","New Jersey","340",,"New Jersey",344252,352466,183550,188328,168937,159048,24080,24272
"G355","1890","New Mexico Territory","355",,"New Mexico Territory",62725,56595,7044,5495,7151,3709,6135,4739
"G360","1890","New York","360",,"New York",1246119,1274688,904977,932476,788873,776819,36924,36977
"G370","1890","North Carolina","370",,"North Carolina",517126,527357,3713,3524,2316,1346,275994,286571
"G380","1890","North Dakota","380",,"North Dakota",20926,16502,33405,29942,46918,34430,341,255
"G390","1890","Ohio","390",,"Ohio",1171574,1162943,391965,399770,246803,211750,45394,42117
"G405","1890","Oklahoma Territory","405",,"Oklahoma Territory",28725,22829,2569,1994,1796,913,1643,1365
"G410","1890","Oregon","410",,"Oregon",112745,91224,26631,23336,31811,16011,10653,1356
"G420","1890","Pennsylvania","420",,"Pennsylvania",1611478,1626610,532713,533867,465663,377926,56477,53280
"G440","1890","Rhode Island","440",,"Rhode Island",67378,70172,46197,48085,50888,55139,3562,4085
"G450","1890","South Carolina","450",,"South Carolina",221517,223678,5297,5373,3591,2552,341932,347209
"G460","1890","South Dakota","460",,"South Dakota",69334,57898,57349,51866,52648,38195,919,599
"G470","1890","Tennessee","470",,"Tennessee",648906,634575,16909,16348,12124,7775,213646,217235
"G480","1890","Texas","480",,"Texas",741079,667801,96175,89411,88782,62687,246517,243071
"G495","1890","Utah Territory","495",,"Utah Territory",37330,31122,44340,40974,27259,24874,1534,472
"G500","1890","Vermont","500",,"Vermont",113660,111585,31402,30747,23716,20308,549,455
"G510","1890","Virginia","510",,"Virginia",487750,489008,13236,11939,12195,5994,311097,324761
"G530","1890","Washington","530",,"Washington",110486,75076,39328,29429,61312,24882,6436,2441
"G540","1890","West Virginia","540",,"West Virginia",340901,329313,20579,20432,10790,8062,18015,14702
"G550","1890","Wisconsin","550",,"Wisconsin",222637,212012,364896,361939,283893,235096,3525,2882
"G560","1890","Wyoming","560",,"Wyoming",19553,10772,8712,5808,9941,4489,1137,293
