GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,ABD001,ABD002
"G010","1820","Alabama","010",,"Alabama",85451,42450
"G055","1820","Arkansas Territory","055",,"Arkansas Territory",12579,1676
"G090","1820","Connecticut","090",,"Connecticut",267181,7941
"G100","1820","Delaware","100",,"Delaware",55282,17467
"G110","1820","District Of Columbia","110",,"District of Columbia",22614,10425
"G130","1820","Georgia","130",,"Georgia",189566,151419
"G170","1820","Illinois","170",,"Illinois",53788,1374
"G180","1820","Indiana","180",,"Indiana",145758,1420
"G210","1820","Kentucky","210",,"Kentucky",434644,129491
"G220","1820","Louisiana","220",,"Louisianna",73383,79540
"G230","1820","Maine","230",,"Maine",297340,929
"G240","1820","Maryland","240",,"Maryland",260222,147128
"G250","1820","Massachusetts","250",,"Massachusetts",516419,6740
"G265","1820","Michigan Territory","265",,"Michigan Territory",8591,174
"G280","1820","Mississippi","280",,"Mississippi",42176,33272
"G295","1820","Missouri Territory","295",,"Missouri Territory",55988,10569
"G330","1820","New Hampshire","330",,"New Hampshire",243236,786
"G340","1820","New Jersey","340",,"New Jersey",257409,20017
"G360","1820","New York","360",,"New York",1332724,39367
"G370","1820","North Carolina","370",,"North Carolina",419200,219629
"G390","1820","Ohio","390",,"Ohio",576572,4723
"G420","1820","Pennsylvania","420",,"Pennsylvania",1017094,30413
"G440","1820","Rhode Island","440",,"Rhode Island",79413,3602
"G450","1820","South Carolina","450",,"South Carolina",237440,265301
"G470","1820","Tennessee","470",,"Tennessee",339927,82834
"G500","1820","Vermont","500",,"Vermont",234846,903
"G510","1820","Virginia","510",,"Virginia",603074,462042
