President,Year,Chamber,NumVotes,PctVotes
Eisenhower,1953,Both,.,89.2
Eisenhower,1954,Both,.,78.3
Eisenhower,1955,Both,.,75.3
Eisenhower,1956,Both,.,69.7
Eisenhower,1957,Both,.,68.4
Eisenhower,1958,Both,.,75.7
Eisenhower,1959,Both,.,52
Eisenhower,1960,Both,.,65.1
Eisenhower,Average,Both,.,71.7
Eisenhower,1953,House,34,91.2
Eisenhower,1954,House,n.a.,n.a.
Eisenhower,1955,House,41,63.4
Eisenhower,1956,House,34,73.5
Eisenhower,1957,House,60,58.3
Eisenhower,1958,House,50,74
Eisenhower,1959,House,54,55.5
Eisenhower,1960,House,43,65
Eisenhower,1953,Senate,49,87.8
Eisenhower,1954,Senate,n.a.,n.a.
Eisenhower,1955,Senate,52,84.6
Eisenhower,1956,Senate,65,67.7
Eisenhower,1957,Senate,57,78.9
Eisenhower,1958,Senate,98,76.5
Eisenhower,1959,Senate,121,50.4
Eisenhower,1960,Senate,86,65.1
Kennedy,1961,Both,.,81.4
Kennedy,1962,Both,.,85.4
Kennedy,1963,Both,.,87.1
Kennedy,Average,Both,.,84.6
Kennedy,1961,House,65,83.1
Kennedy,1962,House,60,85
Kennedy,1963,House,71,83.1
Kennedy,1961,Senate,124,80.6
Kennedy,1962,Senate,125,85.6
Kennedy,1963,Senate,115,89.6
Johnson,1964,Both,.,87.9
Johnson,1965,Both,.,93.1
Johnson,1966,Both,.,78.9
Johnson,1967,Both,.,78.8
Johnson,1968,Both,.,74.5
Johnson,Average,Both,.,82.6
Johnson,1964,House,52,88.5
Johnson,1965,House,112,93.8
Johnson,1966,House,103,91.3
Johnson,1967,House,127,75.6
Johnson,1968,House,103,83.5
Johnson,1964,Senate,97,87.6
Johnson,1965,Senate,162,92.6
Johnson,1966,Senate,125,68.8
Johnson,1967,Senate,165,81.2
Johnson,1968,Senate,164,68.9
Nixon,1969,Both,.,73.9
Nixon,1970,Both,.,76.9
Nixon,1971,Both,.,74.8
Nixon,1972,Both,.,66.3
Nixon,1973,Both,.,50.6
Nixon,1974,Both,.,59.6
Nixon,Average,Both,.,67
Nixon,1969,House,47,72.3
Nixon,1970,House,65,84.6
Nixon,1971,House,57,82.5
Nixon,1972,House,37,81.1
Nixon,1973,House,125,48
Nixon,1974,House,53,67.9
Nixon,1969,Senate,72,76.4
Nixon,1970,Senate,91,71.4
Nixon,1971,Senate,82,69.5
Nixon,1972,Senate,46,54.3
Nixon,1973,Senate,185,52.4
Nixon,1974,Senate,83,54.2
Ford,1974,Both,.,58.2
Ford,1975,Both,.,61
Ford,1976,Both,.,53.8
Ford,Average,Both,.,57.7
Ford,1974,House,54,59.3
Ford,1975,House,89,50.6
Ford,1976,House,51,43.1
Ford,1974,Senate,68,57.4
Ford,1975,Senate,93,71
