"COU","Country","TAX","Income Tax","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","PERS_ITAX","Personal income tax","2000","2000",,,"0","Units",,,48.5,,
"AUS","Australia","PERS_ITAX","Personal income tax","2001","2001",,,"0","Units",,,48.5,,
"AUS","Australia","PERS_ITAX","Personal income tax","2002","2002",,,"0","Units",,,48.5,,
"AUS","Australia","PERS_ITAX","Personal income tax","2003","2003",,,"0","Units",,,48.5,,
"AUS","Australia","PERS_ITAX","Personal income tax","2004","2004",,,"0","Units",,,48.5,,
"AUS","Australia","PERS_ITAX","Personal income tax","2005","2005",,,"0","Units",,,48.5,,
"AUS","Australia","PERS_ITAX","Personal income tax","2006","2006",,,"0","Units",,,48.5,,
"AUS","Australia","PERS_ITAX","Personal income tax","2007","2007",,,"0","Units",,,46.5,,
"AUS","Australia","PERS_ITAX","Personal income tax","2008","2008",,,"0","Units",,,46.5,,
"AUS","Australia","PERS_ITAX","Personal income tax","2009","2009",,,"0","Units",,,46.5,,
"AUS","Australia","PERS_ITAX","Personal income tax","2010","2010",,,"0","Units",,,46.5,,
"AUS","Australia","PERS_ITAX","Personal income tax","2011","2011",,,"0","Units",,,46.5,,
"AUS","Australia","PERS_ITAX","Personal income tax","2012","2012",,,"0","Units",,,47.5,,
"AUS","Australia","PERS_ITAX","Personal income tax","2013","2013",,,"0","Units",,,46.5,,
"AUS","Australia","PERS_ITAX","Personal income tax","2014","2014",,,"0","Units",,,46.5,,
"AUS","Australia","PERS_ITAX","Personal income tax","2015","2015",,,"0","Units",,,49,,
"AUS","Australia","PERS_ITAX","Personal income tax","2016","2016",,,"0","Units",,,49,,
"AUS","Australia","PERS_ITAX","Personal income tax","2017","2017",,,"0","Units",,,49,,
"AUS","Australia","PERS_ITAX","Personal income tax","2018","2018",,,"0","Units",,,47,,
"AUT","Austria","PERS_ITAX","Personal income tax","2000","2000",,,"0","Units",,,42.614286,,
"AUT","Austria","PERS_ITAX","Personal income tax","2001","2001",,,"0","Units",,,42.714286,,
"AUT","Austria","PERS_ITAX","Personal income tax","2002","2002",,,"0","Units",,,42.887488,,
"AUT","Austria","PERS_ITAX","Personal income tax","2003","2003",,,"0","Units",,,42.887488,,
"AUT","Austria","PERS_ITAX","Personal income tax","2004","2004",,,"0","Units",,,43.891626,,
"AUT","Austria","PERS_ITAX","Personal income tax","2005","2005",,,"0","Units",,,43.714286,,
"AUT","Austria","PERS_ITAX","Personal income tax","2006","2006",,,"0","Units",,,43.714286,,
"AUT","Austria","PERS_ITAX","Personal income tax","2007","2007",,,"0","Units",,,43.714286,,
"AUT","Austria","PERS_ITAX","Personal income tax","2008","2008",,,"0","Units",,,43.714286,,
"AUT","Austria","PERS_ITAX","Personal income tax","2009","2009",,,"0","Units",,,43.714286,,
"AUT","Austria","PERS_ITAX","Personal income tax","2010","2010",,,"0","Units",,,43.714286,,
"AUT","Austria","PERS_ITAX","Personal income tax","2011","2011",,,"0","Units",,,43.714286,,
"AUT","Austria","PERS_ITAX","Personal income tax","2012","2012",,,"0","Units",,,43.714286,,
"AUT","Austria","PERS_ITAX","Personal income tax","2013","2013",,,"0","Units",,,50,,
"AUT","Austria","PERS_ITAX","Personal income tax","2014","2014",,,"0","Units",,,50,,
"AUT","Austria","PERS_ITAX","Personal income tax","2015","2015",,,"0","Units",,,50,,
"AUT","Austria","PERS_ITAX","Personal income tax","2016","2016",,,"0","Units",,,55,,
"AUT","Austria","PERS_ITAX","Personal income tax","2017","2017",,,"0","Units",,,55,,
"AUT","Austria","PERS_ITAX","Personal income tax","2018","2018",,,"0","Units",,,55,,
