"race_unique","office_type_fin","place","area","term","cntyname","date","office","recode_offname","total_votes","n_to_vote_for","n_candidates","n_incumb","n_incumb_per_office","n_candidates_per_office","n_open_seats","avg_winner","sd_winner","median_winner","lowest_winner","top_loser","loser_margin","loser_margin_pct","loser_difference_median_winner","avg_votes_per_office","entity_name","year","office_pretty"
"1996 199600001","Supervisor","ALAMEDA","1","Full","ALAMEDA",1996-03-26,"COUNTY SUPERVISOR","COUNTY SUPERVISOR",52856,1,5,0,0,5,1,13167,NA,13167,13167,4117,9050,0.171219918268503,0.687324371534898,52856,"Alameda",1996,"Supervisor"
"1996 199600002","Supervisor","ALAMEDA","4","Full","ALAMEDA",1996-03-26,"COUNTY SUPERVISOR","COUNTY SUPERVISOR",49534,1,2,1,1,2,0,30516,NA,30516,30516,19018,11498,0.232123389994751,0.376785948354961,49534,"Alameda",1996,"Supervisor"
"1996 199600003","Supervisor","ALAMEDA","5","Full","ALAMEDA",1996-03-26,"COUNTY SUPERVISOR","COUNTY SUPERVISOR",54838,1,2,1,1,2,0,36368,NA,36368,36368,18470,17898,0.326379517852584,0.492135943686758,54838,"Alameda",1996,"Supervisor"
"1996 199600004","Judge","ALAMEDA","1","Full","ALAMEDA",1996-03-26,"MUNICIPAL JUDGE","OTHER COUNTY OFFICE",28968,1,2,1,1,2,0,18187,NA,18187,18187,10781,7406,0.255661419497376,0.407213944025953,28968,"Alameda",1996,"Judge"
"1996 199600005","Judge","ALAMEDA","2","Full","ALAMEDA",1996-03-26,"SUPERIOR JUDGE","OTHER COUNTY OFFICE",207144,1,2,1,1,2,0,144452,NA,144452,144452,62692,81760,0.394701270613679,0.566001163016088,207144,"Alameda",1996,"Judge"
"1996 199600006","Judge","ALAMEDA","3","Full","ALAMEDA",1996-03-26,"SUPERIOR JUDGE","OTHER COUNTY OFFICE",208785,1,2,0,0,2,1,122634,NA,122634,122634,86151,36483,0.174739564623895,0.297494985077548,208785,"Alameda",1996,"Judge"
"1996 199600007","Supervisor","ALAMEDA","1","Full","ALAMEDA",1996-11-05,"COUNTY SUPERVISOR","COUNTY SUPERVISOR",91810,1,2,0,0,2,1,52872,NA,52872,52872,38938,13934,0.151769959699379,0.263542139506733,91810,"Alameda",1996,"Supervisor"
"1996 199600008","Supervisor","ALPINE","2","Full","ALPINE",1996-03-26,"COUNTY SUPERVISOR","COUNTY SUPERVISOR",113,1,2,1,1,2,0,61,NA,61,61,52,9,0.079646017699115,0.147540983606557,113,"Alpine",1996,"Supervisor"
"1996 199600009","Supervisor","ALPINE","3","Full","ALPINE",1996-03-26,"COUNTY SUPERVISOR","COUNTY SUPERVISOR",62,1,3,0,0,3,1,15,NA,15,15,NA,NA,NA,NA,62,"Alpine",1996,"Supervisor"
"1996 199600010","Supervisor","ALPINE","5","Full","ALPINE",1996-03-26,"COUNTY SUPERVISOR","COUNTY SUPERVISOR",124,1,3,1,1,3,0,98,NA,98,98,22,76,0.612903225806452,0.775510204081633,124,"Alpine",1996,"Supervisor"
"1996 199600011","Supervisor","ALPINE","4","Full","ALPINE",1996-03-26,"COUNTY SUPERVISOR (R)","COUNTY SUPERVISOR",145,1,2,0,0,2,1,80,NA,80,80,65,15,0.103448275862069,0.1875,145,"Alpine",1996,"Supervisor"
"1996 199600012","Supervisor","ALPINE","3","Full","ALPINE",1996-11-05,"COUNTY SUPERVISOR","COUNTY SUPERVISOR",59,1,2,1,1,2,0,34,NA,34,34,25,9,0.152542372881356,0.264705882352941,59,"Alpine",1996,"Supervisor"
