"recordid","full_name","last","date","elected_to_office","any_police_support","value_of_support"
201001991,"Linda Armstrong","Armstrong",2010-11-02,FALSE,FALSE,0
201001992,"Daniel Cody","Cody",2010-11-02,FALSE,FALSE,0
201001993,"Bob Holbrook","Holbrook",2010-11-02,TRUE,TRUE,7129.65
201001994,"Terence Later","Later",2010-11-02,FALSE,FALSE,0
201001995,"Jon Mann","Mann",2010-11-02,FALSE,FALSE,0
201001996,"Kevin McKeown","McKeown",2010-11-02,TRUE,TRUE,7129.65
201001997,"Pam O'Connor","O'Connor",2010-11-02,TRUE,TRUE,7129.65
201001998,"Jerry Rubin","Rubin",2010-11-02,FALSE,FALSE,0
201001999,"Ted Winterer","Winterer",2010-11-02,FALSE,FALSE,0
201002000,"Jean Wyner","Wyner",2010-11-02,FALSE,FALSE,0
201002001,"Gleam Davis","Davis",2010-11-02,TRUE,TRUE,7129.65
201002002,"David Ganezer","Ganezer",2010-11-02,FALSE,FALSE,0
201002003,"Susan Harley","Harley",2010-11-02,FALSE,FALSE,0
201002004,"Robert Kronovet","Kronovet",2010-11-02,FALSE,FALSE,0
201002005,"Terry O'Day","O'Day",2010-11-02,TRUE,TRUE,7129.65
201201476,"Ted Winterer","Winterer",2012-11-06,TRUE,TRUE,9823.44
201201477,"Terry O'Day","O'Day",2012-11-06,TRUE,TRUE,9823.44
201201478,"Gleam Davis","Davis",2012-11-06,TRUE,TRUE,9823.44
201201479,"Tony Vazquez","Vazquez",2012-11-06,TRUE,FALSE,0
201201487,"Shari Davis","Davis",2012-11-06,FALSE,TRUE,9823.44
201201488,"Richard McKinnon","McKinnon",2012-11-06,FALSE,FALSE,0
201201489,"John Smith","Smith",2012-11-06,FALSE,FALSE,0
201201490,"Frank Gruber","Gruber",2012-11-06,FALSE,FALSE,0
201201491,"Jonathan Mann","Mann",2012-11-06,FALSE,FALSE,0
201201492,"Bob Seldon","Seldon",2012-11-06,FALSE,FALSE,0
201201493,"Armen Melkonians","Melkonians",2012-11-06,FALSE,FALSE,0
201201494,"Terence Later","Later",2012-11-06,FALSE,FALSE,0
201201495,"Jerry Rubin","Rubin",2012-11-06,FALSE,FALSE,0
201201496,"Roberto Gomez","Gomez",2012-11-06,FALSE,FALSE,0
201201497,"Steve Duron","Duron",2012-11-06,FALSE,FALSE,0
201402007,"Kevin McKeown","McKeown",2014-11-04,TRUE,TRUE,14340.42
201402008,"Sue Himmelrich","Himmelrich",2014-11-04,TRUE,FALSE,0
201402009,"Pam O'Connor","O'Connor",2014-11-04,TRUE,TRUE,18218.43
201402010,"Phil Brock","Brock",2014-11-04,FALSE,FALSE,0
201402011,"Frank Gruber","Gruber",2014-11-04,FALSE,TRUE,18218.43
201402012,"Jennifer Kennedy","Kennedy",2014-11-04,FALSE,FALSE,0
201402013,"Richard McKinnon","McKinnon",2014-11-04,FALSE,FALSE,0
201402014,"Michael Feinstein","Feinstein",2014-11-04,FALSE,FALSE,0
201402015,"Terence Later","Later",2014-11-04,FALSE,FALSE,0
201402016,"Jerry Rubin","Rubin",2014-11-04,FALSE,FALSE,0
201402017,"Jon Mann","Mann",2014-11-04,FALSE,FALSE,0
201402018,"Nick Boles","Boles",2014-11-04,FALSE,FALSE,0
201402019,"Whitney Bain","Bain",2014-11-04,FALSE,FALSE,0
201402020,"Zoe Muntaner","Muntaner",2014-11-04,FALSE,FALSE,0
201601549,"Terry O'Day","O'Day",2016-11-08,TRUE,TRUE,13134.08
201601550,"Tony Vasquez","Vasquez",2016-11-08,TRUE,FALSE,0
201601551,"Ted Winterer","Winterer",2016-11-08,TRUE,TRUE,13134.08
201601552,"Gleam Davis","Davis",2016-11-08,TRUE,TRUE,13134.08
201601553,"Armen Melkonians","Melkonians",2016-11-08,FALSE,FALSE,0
201601554,"Oscar De La Torre","De La Torre",2016-11-08,FALSE,FALSE,0
201601555,"James Watson","Watson",2016-11-08,FALSE,FALSE,0
201601556,"Mende Smith","Smith",2016-11-08,FALSE,FALSE,0
201601557,"Terence Later","Later",2016-11-08,FALSE,FALSE,0
201601558,"Jon Mann","Mann",2016-11-08,FALSE,FALSE,0
201802124,"Scott Bellomo","Bellomo",2018-11-06,FALSE,FALSE,0
201802125,"Sue Himmelrich","Himmelrich",2018-11-06,TRUE,TRUE,32077.07
201802126,"Kevin McKeown","McKeown",2018-11-06,TRUE,TRUE,31737.07
201802127,"Greg Morena","Morena",2018-11-06,TRUE,TRUE,32077.07
201802128,"Geoffrey Neri","Neri",2018-11-06,FALSE,FALSE,0
201802129,"Pam O'Connor","O'Connor",2018-11-06,FALSE,TRUE,32077.07
201802130,"Ashley Powell","Powell",2018-11-06,FALSE,FALSE,0
