Query,Time,Value,Unit
"text='rigged' and channel=""cnn""",2020-01-01,2,seconds
"text='rigged' and channel=""cnn""",2020-01-02,1,seconds
"text='rigged' and channel=""cnn""",2020-01-04,1,seconds
"text='rigged' and channel=""cnn""",2020-01-07,1,seconds
"text='rigged' and channel=""cnn""",2020-01-08,1,seconds
"text='rigged' and channel=""cnn""",2020-01-09,2,seconds
"text='rigged' and channel=""cnn""",2020-01-10,5,seconds
"text='rigged' and channel=""cnn""",2020-01-13,1,seconds
"text='rigged' and channel=""cnn""",2020-01-15,4,seconds
"text='rigged' and channel=""cnn""",2020-01-17,5,seconds
"text='rigged' and channel=""cnn""",2020-01-19,4,seconds
"text='rigged' and channel=""cnn""",2020-01-20,7,seconds
"text='rigged' and channel=""cnn""",2020-01-21,9,seconds
"text='rigged' and channel=""cnn""",2020-01-23,1.614,seconds
"text='rigged' and channel=""cnn""",2020-01-27,1,seconds
"text='rigged' and channel=""cnn""",2020-01-28,3,seconds
"text='rigged' and channel=""cnn""",2020-01-29,2,seconds
"text='rigged' and channel=""cnn""",2020-01-30,1,seconds
"text='rigged' and channel=""cnn""",2020-01-31,1,seconds
"text='rigged' and channel=""cnn""",2020-02-01,8,seconds
"text='rigged' and channel=""cnn""",2020-02-02,1,seconds
"text='rigged' and channel=""cnn""",2020-02-03,1,seconds
"text='rigged' and channel=""cnn""",2020-02-04,22,seconds
"text='rigged' and channel=""cnn""",2020-02-05,7,seconds
"text='rigged' and channel=""cnn""",2020-02-06,5,seconds
"text='rigged' and channel=""cnn""",2020-02-07,1,seconds
"text='rigged' and channel=""cnn""",2020-02-08,1,seconds
"text='rigged' and channel=""cnn""",2020-02-09,1,seconds
"text='rigged' and channel=""cnn""",2020-02-11,1,seconds
"text='rigged' and channel=""cnn""",2020-02-13,2,seconds
"text='rigged' and channel=""cnn""",2020-02-14,1,seconds
"text='rigged' and channel=""cnn""",2020-02-15,1,seconds
"text='rigged' and channel=""cnn""",2020-02-17,1,seconds
"text='rigged' and channel=""cnn""",2020-02-18,4,seconds
"text='rigged' and channel=""cnn""",2020-02-19,6,seconds
"text='rigged' and channel=""cnn""",2020-02-22,4,seconds
"text='rigged' and channel=""cnn""",2020-02-23,2,seconds
