Query,Time,Value,Unit
"name=""mitt romney""and channel=""MSNBC""",2010-01-04,123.255,seconds
"name=""mitt romney""and channel=""MSNBC""",2010-01-11,15.009,seconds
"name=""mitt romney""and channel=""MSNBC""",2010-01-18,663.308,seconds
"name=""mitt romney""and channel=""MSNBC""",2010-02-01,3,seconds
"name=""mitt romney""and channel=""MSNBC""",2010-02-08,9.003,seconds
"name=""mitt romney""and channel=""MSNBC""",2010-02-15,511.98100000000005,seconds
"name=""mitt romney""and channel=""MSNBC""",2010-03-01,1147.684,seconds
"name=""mitt romney""and channel=""MSNBC""",2010-03-08,111.084,seconds
"name=""mitt romney""and channel=""MSNBC""",2010-03-22,87.066,seconds
"name=""mitt romney""and channel=""MSNBC""",2010-03-29,72.048,seconds
"name=""mitt romney""and channel=""MSNBC""",2010-04-05,189.12300000000005,seconds
"name=""mitt romney""and channel=""MSNBC""",2010-04-12,234.138,seconds
"name=""mitt romney""and channel=""MSNBC""",2010-04-19,9,seconds
"name=""mitt romney""and channel=""MSNBC""",2010-04-26,72.015,seconds
"name=""mitt romney""and channel=""MSNBC""",2010-05-10,24.009,seconds
"name=""mitt romney""and channel=""MSNBC""",2010-06-07,45.039,seconds
"name=""mitt romney""and channel=""MSNBC""",2010-06-14,114.096,seconds
"name=""mitt romney""and channel=""MSNBC""",2010-06-28,54.033,seconds
"name=""mitt romney""and channel=""MSNBC""",2010-07-12,170.624,seconds
"name=""mitt romney""and channel=""MSNBC""",2010-07-26,123.108,seconds
"name=""mitt romney""and channel=""MSNBC""",2010-08-02,42.015,seconds
"name=""mitt romney""and channel=""MSNBC""",2010-08-09,105.075,seconds
"name=""mitt romney""and channel=""MSNBC""",2010-08-16,36.027,seconds
"name=""mitt romney""and channel=""MSNBC""",2010-08-23,99.06,seconds
"name=""mitt romney""and channel=""MSNBC""",2010-08-30,90.053,seconds
"name=""mitt romney""and channel=""MSNBC""",2010-09-13,513.3389999999999,seconds
"name=""mitt romney""and channel=""MSNBC""",2010-09-20,54.033,seconds
"name=""mitt romney""and channel=""MSNBC""",2010-09-27,33.021,seconds
"name=""mitt romney""and channel=""MSNBC""",2010-10-04,3,seconds
"name=""mitt romney""and channel=""MSNBC""",2010-10-11,18.015,seconds
"name=""mitt romney""and channel=""MSNBC""",2010-10-25,9.006,seconds
"name=""mitt romney""and channel=""MSNBC""",2010-11-01,54.018,seconds
"name=""mitt romney""and channel=""MSNBC""",2010-11-15,27.012,seconds
"name=""mitt romney""and channel=""MSNBC""",2010-11-22,63.03,seconds
"name=""mitt romney""and channel=""MSNBC""",2010-11-29,6,seconds
"name=""mitt romney""and channel=""MSNBC""",2010-12-06,31.95,seconds
"name=""mitt romney""and channel=""MSNBC""",2010-12-13,414.31499999999994,seconds
"name=""mitt romney""and channel=""MSNBC""",2010-12-20,84.036,seconds
"name=""mitt romney""and channel=""MSNBC""",2010-12-27,246.186,seconds
"name=""mitt romney""and channel=""MSNBC""",2011-01-03,198.12,seconds
"name=""mitt romney""and channel=""MSNBC""",2011-01-10,12.006,seconds
"name=""mitt romney""and channel=""MSNBC""",2011-01-17,102.057,seconds
"name=""mitt romney""and channel=""MSNBC""",2011-01-24,396.24300000000005,seconds
"name=""mitt romney""and channel=""MSNBC""",2011-01-31,790.813,seconds
"name=""mitt romney""and channel=""MSNBC""",2011-02-07,237.144,seconds
"name=""mitt romney""and channel=""MSNBC""",2011-02-14,183.144,seconds
"name=""mitt romney""and channel=""MSNBC""",2011-02-21,527.3839999999999,seconds
"name=""mitt romney""and channel=""MSNBC""",2011-02-28,441.30899999999997,seconds
"name=""mitt romney""and channel=""MSNBC""",2011-03-07,222.123,seconds
"name=""mitt romney""and channel=""MSNBC""",2011-03-14,15.009,seconds
"name=""mitt romney""and channel=""MSNBC""",2011-03-21,765.9749999999999,seconds
"name=""mitt romney""and channel=""MSNBC""",2011-03-28,173.142,seconds
"name=""mitt romney""and channel=""MSNBC""",2011-04-04,321.22800000000007,seconds
"name=""mitt romney""and channel=""MSNBC""",2011-04-11,1419.9640000000004,seconds
"name=""mitt romney""and channel=""MSNBC""",2011-04-18,612.363,seconds
"name=""mitt romney""and channel=""MSNBC""",2011-04-25,294.168,seconds
"name=""mitt romney""and channel=""MSNBC""",2011-05-02,27.012,seconds
"name=""mitt romney""and channel=""MSNBC""",2011-05-09,1606.313,seconds
"name=""mitt romney""and channel=""MSNBC""",2011-05-16,1468.0350000000008,seconds
"name=""mitt romney""and channel=""MSNBC""",2011-05-23,1912.2480000000003,seconds
"name=""mitt romney""and channel=""MSNBC""",2011-05-30,3152.750000000001,seconds
"name=""mitt romney""and channel=""MSNBC""",2011-06-06,2281.743,seconds
"name=""mitt romney""and channel=""MSNBC""",2011-06-13,4530.352,seconds
"name=""mitt romney""and channel=""MSNBC""",2011-06-20,596.617,seconds
"name=""mitt romney""and channel=""MSNBC""",2011-06-27,1875.692,seconds
"name=""mitt romney""and channel=""MSNBC""",2011-07-04,995.1970000000001,seconds
"name=""mitt romney""and channel=""MSNBC""",2011-07-11,605.422,seconds
"name=""mitt romney""and channel=""MSNBC""",2011-07-18,202.08800000000002,seconds
