Query,Time,Value,Unit
"text='coup' and channel=""CNN""",2020-01-02,2,seconds
"text='coup' and channel=""CNN""",2020-01-03,2,seconds
"text='coup' and channel=""CNN""",2020-01-05,2,seconds
"text='coup' and channel=""CNN""",2020-01-06,1,seconds
"text='coup' and channel=""CNN""",2020-01-07,1,seconds
"text='coup' and channel=""CNN""",2020-01-09,2,seconds
"text='coup' and channel=""CNN""",2020-01-12,2,seconds
"text='coup' and channel=""CNN""",2020-01-17,2,seconds
"text='coup' and channel=""CNN""",2020-01-22,1,seconds
"text='coup' and channel=""CNN""",2020-01-24,12,seconds
"text='coup' and channel=""CNN""",2020-01-25,4.62,seconds
"text='coup' and channel=""CNN""",2020-01-28,2,seconds
"text='coup' and channel=""CNN""",2020-01-30,3.596,seconds
"text='coup' and channel=""CNN""",2020-02-02,2,seconds
"text='coup' and channel=""CNN""",2020-02-06,1,seconds
"text='coup' and channel=""CNN""",2020-02-07,1,seconds
"text='coup' and channel=""CNN""",2020-02-08,1,seconds
"text='coup' and channel=""CNN""",2020-02-10,2,seconds
"text='coup' and channel=""CNN""",2020-02-11,1,seconds
"text='coup' and channel=""CNN""",2020-02-16,2,seconds
"text='coup' and channel=""CNN""",2020-02-23,1.622,seconds
"text='coup' and channel=""CNN""",2020-02-24,4,seconds
"text='coup' and channel=""CNN""",2020-02-26,1,seconds
"text='coup' and channel=""CNN""",2020-02-29,1,seconds
"text='coup' and channel=""CNN""",2020-03-01,2,seconds
"text='coup' and channel=""CNN""",2020-03-02,1,seconds
"text='coup' and channel=""CNN""",2020-03-03,4,seconds
"text='coup' and channel=""CNN""",2020-03-06,1,seconds
"text='coup' and channel=""CNN""",2020-03-07,4,seconds
"text='coup' and channel=""CNN""",2020-03-09,3,seconds
"text='coup' and channel=""CNN""",2020-03-12,1,seconds
"text='coup' and channel=""CNN""",2020-03-14,1,seconds
"text='coup' and channel=""CNN""",2020-03-18,1,seconds
"text='coup' and channel=""CNN""",2020-03-26,1,seconds
"text='coup' and channel=""CNN""",2020-03-31,1,seconds
"text='coup' and channel=""CNN""",2020-04-01,1,seconds
"text='coup' and channel=""CNN""",2020-04-05,1,seconds
"text='coup' and channel=""CNN""",2020-04-13,1,seconds
"text='coup' and channel=""CNN""",2020-04-20,1,seconds
"text='coup' and channel=""CNN""",2020-04-21,1,seconds
"text='coup' and channel=""CNN""",2020-05-05,1,seconds
"text='coup' and channel=""CNN""",2020-05-20,1,seconds
"text='coup' and channel=""CNN""",2020-05-24,7,seconds
"text='coup' and channel=""CNN""",2020-05-25,4,seconds
"text='coup' and channel=""CNN""",2020-06-04,1,seconds
"text='coup' and channel=""CNN""",2020-06-07,4,seconds
"text='coup' and channel=""CNN""",2020-06-08,1,seconds
"text='coup' and channel=""CNN""",2020-06-28,1,seconds
"text='coup' and channel=""CNN""",2020-06-29,1,seconds
"text='coup' and channel=""CNN""",2020-07-01,1,seconds
"text='coup' and channel=""CNN""",2020-07-04,1,seconds
"text='coup' and channel=""CNN""",2020-07-11,1,seconds
"text='coup' and channel=""CNN""",2020-07-13,1,seconds
"text='coup' and channel=""CNN""",2020-07-22,1,seconds
"text='coup' and channel=""CNN""",2020-08-03,1,seconds
"text='coup' and channel=""CNN""",2020-08-04,1,seconds
"text='coup' and channel=""CNN""",2020-08-05,2,seconds
"text='coup' and channel=""CNN""",2020-08-12,1,seconds
"text='coup' and channel=""CNN""",2020-08-16,1,seconds
"text='coup' and channel=""CNN""",2020-08-19,5,seconds
"text='coup' and channel=""CNN""",2020-08-21,1,seconds
"text='coup' and channel=""CNN""",2020-08-30,1,seconds
"text='coup' and channel=""CNN""",2020-08-31,1,seconds
"text='coup' and channel=""CNN""",2020-09-03,1,seconds
"text='coup' and channel=""CNN""",2020-09-04,2,seconds
"text='coup' and channel=""CNN""",2020-09-06,1,seconds
"text='coup' and channel=""CNN""",2020-09-09,1,seconds
"text='coup' and channel=""CNN""",2020-09-26,2,seconds
"text='coup' and channel=""CNN""",2020-09-27,1,seconds
"text='coup' and channel=""CNN""",2020-09-29,1,seconds
"text='coup' and channel=""CNN""",2020-09-30,1,seconds
"text='coup' and channel=""CNN""",2020-10-05,1,seconds
"text='coup' and channel=""CNN""",2020-10-08,4.59,seconds
"text='coup' and channel=""CNN""",2020-10-09,2.431,seconds
"text='coup' and channel=""CNN""",2020-10-14,1,seconds
"text='coup' and channel=""CNN""",2020-10-16,1,seconds
"text='coup' and channel=""CNN""",2020-10-18,2,seconds
"text='coup' and channel=""CNN""",2020-10-27,1,seconds
"text='coup' and channel=""CNN""",2020-10-31,3,seconds
"text='coup' and channel=""CNN""",2020-11-02,1,seconds
"text='coup' and channel=""CNN""",2020-11-03,1,seconds
"text='coup' and channel=""CNN""",2020-11-05,2,seconds
"text='coup' and channel=""CNN""",2020-11-06,1,seconds
"text='coup' and channel=""CNN""",2020-11-12,2,seconds
"text='coup' and channel=""CNN""",2020-11-13,3,seconds
"text='coup' and channel=""CNN""",2020-11-14,3,seconds
"text='coup' and channel=""CNN""",2020-11-15,10.8,seconds
"text='coup' and channel=""CNN""",2020-11-17,1,seconds
"text='coup' and channel=""CNN""",2020-11-18,1,seconds
"text='coup' and channel=""CNN""",2020-11-19,1,seconds
"text='coup' and channel=""CNN""",2020-11-20,6.069,seconds
"text='coup' and channel=""CNN""",2020-11-21,3,seconds
"text='coup' and channel=""CNN""",2020-11-22,11.655,seconds
"text='coup' and channel=""CNN""",2020-11-23,4,seconds
"text='coup' and channel=""CNN""",2020-11-24,1,seconds
"text='coup' and channel=""CNN""",2020-11-29,2,seconds
"text='coup' and channel=""CNN""",2020-12-02,2,seconds
"text='coup' and channel=""CNN""",2020-12-03,6,seconds
"text='coup' and channel=""CNN""",2020-12-04,7,seconds
"text='coup' and channel=""CNN""",2020-12-05,5,seconds
"text='coup' and channel=""CNN""",2020-12-06,1,seconds
"text='coup' and channel=""CNN""",2020-12-07,3,seconds
"text='coup' and channel=""CNN""",2020-12-08,7,seconds
"text='coup' and channel=""CNN""",2020-12-09,3,seconds
"text='coup' and channel=""CNN""",2020-12-10,3,seconds
"text='coup' and channel=""CNN""",2020-12-11,5,seconds
"text='coup' and channel=""CNN""",2020-12-19,1,seconds
"text='coup' and channel=""CNN""",2020-12-20,3,seconds
"text='coup' and channel=""CNN""",2020-12-21,1,seconds
"text='coup' and channel=""CNN""",2020-12-22,2,seconds
