Query,Time,Value,Unit
"text='looting' AND hour=""18-22"" AND channel=""FOX""",2020-02-12,1,seconds
"text='looting' AND hour=""18-22"" AND channel=""FOX""",2020-03-18,1,seconds
"text='looting' AND hour=""18-22"" AND channel=""FOX""",2020-03-25,3,seconds
"text='looting' AND hour=""18-22"" AND channel=""FOX""",2020-03-31,2,seconds
"text='looting' AND hour=""18-22"" AND channel=""FOX""",2020-05-27,8,seconds
"text='looting' AND hour=""18-22"" AND channel=""FOX""",2020-05-28,27,seconds
"text='looting' AND hour=""18-22"" AND channel=""FOX""",2020-05-29,21,seconds
"text='looting' AND hour=""18-22"" AND channel=""FOX""",2020-05-30,21,seconds
"text='looting' AND hour=""18-22"" AND channel=""FOX""",2020-05-31,40.342,seconds
"text='looting' AND hour=""18-22"" AND channel=""FOX""",2020-06-01,62,seconds
"text='looting' AND hour=""18-22"" AND channel=""FOX""",2020-06-02,55,seconds
"text='looting' AND hour=""18-22"" AND channel=""FOX""",2020-06-03,32,seconds
"text='looting' AND hour=""18-22"" AND channel=""FOX""",2020-06-04,24,seconds
"text='looting' AND hour=""18-22"" AND channel=""FOX""",2020-06-05,5,seconds
"text='looting' AND hour=""18-22"" AND channel=""FOX""",2020-06-06,24,seconds
"text='looting' AND hour=""18-22"" AND channel=""FOX""",2020-06-07,24,seconds
"text='looting' AND hour=""18-22"" AND channel=""FOX""",2020-06-08,11,seconds
"text='looting' AND hour=""18-22"" AND channel=""FOX""",2020-06-09,14,seconds
"text='looting' AND hour=""18-22"" AND channel=""FOX""",2020-06-10,3,seconds
"text='looting' AND hour=""18-22"" AND channel=""FOX""",2020-06-11,12,seconds
"text='looting' AND hour=""18-22"" AND channel=""FOX""",2020-06-12,5,seconds
"text='looting' AND hour=""18-22"" AND channel=""FOX""",2020-06-13,6,seconds
"text='looting' AND hour=""18-22"" AND channel=""FOX""",2020-06-14,8,seconds
"text='looting' AND hour=""18-22"" AND channel=""FOX""",2020-06-15,6,seconds
"text='looting' AND hour=""18-22"" AND channel=""FOX""",2020-06-16,9,seconds
"text='looting' AND hour=""18-22"" AND channel=""FOX""",2020-06-17,0.694,seconds
"text='looting' AND hour=""18-22"" AND channel=""FOX""",2020-06-18,2,seconds
"text='looting' AND hour=""18-22"" AND channel=""FOX""",2020-06-19,5,seconds
"text='looting' AND hour=""18-22"" AND channel=""FOX""",2020-06-20,5,seconds
"text='looting' AND hour=""18-22"" AND channel=""FOX""",2020-06-21,3,seconds
"text='looting' AND hour=""18-22"" AND channel=""FOX""",2020-06-22,4,seconds
"text='looting' AND hour=""18-22"" AND channel=""FOX""",2020-06-23,4,seconds
"text='looting' AND hour=""18-22"" AND channel=""FOX""",2020-06-25,7,seconds
"text='looting' AND hour=""18-22"" AND channel=""FOX""",2020-06-26,5.894,seconds
"text='looting' AND hour=""18-22"" AND channel=""FOX""",2020-06-27,2,seconds
"text='looting' AND hour=""18-22"" AND channel=""FOX""",2020-06-28,2,seconds
"text='looting' AND hour=""18-22"" AND channel=""FOX""",2020-06-29,3,seconds
"text='looting' AND hour=""18-22"" AND channel=""FOX""",2020-06-30,3,seconds
"text='looting' AND hour=""18-22"" AND channel=""FOX""",2020-07-01,4,seconds
"text='looting' AND hour=""18-22"" AND channel=""FOX""",2020-07-03,2,seconds
"text='looting' AND hour=""18-22"" AND channel=""FOX""",2020-07-08,1,seconds
"text='looting' AND hour=""18-22"" AND channel=""FOX""",2020-07-09,1,seconds
"text='looting' AND hour=""18-22"" AND channel=""FOX""",2020-07-10,2,seconds
"text='looting' AND hour=""18-22"" AND channel=""FOX""",2020-07-11,3,seconds
"text='looting' AND hour=""18-22"" AND channel=""FOX""",2020-07-14,1,seconds
"text='looting' AND hour=""18-22"" AND channel=""FOX""",2020-07-15,1,seconds
"text='looting' AND hour=""18-22"" AND channel=""FOX""",2020-07-16,5,seconds
"text='looting' AND hour=""18-22"" AND channel=""FOX""",2020-07-17,5,seconds
"text='looting' AND hour=""18-22"" AND channel=""FOX""",2020-07-18,3,seconds
"text='looting' AND hour=""18-22"" AND channel=""FOX""",2020-07-19,4,seconds
"text='looting' AND hour=""18-22"" AND channel=""FOX""",2020-07-20,9,seconds
"text='looting' AND hour=""18-22"" AND channel=""FOX""",2020-07-21,5,seconds
"text='looting' AND hour=""18-22"" AND channel=""FOX""",2020-07-22,1,seconds
"text='looting' AND hour=""18-22"" AND channel=""FOX""",2020-07-25,1,seconds
"text='looting' AND hour=""18-22"" AND channel=""FOX""",2020-07-26,1,seconds
"text='looting' AND hour=""18-22"" AND channel=""FOX""",2020-07-27,4,seconds
"text='looting' AND hour=""18-22"" AND channel=""FOX""",2020-07-28,2,seconds
"text='looting' AND hour=""18-22"" AND channel=""FOX""",2020-07-29,3,seconds
"text='looting' AND hour=""18-22"" AND channel=""FOX""",2020-07-31,1,seconds
