"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GGDEBT","TOT","PC_GDP","A","1995",57.56626,
"AUS","GGDEBT","TOT","PC_GDP","A","1996",55.41022,
"AUS","GGDEBT","TOT","PC_GDP","A","1997",54.60069,
"AUS","GGDEBT","TOT","PC_GDP","A","1998",52.44307,
"AUS","GGDEBT","TOT","PC_GDP","A","1999",44.78893,
"AUS","GGDEBT","TOT","PC_GDP","A","2000",41.1475,
"AUS","GGDEBT","TOT","PC_GDP","A","2001",40.40488,
"AUS","GGDEBT","TOT","PC_GDP","A","2002",38.67284,
"AUS","GGDEBT","TOT","PC_GDP","A","2003",35.66726,
"AUS","GGDEBT","TOT","PC_GDP","A","2004",32.31054,
"AUS","GGDEBT","TOT","PC_GDP","A","2005",30.27036,
"AUS","GGDEBT","TOT","PC_GDP","A","2006",29.57842,
"AUS","GGDEBT","TOT","PC_GDP","A","2007",28.28024,
"AUS","GGDEBT","TOT","PC_GDP","A","2008",30.59481,
"AUS","GGDEBT","TOT","PC_GDP","A","2009",39.16329,
"AUS","GGDEBT","TOT","PC_GDP","A","2010",41.98516,
"AUS","GGDEBT","TOT","PC_GDP","A","2011",46.29339,
"AUS","GGDEBT","TOT","PC_GDP","A","2012",59.23946,
"AUS","GGDEBT","TOT","PC_GDP","A","2013",55.70968,
"AUS","GGDEBT","TOT","PC_GDP","A","2014",61.37632,
"AUS","GGDEBT","TOT","PC_GDP","A","2015",64.11739,
"AUS","GGDEBT","TOT","PC_GDP","A","2016",68.30858,
"AUS","GGDEBT","TOT","PC_GDP","A","2017",65.63297,
"AUS","GGDEBT","TOT","PC_GDP","A","2018",66.11715,
"AUT","GGDEBT","TOT","PC_GDP","A","1995",69.17403,
"AUT","GGDEBT","TOT","PC_GDP","A","1996",69.71158,
"AUT","GGDEBT","TOT","PC_GDP","A","1997",65.372,
"AUT","GGDEBT","TOT","PC_GDP","A","1998",67.11701,
"AUT","GGDEBT","TOT","PC_GDP","A","1999",70.72529,
"AUT","GGDEBT","TOT","PC_GDP","A","2000",71.04991,
"AUT","GGDEBT","TOT","PC_GDP","A","2001",72.1219,
"AUT","GGDEBT","TOT","PC_GDP","A","2002",74.02462,
"AUT","GGDEBT","TOT","PC_GDP","A","2003",72.53215,
"AUT","GGDEBT","TOT","PC_GDP","A","2004",71.7653,
"AUT","GGDEBT","TOT","PC_GDP","A","2005",76.25182,
"AUT","GGDEBT","TOT","PC_GDP","A","2006",72.68636,
"AUT","GGDEBT","TOT","PC_GDP","A","2007",68.96463,
"AUT","GGDEBT","TOT","PC_GDP","A","2008",74.19278,
"AUT","GGDEBT","TOT","PC_GDP","A","2009",86.33044,
"AUT","GGDEBT","TOT","PC_GDP","A","2010",90.54397,
"AUT","GGDEBT","TOT","PC_GDP","A","2011",91.4737,
"AUT","GGDEBT","TOT","PC_GDP","A","2012",97.33756,
"AUT","GGDEBT","TOT","PC_GDP","A","2013",94.3597,
"AUT","GGDEBT","TOT","PC_GDP","A","2014",101.8692,
"AUT","GGDEBT","TOT","PC_GDP","A","2015",101.2852,
"AUT","GGDEBT","TOT","PC_GDP","A","2016",101.4613,
"AUT","GGDEBT","TOT","PC_GDP","A","2017",95.14836,
"AUT","GGDEBT","TOT","PC_GDP","A","2018",89.81895,
"BEL","GGDEBT","TOT","PC_GDP","A","1995",139.3217,
"BEL","GGDEBT","TOT","PC_GDP","A","1996",141.0966,
"BEL","GGDEBT","TOT","PC_GDP","A","1997",135.4402,
"BEL","GGDEBT","TOT","PC_GDP","A","1998",139.397,
"BEL","GGDEBT","TOT","PC_GDP","A","1999",127.9947,
"BEL","GGDEBT","TOT","PC_GDP","A","2000",121.6588,
"BEL","GGDEBT","TOT","PC_GDP","A","2001",120.0464,
"BEL","GGDEBT","TOT","PC_GDP","A","2002",119.5321,
"BEL","GGDEBT","TOT","PC_GDP","A","2003",115.7452,
"BEL","GGDEBT","TOT","PC_GDP","A","2004",111.3645,
"BEL","GGDEBT","TOT","PC_GDP","A","2005",108.9872,
"BEL","GGDEBT","TOT","PC_GDP","A","2006",101.0675,
"BEL","GGDEBT","TOT","PC_GDP","A","2007",94.63046,
"BEL","GGDEBT","TOT","PC_GDP","A","2008",102.355,
"BEL","GGDEBT","TOT","PC_GDP","A","2009",110.7111,
"BEL","GGDEBT","TOT","PC_GDP","A","2010",108.6611,
"BEL","GGDEBT","TOT","PC_GDP","A","2011",111.6015,
"BEL","GGDEBT","TOT","PC_GDP","A","2012",120.9651,
"BEL","GGDEBT","TOT","PC_GDP","A","2013",118.6302,
"BEL","GGDEBT","TOT","PC_GDP","A","2014",130.5366,
"BEL","GGDEBT","TOT","PC_GDP","A","2015",126.1773,
"BEL","GGDEBT","TOT","PC_GDP","A","2016",127.525,
"BEL","GGDEBT","TOT","PC_GDP","A","2017",120.56,
"BEL","GGDEBT","TOT","PC_GDP","A","2018",118.037,
"CAN","GGDEBT","TOT","PC_GDP","A","1995",123.9625,
"CAN","GGDEBT","TOT","PC_GDP","A","1996",130.0458,
"CAN","GGDEBT","TOT","PC_GDP","A","1997",123.9433,
"CAN","GGDEBT","TOT","PC_GDP","A","1998",123.4712,
"CAN","GGDEBT","TOT","PC_GDP","A","1999",113.8756,
"CAN","GGDEBT","TOT","PC_GDP","A","2000",105.0704,
"CAN","GGDEBT","TOT","PC_GDP","A","2001",104.7759,
"CAN","GGDEBT","TOT","PC_GDP","A","2002",103.5751,
"CAN","GGDEBT","TOT","PC_GDP","A","2003",99.24081,
"CAN","GGDEBT","TOT","PC_GDP","A","2004",95.32211,
"CAN","GGDEBT","TOT","PC_GDP","A","2005",93.87285,
"CAN","GGDEBT","TOT","PC_GDP","A","2006",91.14849,
"CAN","GGDEBT","TOT","PC_GDP","A","2007",86.95366,
"CAN","GGDEBT","TOT","PC_GDP","A","2008",89.75469,
"CAN","GGDEBT","TOT","PC_GDP","A","2009",102.7109,
"CAN","GGDEBT","TOT","PC_GDP","A","2010",105.0174,
"CAN","GGDEBT","TOT","PC_GDP","A","2011",107.6597,
