"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GGNLEND","TOT","PC_GDP","A","1970",-1.53048568735427,
"AUS","GGNLEND","TOT","PC_GDP","A","1971",-1.49716752090639,
"AUS","GGNLEND","TOT","PC_GDP","A","1972",-1.96389804615261,
"AUS","GGNLEND","TOT","PC_GDP","A","1973",-0.82791345898593,
"AUS","GGNLEND","TOT","PC_GDP","A","1974",-3.45002037690243,
"AUS","GGNLEND","TOT","PC_GDP","A","1975",-4.30112694331643,
"AUS","GGNLEND","TOT","PC_GDP","A","1976",-4.17698857130962,
"AUS","GGNLEND","TOT","PC_GDP","A","1977",-5.07624857033931,
"AUS","GGNLEND","TOT","PC_GDP","A","1978",-4.76612107566597,
"AUS","GGNLEND","TOT","PC_GDP","A","1979",-3.15568648455633,
"AUS","GGNLEND","TOT","PC_GDP","A","1980",-3.33041940805689,
"AUS","GGNLEND","TOT","PC_GDP","A","1981",-3.7291803091991,
"AUS","GGNLEND","TOT","PC_GDP","A","1982",-5.69791231622409,
"AUS","GGNLEND","TOT","PC_GDP","A","1983",-6.08450730628275,
"AUS","GGNLEND","TOT","PC_GDP","A","1984",-5.79215484332242,
"AUS","GGNLEND","TOT","PC_GDP","A","1985",-5.20246539759147,
"AUS","GGNLEND","TOT","PC_GDP","A","1986",-3.52565224391507,
"AUS","GGNLEND","TOT","PC_GDP","A","1987",-1.78701542489472,
"AUS","GGNLEND","TOT","PC_GDP","A","1988",-1.03638926225628,
"AUS","GGNLEND","TOT","PC_GDP","A","1989",-2.08962689302022,
"AUS","GGNLEND","TOT","PC_GDP","A","1990",-3.31674198319312,
"AUS","GGNLEND","TOT","PC_GDP","A","1991",-5.80163008098326,
"AUS","GGNLEND","TOT","PC_GDP","A","1992",-6.18088650218885,
"AUS","GGNLEND","TOT","PC_GDP","A","1993",-4.42187167876535,
"AUS","GGNLEND","TOT","PC_GDP","A","1994",-4.15252129640676,
"AUS","GGNLEND","TOT","PC_GDP","A","1995",-2.90504720441093,
"AUS","GGNLEND","TOT","PC_GDP","A","1996",-1.12877752385686,
"AUS","GGNLEND","TOT","PC_GDP","A","1997",0.17344077592642,
"AUS","GGNLEND","TOT","PC_GDP","A","1998",0.724190143854382,
"AUS","GGNLEND","TOT","PC_GDP","A","1999",2.00148527056275,
"AUS","GGNLEND","TOT","PC_GDP","A","2000",-1.23406886731171,
"AUS","GGNLEND","TOT","PC_GDP","A","2001",-0.757968480072337,
"AUS","GGNLEND","TOT","PC_GDP","A","2002",0.712769676388334,
"AUS","GGNLEND","TOT","PC_GDP","A","2003",0.810532391680284,
"AUS","GGNLEND","TOT","PC_GDP","A","2004",0.942353998553727,
"AUS","GGNLEND","TOT","PC_GDP","A","2005",1.66373955019419,
"AUS","GGNLEND","TOT","PC_GDP","A","2006",1.65526558702292,
"AUS","GGNLEND","TOT","PC_GDP","A","2007",0.720199301290311,
"AUS","GGNLEND","TOT","PC_GDP","A","2008",-3.74536263683941,
"AUS","GGNLEND","TOT","PC_GDP","A","2009",-5.55943655563932,
"AUS","GGNLEND","TOT","PC_GDP","A","2010",-4.46145831421508,
"AUS","GGNLEND","TOT","PC_GDP","A","2011",-4.61520095927995,
"AUS","GGNLEND","TOT","PC_GDP","A","2012",-2.88581644163569,
"AUS","GGNLEND","TOT","PC_GDP","A","2013",-2.84417558631993,
"AUS","GGNLEND","TOT","PC_GDP","A","2014",-2.32985634009525,
"AUS","GGNLEND","TOT","PC_GDP","A","2015",-2.42977206186231,
"AUS","GGNLEND","TOT","PC_GDP","A","2016",-1.84475934422662,
"AUS","GGNLEND","TOT","PC_GDP","A","2017",-0.840732271638681,
"AUT","GGNLEND","TOT","PC_GDP","A","1995",-6.13397127832002,
"AUT","GGNLEND","TOT","PC_GDP","A","1996",-4.50361036935946,
"AUT","GGNLEND","TOT","PC_GDP","A","1997",-2.57579119873407,
"AUT","GGNLEND","TOT","PC_GDP","A","1998",-2.69622684089122,
"AUT","GGNLEND","TOT","PC_GDP","A","1999",-2.59588665384224,
"AUT","GGNLEND","TOT","PC_GDP","A","2000",-2.40466955871376,
"AUT","GGNLEND","TOT","PC_GDP","A","2001",-0.661575545058186,
"AUT","GGNLEND","TOT","PC_GDP","A","2002",-1.38117492289023,
"AUT","GGNLEND","TOT","PC_GDP","A","2003",-1.78642545239967,
"AUT","GGNLEND","TOT","PC_GDP","A","2004",-4.80498601475414,
"AUT","GGNLEND","TOT","PC_GDP","A","2005",-2.50835353635499,
"AUT","GGNLEND","TOT","PC_GDP","A","2006",-2.5354406589839,
"AUT","GGNLEND","TOT","PC_GDP","A","2007",-1.35460859868813,
"AUT","GGNLEND","TOT","PC_GDP","A","2008",-1.49526533239112,
"AUT","GGNLEND","TOT","PC_GDP","A","2009",-5.3297096742366,
"AUT","GGNLEND","TOT","PC_GDP","A","2010",-4.44127719733485,
"AUT","GGNLEND","TOT","PC_GDP","A","2011",-2.55356276972273,
"AUT","GGNLEND","TOT","PC_GDP","A","2012",-2.18905804256567,
"AUT","GGNLEND","TOT","PC_GDP","A","2013",-1.95007752148589,
"AUT","GGNLEND","TOT","PC_GDP","A","2014",-2.72914520648555,
"AUT","GGNLEND","TOT","PC_GDP","A","2015",-1.00995955984797,
"AUT","GGNLEND","TOT","PC_GDP","A","2016",-1.53591504454342,
"AUT","GGNLEND","TOT","PC_GDP","A","2017",-0.743832423470568,
"AUT","GGNLEND","TOT","PC_GDP","A","2018",0.197712313494884,
"BEL","GGNLEND","TOT","PC_GDP","A","1995",-4.50835696480245,
"BEL","GGNLEND","TOT","PC_GDP","A","1996",-4.00252745032249,
"BEL","GGNLEND","TOT","PC_GDP","A","1997",-2.15125735436845,
